"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.447979495788079,0.364384501589244,0.709449569196079,0.541283626347147,0.498902119624409,0.675562639905799,0.503059357170223,0.510740561937589,0.59564726269115
"lambchop18",0.447979495788079,0,0.584827743207949,0.80241381253728,0.638658118019322,0.668324973918352,0.778215319982238,0.655883116680354,0.646853804111395,0.696329412908928
"lambchop25",0.364384501589244,0.584827743207949,0,0.588433657581411,0.455619563281281,0.424626200178799,0.548167999482432,0.429181194098582,0.413872414239446,0.487847506973626
"lambchop37",0.709449569196079,0.80241381253728,0.588433657581411,0,0.460504335734845,0.517784064500854,0.210464503094139,0.539462540669386,0.54913107356019,0.474727076959863
"lambchop44",0.541283626347147,0.638658118019322,0.455619563281281,0.460504335734845,0,0.258629244661409,0.477811658862227,0.313455959657913,0.317609517567677,0.378508650584345
"lambchop46",0.498902119624409,0.668324973918352,0.424626200178799,0.517784064500854,0.258629244661409,0,0.503830218595285,0.165395713560223,0.26483912529068,0.317576290963308
"lambchop48",0.675562639905799,0.778215319982238,0.548167999482432,0.210464503094139,0.477811658862227,0.503830218595285,0,0.53157736098125,0.529193633253306,0.479105968513437
"lambchop50",0.503059357170223,0.655883116680354,0.429181194098582,0.539462540669386,0.313455959657913,0.165395713560223,0.53157736098125,0,0.272587159462673,0.310759390219763
"lambchop55",0.510740561937589,0.646853804111395,0.413872414239446,0.54913107356019,0.317609517567677,0.26483912529068,0.529193633253306,0.272587159462673,0,0.256357350745441
"lambchop70",0.59564726269115,0.696329412908928,0.487847506973626,0.474727076959863,0.378508650584345,0.317576290963308,0.479105968513437,0.310759390219763,0.256357350745441,0
