"","ophelia19","ophelia37","ophelia43","ophelia45","ophelia48","ophelia49","ophelia55","ophelia57","ophelia59"
"ophelia19",0,0.296574698506749,0.160255972531621,0.141028390709365,0.176330720548831,0.151041840952857,0.181726444767576,0.138822693757312,0.181289602234921
"ophelia37",0.296574698506749,0,0.244730590247742,0.243131430780886,0.283365834424763,0.264581084400448,0.196589935277899,0.29969436737727,0.197199664867719
"ophelia43",0.160255972531621,0.244730590247742,0,0.0751325289127657,0.148435404186412,0.120022229206775,0.0941202005929948,0.170558075690834,0.141317470603861
"ophelia45",0.141028390709365,0.243131430780886,0.0751325289127657,0,0.148467959076076,0.125891778313407,0.116225880875152,0.130224060640992,0.148778441084496
"ophelia48",0.176330720548831,0.283365834424763,0.148435404186412,0.148467959076076,0,0.0800586115986221,0.147524525730929,0.117663076374275,0.186854286333707
"ophelia49",0.151041840952857,0.264581084400448,0.120022229206775,0.125891778313407,0.0800586115986221,0,0.138486012166415,0.11091034063223,0.154398608880363
"ophelia55",0.181726444767576,0.196589935277899,0.0941202005929948,0.116225880875152,0.147524525730929,0.138486012166415,0,0.192796271896184,0.100195654805459
"ophelia57",0.138822693757312,0.29969436737727,0.170558075690834,0.130224060640992,0.117663076374275,0.11091034063223,0.192796271896184,0,0.187853669661842
"ophelia59",0.181289602234921,0.197199664867719,0.141317470603861,0.148778441084496,0.186854286333707,0.154398608880363,0.100195654805459,0.187853669661842,0
