"","wolverine14","wolverine17","wolverine37","wolverine44","wolverine49","wolverine57","wolverine58","wolverine60","wolverine70"
"wolverine14",0,0.636385436401671,0.552628585994789,0.507186887633259,0.525968519933155,0.637391499393616,0.689995858987755,0.563828452371549,0.453843022813136
"wolverine17",0.636385436401671,0,0.472171900512195,0.479754557181993,0.390665482482667,0.526655955927967,0.314107658827269,0.571047284498306,0.634681608959104
"wolverine37",0.552628585994789,0.472171900512195,0,0.316917970603624,0.290293983643719,0.258908067640248,0.441519496461232,0.504484249071034,0.498610839147936
"wolverine44",0.507186887633259,0.479754557181993,0.316917970603624,0,0.326643589092075,0.345041759155617,0.547302600525204,0.567484243790821,0.353291245262802
"wolverine49",0.525968519933155,0.390665482482667,0.290293983643719,0.326643589092075,0,0.360147722689454,0.430353911670286,0.46682632680543,0.502929537121518
"wolverine57",0.637391499393616,0.526655955927967,0.258908067640248,0.345041759155617,0.360147722689454,0,0.412596072095157,0.596436461522801,0.544157280006056
"wolverine58",0.689995858987755,0.314107658827269,0.441519496461232,0.547302600525204,0.430353911670286,0.412596072095157,0,0.550334018825538,0.689636226516983
"wolverine60",0.563828452371549,0.571047284498306,0.504484249071034,0.567484243790821,0.46682632680543,0.596436461522801,0.550334018825538,0,0.613962933722771
"wolverine70",0.453843022813136,0.634681608959104,0.498610839147936,0.353291245262802,0.502929537121518,0.544157280006056,0.689636226516983,0.613962933722771,0
