NR_112936.1	txid817
NR_044633.1	txid28113
NR_179567.1	txid1907658
NR_043242.1	txid1408
NR_104923.1	txid1474
NR_112660.1	txid290589
NR_113931.1	txid214095
NR_024905.1	txid44008
NR_113775.1	txid46256
NR_114312.1	txid1329250
NR_175448.1	txid2559928
NR_026103.1	txid37658
NR_179560.1	txid1871021
NR_180617.1	txid2779355
NR_152052.1	txid1794912
NR_042277.1	txid279827
NR_169364.1	txid2448455
NR_157757.1	txid1886787
NR_041769.1	txid521
NR_137341.1	txid463025
NR_137342.1	txid463014
NR_156991.1	txid1917182
NR_043784.1	txid1121267
NR_043860.1	txid379893
NR_137333.1	txid1560201
