"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.256179454207744	0.177958833619211	0.263398599399743	0.17345335047864	0.248285714285714	0.0727246749535648
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.157736819545649	0.290594625500286	0.125625267971988	0.196885269324189	0.192	0.122874696385198
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0710101443063295	0.110920526014866	0.200228669429756	0.254179168452636	0.251142857142857	0.0654379197028147
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0715816545220746	0.0931961120640366	0.0590252965556667	0.0314330618659809	0.0652857142857143	0.16845263609087
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0740105729389913	0.0393081761006289	0.0848935257967701	0.0338619802828976	0.0881428571428571	0.143449064152022
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0474353479068438	0.0796169239565466	0.0543089895669573	0.0504357765395056	0.0177142857142857	0.0668666952421774
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.0380054293470496	0.0227272727272727	0.0598828069172503	0.025289327046721	0.00757142857142857	0.0794399199885698
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0472924703529076	0.0294453973699257	0	0.0231461637376768	0.0491428571428571	0.0595799399914273
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0210030004286327	0.0144368210405946	0.0272974131770759	0.110015716530933	0.000714285714285714	0.0107158165452207
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.0337191027289613	0.00314465408805031	0.0170072888380735	0.0481497356765252	0.000714285714285714	0.0602943277611087
