"","ginger14","ginger27","ginger43","ginger46","ginger49","ginger50","ginger52","ginger55","ginger66"
"ginger14",0,0.113951680912833,0.568549591289091,0.22373539320264,0.152303289217141,0.126037630563134,0.165607799677195,0.136529581164859,0.606893630709109
"ginger27",0.113951680912833,0,0.522733500202567,0.158652903772629,0.156283256119042,0.094925207941619,0.0824651909418021,0.066684107155754,0.572138472972317
"ginger43",0.568549591289091,0.522733500202567,0,0.435055437469123,0.597215290007328,0.566650719346678,0.492383893525926,0.512081389713484,0.255617545047017
"ginger46",0.22373539320264,0.158652903772629,0.435055437469123,0,0.221177487735268,0.174055185228736,0.106973701356763,0.12514794494127,0.486275158280564
"ginger49",0.152303289217141,0.156283256119042,0.597215290007328,0.221177487735268,0,0.0646391654008525,0.17383847430415,0.145895716966167,0.644207607831502
"ginger50",0.126037630563134,0.094925207941619,0.566650719346678,0.174055185228736,0.0646391654008525,0,0.115668160038801,0.0952157636566139,0.6156963723824
"ginger52",0.165607799677195,0.0824651909418021,0.492383893525926,0.106973701356763,0.17383847430415,0.115668160038801,0,0.0596513289787645,0.546347091615043
"ginger55",0.136529581164859,0.066684107155754,0.512081389713484,0.12514794494127,0.145895716966167,0.0952157636566139,0.0596513289787645,0,0.565191662207316
"ginger66",0.606893630709109,0.572138472972317,0.255617545047017,0.486275158280564,0.644207607831502,0.6156963723824,0.546347091615043,0.565191662207316,0
