"","iris16","iris17","iris22","iris36","iris44","iris46","iris59","iris60"
"iris16",0,0.388060513415701,0.508067644591501,0.613911054565671,0.213653209186601,0.262885697798189,0.60930582035081,0.248774287860017
"iris17",0.388060513415701,0,0.299823835651892,0.481019741857145,0.347897044233552,0.317563022989295,0.448015266173411,0.46061817390536
"iris22",0.508067644591501,0.299823835651892,0,0.455880978480243,0.433286751619782,0.42294251057022,0.383476171679058,0.597849678850715
"iris36",0.613911054565671,0.481019741857145,0.455880978480243,0,0.583935548705696,0.548294628147176,0.31550908197783,0.614069263002236
"iris44",0.213653209186601,0.347897044233552,0.433286751619782,0.583935548705696,0,0.134363973162833,0.558771574963872,0.246100165379633
"iris46",0.262885697798189,0.317563022989295,0.42294251057022,0.548294628147176,0.134363973162833,0,0.526810308105722,0.28334746814754
"iris59",0.60930582035081,0.448015266173411,0.383476171679058,0.31550908197783,0.558771574963872,0.526810308105722,0,0.590228971079377
"iris60",0.248774287860017,0.46061817390536,0.597849678850715,0.614069263002236,0.246100165379633,0.28334746814754,0.590228971079377,0
