code,Location,Institution,State_Province,Country,code_country,iconLoc,colorLoc
ABQ,ABQBIOPK,Albuquerque Biological Park,New Mexico,United States,USA,🇺🇸,#BFD0C5FF
AKR,AKRON,Akron Zoological Park,Ohio,United States,USA,🇺🇸,#FFFF59FF
ATT,ATTLEBORO,Capron Park Zoo,Massachusetts,United States,USA,🇺🇸,#8CB06CFF
AUD,AUDUBON,Audubon Zoo,Louisianna,United States,USA,🇺🇸,#F9F97FFF
ASI,Asia,Wild,Asia,Asia,UND,?,#E37B68FF
BAN,BANGKOK,Dusit (Bangkok) Zoological Park,Thailand,Thailand,THA,🇹🇭,#BFE48AFF
BLO,BLOOMINGT,Miller Park Zoo,Illinois,United States,USA,🇺🇸,#FECC5CFF
BOW,BOWMANVIL,Bowmanville Zoological Park,Ontario,Canada,CAN,🇨🇦,#E5D075FF
BUS,BUSCHTAM,Busch Gardens Tampa Bay,Florida,United States,USA,🇺🇸,#FDBF6FFF
CAF,CAFGSD,Calif. Fish & Game (San Diego),California,United States,USA,🇺🇸,#BFE7F1FF
CAL,CALGARY,"Calgary Zoo, Garden & Prehistoric Park",Alberta,Canada,CAN,🇨🇦,#BFE6C3FF
CBR,CHICAGOBR,Chicago Zoological Park / Brookfield Zoo,Illinois,United States,USA,🇺🇸,#B051A5FF
CHI,CHICAGOLP,Lincoln Park Zoological Gardens,Illinois,United States,USA,🇺🇸,#A6C583FF
CIN,CINCINNAT,Cincinnati Zoo & Botanical Garden,Ohio,United States,USA,🇺🇸,#80CFD8FF
CLE,CLEVELAND,Cleveland Metroparks Zoo,Ohio,United States,USA,🇺🇸,#41B087FF
COL,COLUMBUS,Columbus Zoo and Aquarium,Ohio,United States,USA,🇺🇸,#E61D8CFF
CRY,CRYSTALG,Crystal Garden Conservation Center (extinct 2004),British Columbia,Canada,CAN,🇨🇦,#F76898FF
DUK,DUKEPRIM,Duke Lemur Center,North Carolina,United States,USA,🇺🇸,#CCDFAAFF
DUL,DULUTH,Lake Superior Zoological Gardens,Minnesota,United States,USA,🇺🇸,#F75B89FF
ELP,ELPASO,El Paso Zoo,Texas,United States,USA,🇺🇸,#D9F0DFFF
EVA,EVANSVLLE,Mesker Park Zoo,Indiana,United States,USA,🇺🇸,#812B92FF
FER,FERNDALE,"International Animal Exchange, Inc.",Michigan,United States,USA,🇺🇸,#FDCC8AFF
FIT,FITCHH,Helena Fitch-Snyder (extinct),California,United States,USA,🇺🇸,#B3E2E3FF
FOR,FORSS,Zoo-Forss (Ingvar Forss) (extinct 1985),Denmark,Denmark,DNK,🇩🇰,#FEE6AAFF
FRA,FRANKFURT,Zoologischer Garten Frankfurt,Germany,Germany,DEU,🇩🇪,#B3CBB9FF
GAR,GARDENCTY,Lee Richardson Zoo,Kansas,United States,USA,🇺🇸,#BD8CC3FF
GRA,GRANBY,Zoo de Granby,Quebec,Canada,CAN,🇨🇦,#66C092FF
HER,HERSHEY,ZooAmerica (No. American Wildlife Pk.),Pennsylvania,United States,USA,🇺🇸,#8CD094FF
HOG,HOGLE,Utah's Hogle Zoo,Utah,United States,USA,🇺🇸,#CCEBAEFF
HON,HONOLULU,Honolulu Zoo,Hawaii,United States,USA,🇺🇸,#FDC091FF
HOU,HOUSTON,"Houston Zoo, Inc.",Texas,United States,USA,🇺🇸,#F73563FF
IND,INDRIVR,Indian River Reptile Zoo,Ontario,Canada,CAN,🇨🇦,#F74370FF
IRC,IRCHEL,Universität Zürich-Irchel Anthropologisches Institut und Museum,Switzerland,Switzerland,CHE,🇨🇭,#FFFF73FF
KOL,KOLN,Cologne Zoo,Germany,Germany,DEU,🇩🇪,#80C5DDFF
