"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0864656281263399	0.141223556317896	0.634373211219233	0.302571428571429	0.675486270022883	0.458351193027575	0.709363831308077	0.0331475925132162
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.437473202801201	0.454545454545455	0.0233257012020607	0.163857142857143	0.0537757437070938	0.102586083726247	0.0201572551822731	0.436205172167452
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0724596255538088	0.151086335048599	0.0299084144247281	0.241142857142857	0.0356121281464531	0.139591370195742	0.0307362401715511	0.137305329332762
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.176790052879806	0.103630646083476	0.0201774470520893	0.126714285714286	0.0351830663615561	0.1197313901986	0.0241601143674053	0.119017002428918
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0391596398456481	0.0418810748999428	0.025186033199771	0.120285714285714	0.00943935926773455	0.0698671238748393	0.00986418870621873	0.243463351907415
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00600257253108475	0.0208690680388794	0.0991700057240985	0.012	0.0933924485125858	0.0151450207172453	0.0761972837741244	0.00385769395627947
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.142530051516886	0	0.051058352402746	0	0.0674767691208006	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00585965413748749	0.0028587764436821	0.020892959358901	0.0221428571428571	0.0274599542334096	0.0665809401343049	0.0162973552537527	0.0222888984140592
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0853222809775618	0.0371640937678674	0.00300515168860904	0.000857142857142857	0.00328947368421053	0.00728675525075011	0.0395997140814868	0.000285755107872553
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0824639131056167	0.0370211549456832	0	0.002	0.0117276887871854	0.0154307758251179	0.00357398141529664	0.000714387769681383
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00771759325425182	0.00943396226415094	0.00143102461362335	0.00728571428571429	0.00328947368421053	0.00500071438776968	0.00243030736240172	0.00342906129447064
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0.000142938822184105	0	0.000857142857142857	0.00028604118993135	0.000285755107872553	0	0.000142877553936277
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0.000142938822184105	0	0.000142857142857143	0	0.000142877553936277	0.000142959256611866	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142918393597256	0	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.000142918393597256	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.000142877553936277
