OTU	HDZ-culi-430-S292	HDZ-culi-444-S296	HDZ-culi-445-S297	HDZ-culi-250-S150	HDZ-culi-408-S338	HDZ-culi-252-S152	HDZ-culi-040-S187	HDZ-culi-249-S149	HDZ-culi-192-S75	HDZ-culi-361-S184	HDZ-culi-026-S15	HDZ-culi-363-S209	HDZ-culi-362-S208	HDZ-culi-395-S272	HDZ-culi-085-S92	HDZ-culi-263-S166	HDZ-culi-253-S153	HDZ-culi-035-S185	HDZ-culi-426-S226	HDZ-culi-054-S192	HDZ-culi-226-S124	HDZ-culi-058-S63	HDZ-culi-203-S203	HDZ-culi-311-S120	HDZ-culi-381-S327	HDZ-culi-169-S244	HDZ-culi-254-S154	HDZ-culi-400-S331	HDZ-culi-235-S282	HDZ-culi-022-S31	HDZ-culi-065-S4	HDZ-culi-057-S233	HDZ-culi-221-S90	HDZ-culi-028-S16	HDZ-culi-258-S162	HDZ-culi-271-S311	HDZ-culi-197-S202	HDZ-culi-184-S248	HDZ-culi-390-S267	HDZ-culi-322-S133	HDZ-culi-013-S8	HDZ-culi-437-S253	HDZ-culi-078-S27	HDZ-culi-202-E1-S348b	HDZ-culi-270-S310	HDZ-culi-272-S312	HDZ-culi-317-S155	HDZ-culi-094-S66	HDZ-culi-018-S30	HDZ-culi-364-S210	HDZ-culi-071-S79	HDZ-culi-245-S145	HDZ-culi-269-S309	HDZ-culi-320-S131	HDZ-culi-345-S258	HDZ-culi-211-S106	HDZ-culi-201-E1-S347	HDZ-culi-047-S190	HDZ-culi-365-S211	HDZ-culi-398-S329	HDZ-culi-037-S186	HDZ-culi-273-S313	HDZ-culi-088-S234	HDZ-culi-405-S335	HDZ-culi-097-S91	HDZ-culi-240-S140	HDZ-culi-174-S247	HDZ-culi-176-S51	HDZ-culi-389-S266	HDZ-culi-076-S24	HDZ-culi-175-S61	HDZ-culi-156-S68	HDZ-culi-324-S135	HDZ-culi-241-S141	HDZ-culi-024-S19	HDZ-culi-264-S167	HDZ-culi-372-S218	HDZ-culi-274-S314	HDZ-culi-339-S252	HDZ-culi-039-S33	HDZ-culi-243-S143	HDZ-culi-327-S138	HDZ-culi-326-S137	HDZ-culi-102-S96	HDZ-culi-341-S170	HDZ-culi-238-S306	HDZ-culi-108-S60	HDZ-culi-373-S219	HDZ-culi-182-S52	HDZ-culi-401-S332	HDZ-culi-215-S108	HDZ-culi-220-S85	HDZ-culi-301-S110	HDZ-culi-434-S230	HDZ-culi-021-S7	HDZ-culi-084-S35	HDZ-culi-357-S180	HDZ-culi-091-S236	HDZ-culi-066-S5	HDZ-culi-450-S322	HDZ-culi-231-S278	HDZ-culi-230-S277	HDZ-culi-229-S130	HDZ-culi-236-S283	HDZ-culi-016-S21	HDZ-culi-328-S158	HDZ-culi-336-S159	HDZ-culi-190-S59	HDZ-culi-429-E1-S355	HDZ-culi-262-S165	HDZ-culi-348-S259	HDZ-culi-198-S88	HDZ-culi-394-S271	HDZ-culi-396-S273	HDZ-culi-383-S260	HDZ-culi-452-S344	HDZ-culi-181-S74	HDZ-culi-318-S156	HDZ-culi-305-S114	HDZ-culi-064-S2	HDZ-culi-319-S157	HDZ-culi-224-S123	HDZ-culi-350-S174	HDZ-culi-187-S71	HDZ-culi-014-S18	HDZ-culi-330-S323	HDZ-culi-087-S78	HDZ-culi-442-S294	HDZ-culi-347-S318	HDZ-culi-201-E1-S347b	HDZ-culi-180-S99	HDZ-culi-384-S261	HDZ-culi-433-S229	HDZ-culi-358-S181	HDZ-culi-429-E1-S355b	HDZ-culi-342-S171	HDZ-culi-388-S265	HDZ-culi-010-S23	HDZ-culi-053-S191	HDZ-culi-438-S275	HDZ-culi-077-S38	HDZ-culi-386-S263	HDZ-culi-310-S119	HDZ-culi-020-S12	HDZ-culi-089-S64	HDZ-culi-370-S216	HDZ-culi-352-S176	HDZ-culi-321-S132	HDZ-culi-098-S238	HDZ-culi-392-S269	HDZ-culi-042-S188	HDZ-culi-377-S287	HDZ-culi-266-S254	HDZ-culi-222-S109	HDZ-culi-163-S82	HDZ-culi-063-S1	HDZ-culi-046-S48	HDZ-culi-166-S197	HDZ-culi-196-S76	HDZ-culi-011-S10	HDZ-culi-168-S58	HDZ-culi-167-S198	HDZ-culi-204-S249	HDZ-culi-219-S81	HDZ-culi-308-S117	HDZ-culi-314-S126	HDZ-culi-060-S80	HDZ-culi-233-S280	HDZ-culi-227-S128	HDZ-culi-179-S98	HDZ-culi-375-S285	HDZ-culi-354-S177	HDZ-culi-038-S45	HDZ-culi-202-E1-S348	HDZ-culi-081-S40	HDZ-culi-028-S36	HDZ-culi-069-S193
cluster60_HDZ-culi-166-S197	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17_HDZ-culi-057-S233	5	0	8	355	7	7	180	0	76	10	63	34	8	26	57	130	94	31	0	201	106	5	160	66	68	179	83	157	74	0	52	184	64	11	89	147	74	64	61	0	76	37	10	27	210	265	257	0	0	4	19	205	117	44	76	18	43	48	43	142	35	173	204	221	82	121	290	0	67	6	0	8	70	275	31	68	30	225	491	5	4	64	65	0	398	42	9	55	0	121	75	50	128	0	45	0	125	194	0	0	13	96	99	32	66	230	49	0	0	403	101	11	85	68	45	0	39	81	23	14	120	108	388	21	185	301	87	24	128	30	32	29	0	20	0	117	182	103	16	0	0	10	50	81	0	86	102	211	92	154	186	243	118	34	44	88	0	0	59	31	0	110	308	0	81	46	58	46	89	29	27	34	0	36	0	0	130
cluster0_HDZ-culi-348-S259	287	387	341	64	1383	349	149	464	23	339	185	159	194	29	0	5	43	164	53	74	59	0	23	12	305	9	6	71	76	4	0	17	40	105	8	11	0	34	18	0	504	599	0	6	6	25	40	0	0	76	0	55	13	10	22	16	8	73	26	34	230	8	29	328	29	47	26	0	19	0	0	0	7	24	138	94	76	18	262	6	129	4	90	59	266	45	0	43	13	101	12	139	4	58	316	0	43	5	69	369	5	31	38	11	307	14	16	0	70	12	175	7	17	24	71	152	8	21	8	256	67	6	51	4	421	67	6	412	217	6	0	188	44	28	50	138	20	400	48	33	0	85	0	418	0	22	248	157	17	269	99	68	15	13	0	37	0	1161	21	298	0	16	49	313	4	0	5	50	78	8	71	240	14	0	0	11	65
cluster50_HDZ-culi-273-S313	0	0	0	311	59	0	570	0	61	0	145	6	7	50	110	82	111	75	0	256	47	13	168	105	44	183	148	370	111	0	178	352	51	42	165	217	70	657	65	0	167	457	4	47	145	232	214	0	0	73	73	61	330	109	72	41	41	165	0	468	37	198	263	200	39	43	574	5	79	8	17	12	155	348	234	79	29	239	90	17	0	83	161	4	182	45	5	61	0	175	72	50	356	0	74	67	0	435	0	0	51	210	41	105	96	170	182	0	0	232	81	125	99	168	36	0	192	262	54	0	163	292	247	82	175	617	79	0	70	29	133	37	0	0	0	75	149	18	58	0	0	0	387	87	0	53	0	29	214	154	89	202	245	83	71	134	0	0	124	8	8	182	261	13	261	339	139	34	12	55	56	0	11	99	4	7	211
cluster9_HDZ-culi-065-S4	253	186	497	352	1065	1287	605	1282	391	1509	458	394	292	320	436	434	609	697	0	982	948	45	581	114	471	1269	904	851	655	18	601	1277	168	317	781	378	322	915	62	0	734	1049	34	157	537	174	1224	11	0	34	148	509	628	251	471	19	210	709	62	621	385	319	754	1215	622	1497	1392	4	231	18	20	19	276	1160	163	1507	73	887	2508	47	1111	245	1179	617	692	233	76	36	66	546	259	302	161	114	88	65	1677	732	266	87	235	921	298	635	886	345	345	16	199	778	179	134	679	24	229	0	180	557	300	1172	1339	209	100	220	1193	1101	369	618	474	238	157	286	10	383	123	396	478	533	503	4	7	137	120	1020	0	224	1020	1364	995	550	189	464	353	458	367	515	0	462	141	355	41	942	1359	219	284	71	376	645	717	107	65	2430	99	194	4	30	1017
cluster5_HDZ-culi-354-S177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
cluster44_HDZ-culi-240-S140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster14_HDZ-culi-240-S140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster25_HDZ-culi-444-S296	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster104_HDZ-culi-166-S197	161	33	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
