"ID"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.030"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.157"	"hdz.173"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.103"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.107"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.248"	"hdz.267"	"hdz.265"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.237"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.335"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.337"	"hdz.344"	"hdz.338"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.218"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.376"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.189"	"hdz.475"	"hdz.441"	"hdz.160"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.423"	"hdz.416"	"hdz.415"	"hdz.414"	"hdz.171"	"hdz.412"	"hdz.159"	"hdz.473"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.489"	"hdz.477"	"hdz.484"	"hdz.509"	"hdz.479"	"hdz.480"	"hdz.517"	"hdz.487"	"hdz.481"	"hdz.525"	"hdz.522"
"txid604330"	5	0	21	5	0	10	8	6	7	3	0	0	2	13	2	3	8	2	2	4	12	3	2	7	0	4	8	1	1	4	0	4	9	5	3	28	4	3	8	6	11	12	7	1	3	2	5	4	3	0	2	1	0	1	0	4	0	7	2	6	3	9	8	10	0	3	5	5	12	28	0	2	29	14	5	17	0	81	6	12	1	2	2	4	7	2	9	17	2	1	4	29	0	1	4	10	1	12	4	2	1	1	5	0	2	0	1	0	0	1	0	1	0	1	2	5	1	2	4	2	11	8	1	1	0	1	2	1	0	6	3
"txid2003188"	1	1	1	1	4	1	0	6	0	0	1	2	2	0	0	1	0	0	0	1	0	0	1	3	0	2	1	0	2	1	7	1	0	1	2	0	1	1	2	0	1	1	0	0	1	1	1	1	0	3	1	0	0	0	0	0	2	2	1	3	0	4	3	5	5	4	0	1	2	7	4	2	7	8	1	2	3	13	2	3	0	1	1	4	8	3	10	8	0	2	1	37	1	3	1	8	1	1	1	1	1	0	7	0	0	1	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	1	1	1	0	2	2
"txid147207"	0	0	2	3	3	3	3	8	3	0	7	5	24	0	0	0	0	1	1	0	1	0	1	4	0	0	1	1	13	1	4	0	1	0	20	2	0	3	0	1	2	0	1	1	0	1	3	2	2	8	0	6	0	1	1	1	13	4	0	1	3	4	0	7	4	6	3	2	23	10	11	2	10	11	2	1	6	11	2	1	0	8	6	12	16	7	12	57	2	1	4	33	0	1	6	16	2	2	1	2	0	0	3	1	1	0	1	0	3	1	0	0	0	0	2	1	0	0	0	0	2	3	1	2	3	0	3	2	1	3	0
"txid1871016"	1	0	0	0	0	2	0	0	1	0	0	0	1	2	1	2	2	1	1	0	4	0	1	1	0	0	1	0	1	0	0	1	0	1	2	1	0	4	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	0	2	0	0	1	0	1	1	1	1	1	1	1	1	0	11	0	1	1	0	0	1	0	1	1	6	0	0	1	3	14	0	2	2	2	1	0	1	2	1	5	0	2	1	3	0	2	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	1	2	0	1	0	2	0
"txid742742"	1	0	0	0	0	0	0	0	1	0	3	1	12	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	1	7	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	10	1	0	0	0	0	1	3	2	3	1	0	1	2	1	0	2	1	0	0	0	6	1	0	0	3	1	5	2	1	3	8	1	0	0	11	1	0	1	6	2	0	0	0	1	0	17	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	4	1	1	0	1	0	0	1	1	0	0
"txid1870987"	5	3	22	5	3	13	1	15	3	4	6	1	15	5	1	6	0	3	4	1	5	3	5	15	0	0	6	0	4	4	4	4	5	2	10	12	2	5	5	2	5	5	3	1	2	4	13	2	2	2	1	1	1	6	1	7	4	21	3	6	6	9	8	5	3	9	8	7	37	43	4	2	31	32	7	8	4	81	6	8	1	1	8	25	23	12	21	59	3	2	7	43	0	1	7	14	3	6	5	4	1	1	7	5	3	2	0	3	3	3	1	0	1	5	2	16	2	0	3	2	26	28	2	6	6	4	4	9	1	14	16
"txid1411144"	10	5	1	5	1	1	1	9	2	2	2	10	12	0	2	3	0	0	2	3	1	3	1	2	3	4	2	0	24	0	11	0	1	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	23	0	0	0	0	30	1	0	0	0	0	5	0	6	4	20	5	7	28	1	14	3	4	6	9	4	9	7	6	1	9	49	9	16	3	7	6	7	8	0	4	0	6	3	30	3	3	1	6	7	6	19	6	25	1	20	0	2	4	0	4	0	1	6	3	1	1	0	1	2	5	7	2	3	1	0	5	0	0	1
"txid246787"	0	2	1	2	0	1	2	6	4	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	5	0	12	0	0	0	0	1	0	0	28	0	0	0	4	1	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	1	1	1	0	243	221	16	0	10	20	2	5	81	0	4	4	8	14	231	0	23	6	6	0	0	1139	111	35	8	79	31	61	110	2	9	0	3	8	16	0	0	0	0	0	0	0	21	0	0	9	0	0	2	0	2	1	0	0	0	0	0	0	1	0	14	25	0	0	0	0	0	0	0	0
"txid1871006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	8	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	3	11	1	0	0	127	178	0	0	0	0	2	1	0	0	6	29	0	6	0	1	15	0	41	6	0	3	3
"txid817"	1	34	25	10	0	27	7	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	136	0	0	0	0	0	3	0	0	0	5	3	0	0	7	4	4	0	0	88	59	72	0	8	7	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
