"Taxa"	"culi_1"	"warble_1"	"culi_2"	"warble_2"	"culi_3"	"warble_3"	"culi_4"	"warble_4"	"culi_6"	"warble_6"	"culi_7"	"warble_7"	"culi_8"	"warble_9"	"culi_10"	"warble_10"	"culi_11"	"culi_12"	"warble_12"	"warble_14"	"culi_15"	"warble_15"	"warble_20"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"warble_33"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"warble_42"	"culi_43"	"warble_43"	"warble_45"	"culi_46"	"culi_48"	"warble_49"	"culi_50"	"warble_50"	"culi_51"	"culi_52"	"warble_52"	"warble_53"	"culi_54"	"warble_54"	"culi_55"	"warble_57"	"culi_58"	"warble_58"	"culi_59"	"warble_60"	"culi_61"	"culi_62"	"warble_63"	"culi_64"	"culi_65"	"culi_68"	"warble_68"	"warble_69"	"warble_73"	"culi_74"	"culi_75"	"culi_77"	"warble_80"	"culi_81"	"culi_82"	"culi_83"	"warble_83"	"culi_84"	"warble_84"	"culi_85"	"warble_85"	"culi_86"	"culi_87"	"warble_87"	"culi_88"	"warble_88"	"culi_89"	"warble_89"	"culi_90"	"warble_90"	"culi_91"	"culi_92"	"culi_93"	"warble_93"	"warble_94"	"culi_95"	"warble_95"	"culi_96"	"warble_96"	"warble_97"	"culi_99"	"culi_100"	"warble_100"	"warble_101"	"culi_103"	"warble_103"	"warble_104"	"culi_105"	"culi_106"	"warble_106"	"culi_107"	"warble_107"	"culi_108"	"warble_108"	"culi_109"	"warble_109"	"warble_110"	"culi_111"	"warble_111"	"warble_112"	"culi_113"	"culi_114"	"warble_114"	"culi_115"	"culi_116"	"culi_117"	"warble_117"	"culi_118"	"warble_118"	"culi_119"	"warble_119"	"culi_120"	"warble_120"	"culi_121"	"warble_121"	"culi_122"	"warble_122"	"culi_123"	"warble_123"	"culi_125"	"warble_125"	"culi_126"	"warble_126"	"culi_127"	"warble_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"warble_135"	"culi_136"	"warble_136"	"culi_137"	"warble_137"	"culi_138"	"culi_139"	"warble_139"	"culi_140"	"warble_140"	"culi_141"	"warble_141"	"culi_142"	"culi_143"	"culi_144"	"warble_144"	"culi_145"	"warble_145"	"culi_146"	"culi_147"	"warble_147"	"culi_148"	"warble_148"	"warble_149"	"culi_150"	"warble_150"	"culi_151"	"warble_151"	"culi_152"	"warble_152"	"culi_153"	"warble_153"	"culi_154"	"warble_154"	"culi_156"	"culi_157"	"warble_157"	"warble_158"	"culi_159"	"warble_159"	"culi_161"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"culi_172"	"warble_173"	"culi_174"	"culi_177"	"culi_178"	"warble_178"	"warble_180"	"warble_181"	"culi_183"	"warble_185"	"culi_187"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"culi_192"	"warble_192"	"culi_196"	"warble_197"	"culi_199"	"culi_200"	"warble_200"	"culi_201"	"culi_202"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"	"culi_416"
"Metabolism|Global and overview maps"	0.394917833314803	0.385568295466416	0.398887159705906	0.380545478034255	0.394129714110229	0.384844707088059	0.395985811487854	0.389716709005089	0.400027216717526	0.399369381073703	0.392114300722274	0.387548057061854	0.393881466131023	0.383525187187058	0.393349514065903	0.37534699623337	0.394013851053334	0.39834114864682	0.383406181826444	0.398160153115378	0.390791197075771	0.396776704798197	0.395411269067492	0.390398016346001	0.387088864580929	0.383474170967522	0.391146056431082	0.393756276299657	0.383613041730666	0.389343478146603	0.392413204732538	0.394602954241519	0.39168830795458	0.390627203311156	0.387711014951634	0.39206397087278	0.39263068437676	0.392732385250375	0.383103804272395	0.391302636386577	0.389638695992643	0.390543763441632	0.39347216933769	0.388078086184459	0.385689273271791	0.391339454336544	0.397860812391782	0.392702040763169	0.390681265660188	0.392652774488937	0.388274483562152	0.400605600506261	0.392853303400207	0.389332485594823	0.397514666299552	0.385566271234258	0.389358836265938	0.383839555258236	0.39242152524608	0.384909691700348	0.3900223223339	0.386512195861839	0.391282826339972	0.392064204257232	0.39767455010801	0.396806559992234	0.398426912346291	0.376431394336444	0.387553743638556	0.384975712156424	0.387138434143569	0.392267731091864	0.390328217772303	0.39621959738324	0.393778454037088	0.394912991221558	0.383769770791335	0.396160983543439	0.395132637584202	0.390289949667015	0.386783085475426	0.396370435970675	0.387654938470928	0.389713944514786	0.380870342804695	0.388803840981838	0.393819453383583	0.385269396655482	0.387995427042375	0.366846001667487	0.383712446893021	0.380047732259756	0.400047494871013	0.383587515430722	0.391247842235616	0.385296020433855	0.39353175993756	0.391170763317645	0.393837733820463	0.391973349123962	0.383846681549514	0.394669073766541	0.388246994864148	0.391344568810822	0.388211116117005	0.390646831827109	0.38565672288287	0.395999564848305	0.382834061356905	0.399554868511115	0.383788119233708	0.391143126320928	0.390851658285222	0.387945675636511	0.389529348150878	0.392197428442163	0.384453837738384	0.369301756340469	0.388255372233571	0.388122064876401	0.379336775335229	0.395205978796872	0.396394645512451	0.375625963674581	0.394240511470624	0.385805595345394	0.395010578848635	0.382851767599824	0.397817923373888	0.390796653436578	0.371594941442673	0.382881713465486	0.391742712809092	0.393867835605508	0.391684098709547	0.394831294893763	0.393632334968588	0.391073892567004	0.392048071640565	0.391008137742476	0.370609571212135	0.391788309940829	0.387606173880583	0.389307259222718	0.394051038587512	0.396899505120125	0.372202673552094	0.394990052055496	0.358808677267529	0.397677703950807	0.373630231812394	0.393190699483518	0.371511225357577	0.384200695996735	0.394427866784555	0.375865639709611	0.386319396379398	0.369755014312325	0.366618438453795	0.370902334037577	0.382061653349922	0.381572319183693	0.38292705771066	0.375402918287896	0.396272449051065	0.392082310102516	0.369004232983364	0.384892254771294	0.396780108196988	0.36802846933229	0.389223694008457	0.384963619320161	0.374144257776327	0.384731900186609	0.367447190253789	0.367807475017121	0.367178475867053	0.360505348501641	0.392301033022264	0.390654316716715	0.395013487740762	0.393571910149425	0.372992431046082	0.383733243573419	0.389317896745929	0.381507630999758	0.378216246093256	0.391876940917356	0.359657426079217	0.387530588364174	0.356652842369681	0.400806835724135	0.378575109620621	0.399266081465333	0.399414462058675	0.399291367684208	0.362050893864967	0.37888546756702	0.374644926198585	0.38836347321699	0.378068442490107	0.365366685631341	0.367983405339602	0.378998512403182	0.382438914870392	0.377000277834483	0.3678943734567	0.361080744720051	0.366658578611018	0.381912478535085	0.369251550018355	0.39617693922391	0.372650587379965	0.375669457327339	0.379924950000695	0.37814969382021	0.398824796649965	0.374665024671177	0.39096517532264	0.385473470472389	0.384181650566663	0.380156336064629	0.38199842612137	0.373714930092009	0.375752369169353	0.375098813757343	0.384668555463577	0.383017949364452	0.365120343912947	0.366683624664324	0.360534500225991	0.383519628400437	0.360145186993903	0.363464020238934	0.381594080724827	0.382298552959075	0.370898996742877	0.392653459669915	0.389061193672439	0.383985275457199	0.372378994990255	0.373037562770194	0.37151391873021	0.379386552817809	0.385109205859409	0.394634046934656	0.368132723213517	0.382367425938182	0.378994004358659	0.384672489510488	0.376096665306069	0.396353011938598	0.394359013848895	0.374037784558029	0.387880237814058	0.37313374086211
"Metabolism|Carbohydrate metabolism"	0.0846815122286649	0.0963102253973772	0.0846181849564536	0.106314133879035	0.0850642585302221	0.0946981437555682	0.087967465500745	0.094764638447875	0.0859961640134509	0.100297514045759	0.0920395281085295	0.0999200756577282	0.0851552353907151	0.100216618172091	0.0923684096182507	0.103807639281267	0.0870890688961697	0.0834014421965426	0.100172725734966	0.0993798364138587	0.093272953502088	0.0890420164625222	0.0968463039327987	0.0916359751768524	0.102621256865195	0.0944014869098022	0.0963355420114401	0.0955164011378131	0.1048561783859	0.0990036187592134	0.0919737252268449	0.0895570359648558	0.0940945335798073	0.0918404107009923	0.0958601151838688	0.090360044473464	0.0895533180095835	0.0998277188089435	0.101157554005652	0.0961053988843196	0.0939885908597705	0.0907884861091561	0.0939298689633396	0.102729454615442	0.103880298997748	0.0969045601066359	0.0939878582839004	0.101092726145652	0.0979244150260939	0.0975567153097873	0.100252453521521	0.100506597354724	0.0920408496207668	0.101107714663705	0.0883598092484823	0.095268153180034	0.104572395446557	0.0997769466415019	0.0961800488755138	0.0989008551402163	0.102059454898235	0.100991689576613	0.0887214861595302	0.0915644209309608	0.09573163118561	0.0918754329882326	0.0993027711445156	0.0967909254195336	0.0983444694271992	0.0946748039734539	0.0934854534116676	0.0978062871291362	0.0928720955932748	0.0871786013736548	0.0919617833439368	0.0986782185732958	0.10060345394977	0.10602044499155	0.092852426223829	0.105791475527756	0.0997438328868548	0.103235041716494	0.103208545389996	0.0958957375712014	0.105953755082885	0.100559056383585	0.097388912216505	0.102062416245977	0.0992203075661646	0.110455161999003	0.104135430058485	0.0967534347974597	0.106368858866585	0.106819240264145	0.0994658549574445	0.09454964536681	0.0919136547386787	0.0992747782931295	0.103587849743647	0.0957450961718241	0.0984693980698424	0.0929989930976552	0.0996284153438268	0.0904348821500396	0.0902873352965446	0.0987077411400086	0.0974700009132654	0.0862283037504812	0.0961293448740284	0.0947112399428436	0.099682992762404	0.0911269133687953	0.101565791637795	0.102323925801129	0.0947066299031928	0.0907044196301659	0.0971108938048674	0.10733383687898	0.0896440389010735	0.100548157060802	0.100883536603685	0.0860994095722344	0.0918582113399946	0.104291277496375	0.0911782232629218	0.0951053440100254	0.0847078066815204	0.097094789200698	0.0896475017229185	0.0978475339696993	0.106374004703332	0.096377293063514	0.0960174526555391	0.0828829528689217	0.0861346760920358	0.0883421182511247	0.095659853345413	0.0906155264498726	0.0874530150405415	0.085489754176499	0.107229959821767	0.0943484451104176	0.0949338638047207	0.0942514258879127	0.0852158227508285	0.10166844706969	0.0992201743991803	0.0832473258569457	0.110989406849334	0.0924856233269576	0.0995693831971131	0.091232888864576	0.105636860544227	0.104113112126648	0.0853397440459257	0.101956708789162	0.0948080252530353	0.107172065631334	0.105442455054754	0.0990336249921218	0.100925722563487	0.101529947383512	0.0967607052092953	0.1043713086209	0.0857972007538314	0.101339114305228	0.110447057384319	0.0974510149089425	0.0891118426187837	0.108194643230246	0.0954027851069609	0.0978610492584593	0.106043825120608	0.0934510266216552	0.112551115846418	0.102859482763832	0.113905092491561	0.111747497294345	0.0888408205698669	0.094302993498872	0.104996669752143	0.095816830811388	0.107922249702021	0.104963275042217	0.0961867856600915	0.106918310519645	0.102877292533893	0.0964531506168792	0.110234940486395	0.0943168813602842	0.11271198013049	0.0858901598154112	0.0963712747841473	0.0870248716759041	0.0872044947981273	0.0814763563831682	0.109528259870588	0.10515553844878	0.104440112081881	0.0933110140249152	0.101036141071306	0.11415199246056	0.109625726966487	0.0940392713778895	0.108597409850666	0.10284966952943	0.109232661812739	0.119529045964162	0.109934305982857	0.0992307780810707	0.108354101089348	0.085878529850159	0.102360398419298	0.104485893091813	0.108085749249846	0.106262879135643	0.0940289495319127	0.116951464570089	0.101672663926753	0.0954693465738026	0.101358878077592	0.101213915312509	0.101964215034276	0.103328102724925	0.105352162256987	0.0968073128089567	0.0954713042723329	0.101277691807903	0.117218590629216	0.108925971480796	0.117837826542282	0.0957899027860839	0.113332198365177	0.115520991122206	0.0979688904315033	0.10475432052144	0.112191260581391	0.099359535404279	0.0925310960376203	0.101747815193357	0.106377059826364	0.108138399475418	0.101359669436102	0.106002994120225	0.107439959445968	0.104086677469942	0.115469098146784	0.105609019399247	0.101664454453553	0.0983179283900383	0.109945260168555	0.0916759312803827	0.0955898812243513	0.108603511992816	0.0991144645416903	0.104803759882923
"Environmental Information Processing|Membrane transport"	0.0551697594201321	0.0648742359362176	0.0540971722611104	0.0705479181020961	0.0562603247936742	0.06466809125889	0.056376688037983	0.0563520555707583	0.0547762824340944	0.0625065801105595	0.0616237769619328	0.0635973378924874	0.0568733522548525	0.0670276141864123	0.060612377437683	0.0718852574376994	0.0576163505560378	0.0532969794287904	0.0689186998058313	0.0611054767543846	0.0628950813333494	0.0578368661656142	0.0606815961427147	0.0614436443364263	0.0710286406179835	0.0656463229893785	0.0634982565414595	0.0604904000825883	0.0731956633973021	0.0679300185770763	0.060608288586661	0.058475435986707	0.0603862196581166	0.0608681909905111	0.06366936500139	0.0585816527619547	0.0577170611131328	0.0619917722341624	0.0691432185622984	0.0629406089513297	0.0625176715036663	0.056969261706426	0.0583724438503792	0.0644855342571453	0.0636808668508383	0.0638642860989185	0.0577112192472266	0.0640103083374623	0.0649261011405093	0.0629289636167117	0.0662102696213598	0.0602318055523596	0.0616347868847356	0.0630942224847943	0.0558086773245031	0.0614511492565709	0.0703917015340066	0.071231681310964	0.0613315759579969	0.069366076821674	0.0682152342477011	0.0708241420657064	0.0568924713141443	0.0584853173168412	0.0581123640562127	0.0579122190325217	0.0619004768533883	0.0686625397227202	0.0639516477273754	0.0659937059523337	0.0655837780059985	0.0647429900174482	0.0631299501882521	0.0570724054244927	0.0602999406141439	0.0623927517628051	0.0716267853538115	0.0645030800376116	0.060805869529984	0.0681924967284692	0.0674817719909535	0.065580079484209	0.0699719109852743	0.0638197545487442	0.0736105827724128	0.0700153236642774	0.0641035866876647	0.0680360545764488	0.068299788061946	0.0718946193557469	0.0703136292637895	0.0684807242078383	0.0640151447995934	0.0744224711227916	0.0629594706696258	0.0618387149783165	0.0608760055945238	0.066422848426144	0.0629209130212796	0.062251187566813	0.0706867960800599	0.0531595638412082	0.0657916337110623	0.0611544322887049	0.061037436374138	0.0664097379305588	0.0690232152183481	0.05631815180252	0.067412101072506	0.0575622218878637	0.0671302586701481	0.0598703059757743	0.0655232813043056	0.0692724769084754	0.062701362686848	0.0585344029040156	0.079582213891642	0.0779118964981078	0.0627613952065682	0.0693900632627968	0.0740061441818304	0.0568134620573317	0.0583241162014134	0.0734625632690256	0.0595836065341762	0.0646161767891214	0.0554712212371397	0.0656261490809244	0.0563139672467187	0.0656550162944265	0.0750231643563282	0.0696966237084843	0.0632590582961417	0.0557452974403101	0.0579045414386936	0.0580877333802314	0.0616003651316047	0.0619759581078902	0.0491359654311654	0.0576878548425105	0.0742903083211493	0.0628243300678312	0.0640778602361101	0.0621802350368604	0.0579385949386914	0.0645369867045545	0.0607522463871569	0.0539493106877054	0.0690401162030596	0.0590490253786351	0.06857590012904	0.062318401166594	0.0819740831159343	0.0721292976576797	0.0558513905288265	0.0708195952839136	0.0645590371596534	0.072849347689192	0.0773969420609753	0.0638077092078516	0.070021578702019	0.0701537406134036	0.0686160929539264	0.0744208782509214	0.057682172449775	0.0688001543839988	0.0517936219295029	0.068384247926638	0.0567725024984951	0.0689523292419506	0.0637227653537603	0.0681268292521094	0.0776986149984059	0.063241125097855	0.0795447818651034	0.0770053999474371	0.0815997830701065	0.0676030216408196	0.059918007586548	0.0615648209400201	0.0664807262050553	0.0619469145494376	0.0698873619135082	0.0660027013102198	0.0646721694002142	0.0705957603179194	0.0745401170084362	0.0628558212976253	0.0866482396019552	0.0624019487968156	0.0443775126041303	0.0544383785980653	0.0562890902475128	0.0549962477325678	0.0545865954798445	0.051825884191015	0.0825499554275292	0.0745933866937487	0.0629211865949026	0.0654031242599399	0.0651891395726819	0.078941222209183	0.0727494043963404	0.0548707500966158	0.0735519410246718	0.075177824964554	0.0735235919166909	0.0849194770893889	0.0577245820368077	0.067770684003239	0.0747971023684833	0.0511775923613204	0.0748574179800136	0.0681382663112359	0.0787615429934754	0.0664561176044955	0.0581858209930628	0.0821638429935021	0.0663416953388857	0.0551771481984027	0.0693353276248574	0.0712885867559707	0.0604669801798242	0.0649094094361662	0.0598903257128871	0.071173898746463	0.0603671995905815	0.0584061871145044	0.0846710280316835	0.0760877839608543	0.0810784126032155	0.0667710225370301	0.0848198154797553	0.0829414173267572	0.0684988911944347	0.0679280181709264	0.081442367286826	0.0659592466736428	0.062631637252462	0.070070872025197	0.0767466491919627	0.0774440767158425	0.0700612563814046	0.0671921096225903	0.0667915666995746	0.0674992801203837	0.0839983384189761	0.0684729011260868	0.0702216199170659	0.0621673174201346	0.0748897913765968	0.0589513574932954	0.062987253438127	0.0765621346890983	0.0642879202111691	0.0757394238061648
"Metabolism|Amino acid metabolism"	0.0587388171315784	0.060771421391305	0.059703156258825	0.0612918027563301	0.0584090304313658	0.0597382137314885	0.0595109843674332	0.0610318039051965	0.0599981692135445	0.063898741799294	0.0602150763893717	0.0617031014521732	0.0588803590765223	0.0604363065376946	0.0614519755658415	0.0594482022069935	0.0597409574692757	0.0586063285076294	0.0615759500452087	0.0636203237113213	0.0601463015128055	0.0605580318076385	0.0620107587049647	0.0596310688105661	0.0631404617997816	0.0598188568868523	0.0612200030145854	0.0628362855218634	0.0606472196487543	0.0614486023164102	0.0600184115918867	0.0606742505444081	0.0598319318843227	0.0598934391836177	0.0594319001321692	0.0589284335775886	0.0597053646767974	0.062366091099541	0.0627062534590008	0.0598020227936093	0.0602459380783731	0.0576794235240147	0.0615233255322237	0.0630510150592583	0.0632110936906762	0.0617221062103228	0.0622441716772432	0.0645056002366782	0.0625699700814148	0.0626564991457953	0.0611115110242295	0.0654951691303966	0.0607978653367135	0.0628095566613288	0.0605422585375105	0.0591872472526767	0.0633020305290314	0.0606039845334148	0.0624637623736932	0.0606868526840505	0.0618939141211176	0.0610578310058527	0.0584404791030107	0.0593046951306328	0.063277380411292	0.0602334264242869	0.0641010793241167	0.0640024481578765	0.0608227359375876	0.0597108740935733	0.0616102192680147	0.0603960874948824	0.0591857564852695	0.0594849932409698	0.0615751154301338	0.064843056110859	0.0607356464287443	0.0660856319718905	0.061171672288394	0.063797003298883	0.0612787479685052	0.0654484095645303	0.0616868105956899	0.0615811937175216	0.0615826119868111	0.0611114528837043	0.0615717147261979	0.061045693958472	0.0612644870068043	0.0604807890356444	0.0632363292433777	0.0607179306554939	0.065978298669654	0.062731000739929	0.0630393872885518	0.0653593579447669	0.0613569916953183	0.0627000674509657	0.0648512848792449	0.0613467813064575	0.0608427016096571	0.0730519091566442	0.0624188095465455	0.0598507317324216	0.0580447920440249	0.0623850697439041	0.0599341077007734	0.0593318512290914	0.0601805587498572	0.0634451390945006	0.0589993648048278	0.0598788597986911	0.0640438962537879	0.0623276410056115	0.059545587813865	0.0597826077087941	0.056478081838829	0.0584885499285105	0.0584083608514487	0.0616146599102967	0.0590726858866559	0.0590595992494706	0.0608465395028542	0.0578013309173842	0.060261157346229	0.0586999586806132	0.058380909640155	0.0587561164722846	0.060703353462415	0.0625698764031109	0.0587594195585832	0.0590588245763051	0.0620951128021585	0.0577599487242849	0.0581253527315391	0.0607456638103034	0.0622205507635575	0.0602383255463106	0.0768412403570314	0.057966315434341	0.0636079967673601	0.0617619533386945	0.0604309699055048	0.0615191582608729	0.0583522536070514	0.0645491009782355	0.0575002027079919	0.0576301972422738	0.0562451048241331	0.0613826851111131	0.059491284933713	0.0603155012266412	0.0616907859501656	0.0627585031002329	0.0587146790112935	0.0624353294077945	0.0600543459078326	0.0611949122970559	0.0612815646196138	0.064503940146101	0.0610012990256349	0.0621273736679198	0.0587504773153832	0.0598793612119525	0.0605179050735553	0.0624840208063674	0.0580330516972977	0.0611010751912799	0.061247771599021	0.0611849337231834	0.0606000640009327	0.0612412251204961	0.0586846067160489	0.0595158098541694	0.0570038900164257	0.0590122094345122	0.057758600183069	0.0560648772535866	0.0586798470957233	0.0641384342942386	0.065156454785572	0.0642263332955743	0.0632534740412574	0.0640287381855162	0.061812392477534	0.064773521877256	0.0630331597709429	0.0609784144889211	0.0619128158277695	0.0628260087679674	0.0526941159151755	0.0609589077784054	0.0592803290172182	0.0598293844889943	0.0610078541414704	0.0587696780524744	0.0585433664775049	0.0615776535893335	0.0591164797750518	0.0598916563469651	0.0595764535437374	0.0543687034277056	0.0596658338976232	0.0685309627803541	0.0636870451820976	0.0604868387357008	0.060345479647421	0.0558430570429241	0.0579221220166801	0.0614220014712678	0.0552908772305903	0.059768520183331	0.0596198794185844	0.0579535713465561	0.0611753398448975	0.0629161453576096	0.0639675583067093	0.0616051047329063	0.063457537726675	0.0769134058762631	0.0638086754665398	0.0613617029213519	0.0605200055065203	0.0614816084607355	0.0611521827403667	0.0634717762966069	0.0599055520836895	0.0731944374931095	0.0599278471798666	0.0597284916130612	0.0587554359089338	0.0592958129905541	0.0599489455075799	0.0568829635948178	0.0609220358352961	0.0625921856819796	0.0613741674815686	0.0634184800107693	0.0606380224040264	0.0638051191092663	0.0615455775260988	0.0596134969750215	0.0623481090249936	0.0622865670803472	0.0646850795902296	0.0662449622596073	0.0632945444039129	0.0628304020616973	0.0626164099061965	0.0633230107782574	0.0629769659075323	0.0646186649435549	0.0623479808218763	0.0649192096804931	0.0624129132623246	0.0573628351214232
"Metabolism|Energy metabolism"	0.0473075776454939	0.0427409528190047	0.0474030720875199	0.0402921924039913	0.0475099343797818	0.0433636643663898	0.0466993482614381	0.0432279649705677	0.0469855503038828	0.0418519017168621	0.0446018801861589	0.0417865928312562	0.0467045675729465	0.0417285847271386	0.0439741427658513	0.0401869523245224	0.0460011400086735	0.0479096421706955	0.0415102758491282	0.0424208361726444	0.0440954340621919	0.0457767770567813	0.0430420467748434	0.0449372917540227	0.0402441118606421	0.0430190334457874	0.0430479121441771	0.0430583148630519	0.0406587716170024	0.0419709743100797	0.0446413000515826	0.0451898657651712	0.0440343265208866	0.044439638406956	0.0436332283349195	0.0453726424748643	0.0453846785090393	0.0427031812746364	0.0408007027219357	0.0435374392757836	0.044016795187301	0.0458945407888686	0.0438672217395039	0.0410591446132888	0.0400456644278296	0.0427680178147358	0.0442842188968132	0.0412054846645412	0.0419256081534962	0.0427142562590306	0.0419659758206748	0.0423121864092645	0.0445267202710021	0.0412084000515224	0.0461956858026237	0.043659348098245	0.0402641881507062	0.0419704901818254	0.0432110879152098	0.0419417650836537	0.0417242698360282	0.041801337150256	0.0455156293211279	0.0450990217079275	0.0433694876674897	0.0453184700756384	0.0421241884041417	0.043931939264723	0.0422012301634033	0.0440645166392456	0.0428810714914127	0.0435314857806397	0.0446447284927246	0.0465419258935731	0.0441728847559303	0.0416492299353947	0.0417390498267306	0.0398046326751609	0.0445971407147884	0.040588382633869	0.0416254234320334	0.0406616759651939	0.0405932660513565	0.0431218713752696	0.0396881553786942	0.0416170755309919	0.042981629471651	0.0413252424468855	0.0420636406649953	0.0389314350506369	0.04068531833851	0.0420184386860709	0.0396769231543111	0.0387428880805837	0.042063795413905	0.0413481084166632	0.043986421261933	0.0422796120939218	0.040918696016944	0.0438722443323107	0.0413757072700914	0.0407534719894451	0.0415333630543189	0.0450608568412664	0.0454994662867878	0.0420444069229851	0.0429772483875002	0.046763517763671	0.0423130465110599	0.043778870906008	0.0430772622424472	0.0447352434837292	0.0412341486068978	0.0406729916484132	0.0443687467378337	0.0450784681023038	0.0413114912025743	0.0405388245213191	0.0453948936483559	0.0419124979665109	0.0421373038366856	0.046982757142527	0.0449469177631927	0.0421729023461428	0.0451007115070387	0.044311700635293	0.047317432860473	0.0435991055063656	0.0457702952862736	0.0422847850597616	0.0410219614124985	0.0431590887954358	0.0428217688802109	0.0478647974415302	0.046778793754248	0.0458455689055972	0.0431025640959779	0.0447717028936612	0.0402166035403703	0.0463553368828562	0.039716928545455	0.0435513059801892	0.0433023872905992	0.0428427227328793	0.0467076306561895	0.041094647284535	0.0405748154774466	0.0475655246146266	0.0362602494464069	0.0444229898082509	0.0405346682649222	0.0443028579578262	0.0397611154992668	0.039324516825468	0.0467921860037244	0.0398159923024685	0.0430766713500597	0.0382554241122076	0.0380616763154104	0.0379274627156685	0.0406241424079623	0.0407781216668637	0.0434321058138398	0.0405672379965778	0.0460980494284073	0.0404981745243485	0.0368749332165557	0.0416851253599005	0.0453001558876159	0.037253049796624	0.043091304378658	0.0423024501094529	0.0406182728848017	0.0435638759766024	0.0399757722363866	0.0396825592680539	0.0392347990975349	0.0364138421427484	0.0454689730267024	0.0434069005408806	0.0403144633421265	0.0425412633508892	0.0370535910316808	0.0391320875712304	0.0419561690611024	0.0384234996600802	0.03858606927988	0.043137389999233	0.0371154579655362	0.0419019018813278	0.0348456517531805	0.0469156404919087	0.0413643199503974	0.0465051527447916	0.0461160259505458	0.0479920482874281	0.0372377990045324	0.0396327147363026	0.0391316826790523	0.0432900123449287	0.040763444867872	0.0412220795531431	0.0374162469723316	0.0385134396636692	0.0385733515642979	0.0400916503054281	0.0369746043478831	0.0394815141809556	0.0367826705535343	0.0416727566342159	0.0420044980723075	0.0467309263183909	0.0404420430313554	0.0422586312140908	0.039035052791589	0.0385271996404631	0.0436798238108755	0.0379988507029875	0.0415585611999468	0.0376113808475625	0.0405862763433747	0.0414084439809893	0.0408368012711187	0.0395702398701351	0.0387720688891058	0.0399711709548726	0.0427461427026965	0.0391015796090773	0.0388297492311168	0.0389544677283734	0.0382576119143785	0.0432334646279738	0.0404561601298931	0.0392068148124266	0.041956151890728	0.040220160763067	0.0386410396937715	0.0427166699137564	0.0441118798670156	0.0399538713859677	0.0389051851261821	0.0394617663008199	0.0381484029336383	0.0383418728083971	0.0385888018690956	0.0394834781090675	0.0373465937484226	0.0396435152509099	0.0404350405536332	0.0413489093087797	0.0396828344860682	0.0438407623949747	0.043793170487171	0.0384491909992043	0.0419217209609665	0.0418572344221477
