"Taxa"	"culi.1"	"warble.1"	"culi.2"	"warble.2"	"culi.3"	"warble.3"	"culi.4"	"warble.4"	"culi.6"	"warble.6"	"culi.7"	"warble.7"	"culi.8"	"warble.9"	"culi.10"	"warble.10"	"culi.11"	"culi.12"	"warble.12"	"warble.14"	"culi.15"	"warble.15"	"warble.20"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"warble.33"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"warble.42"	"culi.43"	"warble.43"	"warble.45"	"culi.46"	"culi.48"	"warble.49"	"culi.50"	"warble.50"	"culi.51"	"culi.52"	"warble.52"	"warble.53"	"culi.54"	"warble.54"	"culi.55"	"warble.57"	"culi.58"	"warble.58"	"culi.59"	"warble.60"	"culi.61"	"culi.62"	"warble.63"	"culi.64"	"culi.65"	"culi.68"	"warble.68"	"warble.69"	"warble.73"	"culi.74"	"culi.75"	"culi.77"	"warble.80"	"culi.81"	"culi.82"	"culi.83"	"warble.83"	"culi.84"	"warble.84"	"culi.85"	"warble.85"	"culi.86"	"culi.87"	"warble.87"	"culi.88"	"warble.88"	"culi.89"	"warble.89"	"culi.90"	"warble.90"	"culi.91"	"culi.92"	"culi.93"	"warble.93"	"warble.94"	"culi.95"	"warble.95"	"culi.96"	"warble.96"	"warble.97"	"culi.99"	"culi.100"	"warble.100"	"warble.101"	"culi.103"	"warble.103"	"warble.104"	"culi.105"	"culi.106"	"warble.106"	"culi.107"	"warble.107"	"culi.108"	"warble.108"	"culi.109"	"warble.109"	"warble.110"	"culi.111"	"warble.111"	"warble.112"	"culi.113"	"culi.114"	"warble.114"	"culi.115"	"culi.116"	"culi.117"	"warble.117"	"culi.118"	"warble.118"	"culi.119"	"warble.119"	"culi.120"	"warble.120"	"culi.121"	"warble.121"	"culi.122"	"warble.122"	"culi.123"	"warble.123"	"culi.125"	"warble.125"	"culi.126"	"warble.126"	"culi.127"	"warble.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"warble.135"	"culi.136"	"warble.136"	"culi.137"	"warble.137"	"culi.138"	"culi.139"	"warble.139"	"culi.140"	"warble.140"	"culi.141"	"warble.141"	"culi.142"	"culi.143"	"culi.144"	"warble.144"	"culi.145"	"warble.145"	"culi.146"	"culi.147"	"warble.147"	"culi.148"	"warble.148"	"warble.149"	"culi.150"	"warble.150"	"culi.151"	"warble.151"	"culi.152"	"warble.152"	"culi.153"	"warble.153"	"culi.154"	"warble.154"	"culi.156"	"culi.157"	"warble.157"	"warble.158"	"culi.159"	"warble.159"	"culi.161"	"warble.161"	"warble.162"	"warble.164"	"warble.170"	"culi.172"	"warble.173"	"culi.174"	"culi.177"	"culi.178"	"warble.178"	"warble.180"	"warble.181"	"culi.183"	"warble.185"	"culi.187"	"warble.187"	"warble.188"	"warble.189"	"warble.191"	"culi.192"	"warble.192"	"culi.196"	"warble.197"	"culi.199"	"culi.200"	"warble.200"	"culi.201"	"culi.202"	"warble.202"	"warble.221"	"warble.222"	"warble.224"	"warble.225"	"warble.227"	"warble.228"	"warble.229"	"warble.230"	"warble.232"	"warble.234"	"warble.236"	"warble.240"	"warble.243"	"warble.245"	"warble.247"	"warble.250"	"warble.251"	"warble.257"	"warble.262"	"warble.263"	"warble.265"	"warble.269"	"warble.272"	"warble.280"	"warble.282"	"warble.283"	"warble.286"	"warble.292"	"warble.293"	"warble.296"	"warble.307"	"warble.308"	"warble.310"	"warble.315"	"warble.318"	"warble.319"	"warble.324"	"warble.325"	"warble.326"	"culi.416"
"Metabolism"	0.731920025435199	0.729226346957335	0.737078749696738	0.734924953887024	0.732197071438236	0.7250944302932	0.737391014183457	0.737049379890357	0.739417233851236	0.751412103714959	0.734065807242322	0.736923508062311	0.729330850222388	0.729060594283385	0.736067918318524	0.720176761193691	0.732085094591008	0.734873210213522	0.728701322895234	0.749851467651656	0.73121725459182	0.738137362561565	0.743071520052842	0.731160150782836	0.735106313368823	0.724850221540525	0.736937790541967	0.741802655602532	0.731377671847896	0.734031977656345	0.734076983831372	0.735133841367638	0.73530012247467	0.730247594056146	0.730332066539661	0.732375662768011	0.732939305375083	0.744750436352362	0.72999502240597	0.734642855981978	0.732713465616683	0.73108887497378	0.739633401567799	0.739824936758671	0.738328485806935	0.736039962574232	0.7458738001385	0.744618310001273	0.736254836379116	0.741088258949943	0.735369737808598	0.757586563485036	0.734008434437122	0.740417426331881	0.739654815883323	0.729402212997365	0.73946733975775	0.726696592280448	0.739808585626048	0.727664545722097	0.739227466070099	0.73131156060527	0.72987177508883	0.734825350568752	0.747709842160383	0.740729157586052	0.749651991670779	0.729704321734847	0.733333320567468	0.728291803586512	0.728742026118917	0.738651511800881	0.730603403425212	0.734835917711048	0.736542090673258	0.746315146943855	0.730440792996366	0.755300774147189	0.738679988738163	0.745646009307508	0.734654662604175	0.750065913265937	0.735489611234669	0.734465200259801	0.731729413501071	0.733287637318669	0.74047661241496	0.733883744907892	0.732654631762068	0.720732552925856	0.738167156600637	0.723938409601893	0.758774123699582	0.731875746856781	0.74200539820147	0.73560349984149	0.734597125956936	0.739576755285874	0.750979612219562	0.738270979473019	0.727000862939156	0.765810797442015	0.735375918104235	0.730642526692914	0.726042031354007	0.737297400445981	0.72827660896145	0.734048211295691	0.72283935823749	0.74876184604498	0.730905523086886	0.731587742398709	0.743002985985614	0.735520544023316	0.733934123968196	0.733015380185974	0.724314520043196	0.721683372702693	0.724612593441356	0.733840590647039	0.722387688807043	0.732905701969864	0.74018705706309	0.725602328449407	0.735458303698086	0.728949306349758	0.731313820432632	0.727299408020197	0.740820345628846	0.737235400461301	0.72284456934118	0.722335500185668	0.73687826148387	0.727852675789341	0.727895023146343	0.73507763175768	0.73979980623365	0.729895819953663	0.769351415613755	0.725620132088258	0.735490583309474	0.735527563285706	0.729877797655337	0.732162560195316	0.729549185103376	0.748645213379197	0.713247160934153	0.729676000275077	0.704865338122545	0.741697382019529	0.713592288184	0.733340308130526	0.724180659383497	0.731171169046201	0.730848578371726	0.723077541278344	0.728568684325758	0.717531885061452	0.710157150277233	0.720078713308141	0.724295602504159	0.727122861008084	0.725624776680076	0.720437379931457	0.734068123870836	0.738826899892215	0.724844644917029	0.726615565021565	0.739237642233568	0.71830044141391	0.731881885956561	0.728948951053394	0.724985948092376	0.724971248823051	0.723382507214383	0.70827427247747	0.724014964650364	0.708302842920478	0.729611857457752	0.741091906704265	0.750610488598076	0.743041105258272	0.725676598051962	0.73702299146663	0.732628290942766	0.737361374241445	0.723880810229182	0.736930170249192	0.713260333263417	0.732593866730725	0.71163676341597	0.741259126134054	0.723559842653826	0.739389009433194	0.741029755576875	0.735150848057378	0.703032373840818	0.726392960527333	0.722540242825274	0.727250989399448	0.72322428254473	0.721639911801892	0.715805161076288	0.73828269785855	0.734875445578591	0.719333128099171	0.713967732898136	0.722864577228253	0.721631842103595	0.728177931684251	0.722841507616503	0.738718577657185	0.715352097197269	0.728580546237119	0.733212279444913	0.732086830872829	0.747972542180941	0.730311567901602	0.743140213340059	0.766558717668169	0.736167157186335	0.726437455918778	0.731936789284278	0.723165346204033	0.728812053811862	0.720439131129607	0.728623087540978	0.765763739782828	0.723160923859276	0.713304878511586	0.728053992730146	0.724192454123395	0.720974492989773	0.720217800285095	0.723986016924801	0.733747814951804	0.727458087892585	0.741942598487185	0.729918197535407	0.73204005728839	0.718699107570171	0.718519592410334	0.716444205208584	0.728792157447797	0.742660365945023	0.748360274867728	0.732594346072928	0.733044028512529	0.728549492781329	0.734096433567628	0.73191920584006	0.743478106321653	0.741038238153568	0.732815189537581	0.735896089608432	0.72255164848005
"Environmental Information Processing"	0.0915027064068921	0.107753704034934	0.0878268013147935	0.111236658973415	0.0910450891776849	0.109216018442297	0.090303063074637	0.0980229714902773	0.0874347890900901	0.0948411303793415	0.0981795303375737	0.104326735846566	0.094044390459023	0.109735585287727	0.0980478385649869	0.120244887479553	0.094056907380307	0.0872603855820585	0.112189564767587	0.0944584800224474	0.102556441151722	0.0918657639467763	0.0979283449174308	0.0995128171906873	0.111536975615837	0.107889181313992	0.101461370110328	0.0973042431757443	0.113050705799298	0.106478249811272	0.097564469965493	0.0937722568055725	0.0978838255782867	0.10073159591516	0.10548102101814	0.0965234344030648	0.0960896433633818	0.0993806455826989	0.114294421942003	0.101086219028484	0.10055315187007	0.0952335971409864	0.0958337266760673	0.105947635171263	0.107615072218481	0.101991867059005	0.0916106422393488	0.102015861801737	0.105607891142593	0.0998036043582317	0.107245409599118	0.0920200167217162	0.099676068206762	0.103477169717016	0.0905022118555013	0.103675431269376	0.111022053052793	0.11384937705265	0.0987877159674523	0.111878519756818	0.106536895581793	0.112436344539603	0.0959589236561653	0.0954499862984161	0.0929942897076141	0.0928085171088124	0.0956475116935589	0.111248103337116	0.104986663262912	0.106561400391819	0.105870051094883	0.100274806834652	0.101221902151454	0.0921008882912821	0.0970777381860889	0.0982026841014919	0.111122806722653	0.099153380075031	0.0962800584967554	0.102805656960032	0.106012794649441	0.100454307993912	0.10968390305745	0.102581633821691	0.115714733083006	0.108991541134693	0.100152368947853	0.109418036711931	0.108232827668769	0.125326148690088	0.108163465484224	0.112072384123447	0.0958143052350225	0.117644409562396	0.101699999656622	0.103436554680788	0.0972258899637238	0.104860489462868	0.0985769401029764	0.0988892595337961	0.111144776172288	0.0883587773047067	0.107275983691823	0.0997499861709742	0.102571008774248	0.103562727734292	0.109128175576469	0.0905093231147957	0.111635059180025	0.0908497479950599	0.107071233772786	0.0987134908331693	0.104289061498573	0.108518300214245	0.0996287762804064	0.0963704235836131	0.113406249920383	0.122677734103764	0.101910274534981	0.109252398580884	0.11661660737149	0.0924754550925161	0.0921451062751787	0.115455597235416	0.0950957163899432	0.1044125767302	0.091113887708334	0.107570127097767	0.0897823055747553	0.103997897221084	0.120935342603393	0.112388883288256	0.101093960277123	0.0913230451055925	0.0950727024709456	0.0952914142091109	0.0988319667042743	0.100288792709672	0.0856925893749773	0.0946074158067564	0.116823530927729	0.100534308858346	0.103847367703616	0.103097667540838	0.0927696299136362	0.099662231715679	0.119882438324284	0.0886029743160789	0.136739860140659	0.0923875109681416	0.12387782594159	0.0977440337934867	0.122654428585743	0.114464473699433	0.0910737847888963	0.119789324300316	0.105783596802814	0.126850359290223	0.134712500052022	0.11888142962546	0.115838224291699	0.114722475066119	0.108553173394857	0.120731774343136	0.091606879061683	0.105080854184554	0.116067140295576	0.110139173046908	0.0909084268910172	0.126260562106627	0.104182985955625	0.108792487024766	0.118442257378875	0.104624370119448	0.123686282659138	0.128358091158963	0.125074263419089	0.133047867667721	0.095792745916618	0.0978271821450546	0.100961707432186	0.0980428887083652	0.120221922459533	0.111292079201367	0.10465210207892	0.114770993481737	0.1187821799885	0.100754959970918	0.129897272466782	0.103149438054618	0.123174777193589	0.0873355885004573	0.108639886287595	0.08749832881672	0.0872650557573521	0.083887606043338	0.141309926744527	0.121314343977579	0.117327254920525	0.103375874360098	0.115144040436622	0.12189212106123	0.131122384776022	0.103830920052113	0.116448981811492	0.121302958937226	0.132094013795206	0.129606075379108	0.11975977537606	0.111278537843518	0.115935901526063	0.0855379381901728	0.123761780814104	0.112066214670934	0.115261924032914	0.115068498209224	0.0925823710763739	0.125232233250326	0.103429718323278	0.0946594816547855	0.110143414836034	0.116721503349225	0.107278642319861	0.120587445643123	0.111584761804191	0.116669685821527	0.105783884030153	0.0977249483445116	0.130721414108263	0.131356505533303	0.12881129531324	0.110365583764022	0.131310332520194	0.129381905981091	0.114454436825672	0.114581247622357	0.126246725563125	0.101749569903938	0.102748168440819	0.111468484788832	0.125953735573044	0.123716883414814	0.122183647760725	0.116798832693219	0.108596472717537	0.10249043777468	0.127486552028866	0.111709980271332	0.114931997171415	0.104752270733781	0.11735625184229	0.0941973584840289	0.09791176971097	0.118515874002496	0.105004226346739	0.118046148123871
"Cellular Processes"	0.0611653304313641	0.0612419923622615	0.0596672010982794	0.058164610055409	0.0616461565973524	0.0628040680206025	0.0592513928704232	0.0598091487168833	0.0586208388219323	0.0531003897035671	0.0601206773520505	0.0587044310930766	0.0623929343531637	0.0607136679528803	0.0597708347687215	0.0637630396470376	0.0614306143864473	0.0602924740318931	0.0614934079973251	0.0531961290645934	0.061588216965871	0.0584711149950599	0.0561760232786339	0.0611412216050199	0.059559238361304	0.0641384650515279	0.0583247370754556	0.0568756326784843	0.059123519506281	0.0588467175082929	0.0596787692212107	0.0597906868697898	0.0595854993124587	0.0621106804942821	0.0612862394368725	0.0603671367453228	0.0610050646042035	0.0550893074721766	0.0610678985719266	0.0597479360506071	0.060232713952843	0.060687625786564	0.0575347671750062	0.0570302518458799	0.0591399805850731	0.059580513291287	0.0551988759016644	0.0556702324164298	0.0588070438819472	0.056344954915938	0.0590855428321925	0.0502787559954092	0.0601431872295394	0.0574818839877442	0.0583051317817782	0.0616989072902607	0.0579612183594083	0.0624910694570798	0.0568190475759301	0.0619822617323799	0.0571131154983752	0.0609648977111331	0.0614502781855942	0.0599148358059396	0.0551528848222381	0.0575877466605327	0.053740233241668	0.0621764406814302	0.0608990850380748	0.0610208801129927	0.0621596939640817	0.0577672202954135	0.0611895181064126	0.0600949321675726	0.0584367938259103	0.0549329299563007	0.0600306537275936	0.0510559196432917	0.0585183605110493	0.0539494481466739	0.0594650188841336	0.0530567286416735	0.0582807134508224	0.059874843501409	0.0597384876805622	0.0598654460078141	0.0570193653457795	0.0595540397774531	0.0599089120621772	0.0646621655908778	0.0562176685349758	0.0634312016157372	0.0490821097249783	0.0597162010061209	0.0557692573486903	0.0608500689364421	0.0604547441276696	0.057621272843936	0.0523212467384606	0.0571538757121552	0.0634691028885347	0.0509039009602711	0.0585399394860687	0.061425212257093	0.0631272653900445	0.058045489336596	0.0614696462726965	0.0597705046699331	0.064286436269476	0.0545336629786234	0.0605022591958893	0.0604411160386013	0.0553458628615024	0.0594851931510506	0.0600293359549624	0.0603411807858697	0.0580201555880714	0.0634940671212422	0.0631558876646858	0.0598975310799793	0.0637761964057601	0.0608050242231603	0.0573272090286514	0.0621918228700293	0.0594456902534299	0.0615899857319777	0.0612526744810071	0.0619411936182411	0.0573069504083427	0.0587938335787704	0.0632970628680145	0.0639509300062423	0.0583792229518467	0.0627167701230579	0.0621712989704699	0.060107271637632	0.0579638490106228	0.0621447839533769	0.0514956387187808	0.0628505201733184	0.0587735344077423	0.0596760125497762	0.061831025555065	0.0608875270520891	0.0614241271377471	0.0542626282073974	0.0693318245569783	0.0615445693511189	0.0717343032242487	0.0571087374614095	0.0676861516158466	0.060119837064079	0.0626693738442744	0.0609971498490857	0.0611620795832678	0.0629400882195563	0.0620550722490562	0.0656708199503098	0.0684009153263214	0.0674635819362817	0.0642417807125568	0.0614716133607667	0.0630428636228512	0.0631225616542834	0.0603966366531194	0.0572158062274309	0.0678066416566181	0.0628422090402384	0.0583726814018473	0.0651534202738543	0.0604042144964887	0.0602282787074152	0.0622296919716296	0.0620669177137799	0.0627371668994658	0.0655449466132655	0.0620238644758203	0.0705890412807472	0.0613694825004836	0.0571324972852951	0.0526915054625252	0.0567410279675568	0.0625220341613736	0.0587915606526728	0.0605037074127519	0.0578914614785966	0.0642271573350593	0.0584814779926502	0.0689666569933181	0.0618900936676968	0.0750416317785714	0.0583205648106918	0.0648669726100101	0.0583485423045095	0.0572840735989767	0.0595613312951908	0.0705261394580347	0.0612648237871073	0.064312662816829	0.0628297907247231	0.063714835142737	0.0625712002493266	0.0668971123557489	0.0594916487831662	0.0582693002235066	0.0630032883490682	0.0675575042152173	0.0619852661448431	0.0677689481683017	0.0610199156085127	0.06035352121342	0.0567813454650861	0.0653893956762851	0.0604652193896944	0.0540114730876387	0.0605188168686039	0.0550806512105753	0.055856953318226	0.0551253136707971	0.0538515253660034	0.057397243242743	0.0600207355824062	0.0607718989709847	0.06437566464661	0.0631438182806024	0.0657605044709523	0.0617951626877859	0.0509422792442477	0.0602117837940726	0.0669897328215422	0.0615509085726457	0.0623472280327426	0.062843061680184	0.0633851927780448	0.0629405626293729	0.0596893685182969	0.0608118349108608	0.0564043409593593	0.0617378836232772	0.0613959575079094	0.065190074195892	0.0638266815442177	0.0691079854315876	0.0635030304769224	0.0568235230570946	0.0547241682862822	0.0586495726191318	0.0598673971341422	0.0623440988885058	0.0607631305787065	0.0589736576102585	0.0570811323968686	0.0568484622192934	0.0591478009955089	0.0586786627091835	0.0632742879541733
"Genetic Information Processing"	0.0677257597601817	0.0587211859678168	0.0685544502132913	0.0530865786638355	0.0666315590320593	0.059331643413167	0.0661730608182628	0.0605324433325699	0.0684674170465564	0.0603373756270346	0.0629609193035558	0.0581041157593255	0.0674030705741937	0.0584574662512717	0.0622423152415182	0.0541526227607224	0.0663784883944078	0.0702116404570066	0.0563130356096074	0.0614673731080883	0.0613624645742194	0.0664642115409774	0.0609119478777969	0.0631995529506003	0.0544493973171108	0.0589267968109638	0.0607607190425753	0.0614360367870324	0.0557838566176073	0.0589464755826326	0.0641238204712313	0.0660204452357855	0.0631053099661821	0.0625416487807317	0.0602584865729742	0.0654865590652128	0.064359629985293	0.0589177559784833	0.0538543896538889	0.0620936321400519	0.0620184981714353	0.0665301453657501	0.0628329878574721	0.0562358282138391	0.0535788080169157	0.0601062466465005	0.0643284894889817	0.0569173912843097	0.0579417070846942	0.060431574777212	0.0574902921241509	0.0602449282544208	0.062441309115595	0.057537180645466	0.0662111792795002	0.0599367148371946	0.0540141000500327	0.0559078873738438	0.0614633727118104	0.0571991688144593	0.0571651953020048	0.0559645483275132	0.0669196662907769	0.0645035094448392	0.0620311350215843	0.0653593233955948	0.0607137427917595	0.0491435514531189	0.0583312489318499	0.0590541237227349	0.0595992918246597	0.0608237476830848	0.0629463355091119	0.0672474374359461	0.0640308485410965	0.0593564372645648	0.0556274296757679	0.0551518225549589	0.0633038334918403	0.0568406960028137	0.0565700987764659	0.0575608980657839	0.056303933858488	0.060095738243153	0.0514546472532437	0.0579863188747874	0.0604660311510914	0.0548215597940482	0.0576838899391424	0.046320328146728	0.0546100900016631	0.0557531861789363	0.0583297105267087	0.0528077283835982	0.0585515643670184	0.0551234225575661	0.0636177499952335	0.0571429373048212	0.0574311263905316	0.0621158664185778	0.056642625819912	0.0518413710907124	0.0578881671664384	0.0637643447327756	0.063211698897418	0.0595199424505696	0.0581946464419536	0.0687988242180559	0.057998142360032	0.0632260181164544	0.0570188062383174	0.0644087752462165	0.0566767257221675	0.0562896340891518	0.0616116360431557	0.0648335879965946	0.0610465455298191	0.0464496509871375	0.0645093953948877	0.0569501268386464	0.0543626487292836	0.0669843271981678	0.0661195693476156	0.050910475482027	0.0653680222936818	0.0593829283346625	0.0690631510509148	0.0578180330792353	0.066780667537331	0.0581668872404809	0.0476208304265092	0.0584364377226696	0.0612854256060158	0.0696738854212279	0.0678890879346748	0.0643033086921446	0.060942289967884	0.0633763244553111	0.0488997581533082	0.0692115743993417	0.0422531374180547	0.0611228286355038	0.0606139367151628	0.0601882506299732	0.0689032371567653	0.0583754298210842	0.0535125009812818	0.0716194028138527	0.0452831020818786	0.0654195135707964	0.0524377932644954	0.0644555344669761	0.0462878647883154	0.053863943302335	0.0692208148674016	0.0516253430402354	0.059813032987335	0.0479822906354381	0.0460694780825028	0.0482768461580938	0.0553240000369588	0.0551948644166051	0.0573665563871709	0.0538465626068596	0.0672413094155426	0.058819405873196	0.0478861049636899	0.0581886473089621	0.0664100523127544	0.0474628530116921	0.0607379763176755	0.0588588258204382	0.0493097120273135	0.0626658508718969	0.0441549565651321	0.0541806465730894	0.043435954995226	0.0463699105330597	0.0675533001567685	0.0586735534414757	0.056847548646606	0.0592678108993359	0.0489821903511793	0.0521621311021744	0.0594360417427147	0.049567188020891	0.0527003834199943	0.0615689489071711	0.0429919762242664	0.0578829896029187	0.0446537584484863	0.0673488023741064	0.0565846112746724	0.0691694068192013	0.0686867618310151	0.0731612722937284	0.0459371388019596	0.0514342717248102	0.052660584834369	0.0629298066969214	0.0551077583503816	0.0460419968415731	0.0463607486696425	0.0510610950665703	0.0516502113884879	0.0546091722010951	0.0468910649038876	0.0389625515434872	0.0469139768117956	0.0560981655284813	0.0525429692935562	0.0696835545296244	0.0530533063714529	0.0516743932723332	0.0539355356311723	0.0499767554702793	0.061819643799183	0.0498757542304662	0.0577128519301182	0.0424402115172238	0.0545941773837945	0.0544808059774491	0.0560163549824287	0.0491847521063748	0.0514063544052693	0.0523939313756425	0.0592131015636697	0.040437018593554	0.0465088955744007	0.0483186600134897	0.0353880964691422	0.05949791066324	0.0370432513764715	0.0418046137444987	0.0562128253374818	0.0519274053335109	0.043607755090081	0.0586235503211835	0.0611557574994878	0.0544811629291685	0.0495069506552767	0.0532928835712612	0.049616634174518	0.0511860472422691	0.0520008186236307	0.0558452822576806	0.0394501356504557	0.0543762258708764	0.051810637108042	0.0562827092738792	0.0506978516877436	0.0614101876426912	0.0610831620137596	0.045708722951581	0.0576820681366246	0.0500764575054538
"Human Diseases"	0.0346247970226434	0.0313756900780794	0.0339516388682469	0.031345130638387	0.0355080179633873	0.0314885137253797	0.0343136798121249	0.0318140020970772	0.0334340439500591	0.0291861080050624	0.0323799269017794	0.02962143494174	0.0339985912257034	0.030122534569607	0.0315100924436477	0.0295800849065934	0.0333601868772576	0.034298694701731	0.0295779719460725	0.0294089546101034	0.0312016091096881	0.0327718403039289	0.0300101211154243	0.032383060337463	0.0283289451102069	0.0318055461480197	0.030656351872756	0.0306844442421109	0.0293682347379844	0.0300455761141334	0.0323515273806494	0.0329082355815569	0.0319599430458488	0.0320275094478628	0.0306786338802564	0.0327928827108307	0.0327622737523431	0.0304333590198967	0.0295065438830567	0.0304722491137695	0.0320096555388922	0.0334545765332804	0.0319603244087354	0.0294506081319672	0.0296651916530108	0.0303543670517295	0.0310653454889032	0.0292366097965467	0.0298430795241691	0.0305950609707198	0.0293620816674341	0.0287410656441762	0.0317137557155531	0.0291258870029306	0.0327498508060905	0.0330038533538389	0.0269938384889368	0.0296025937338618	0.0312496762116477	0.0298310584546803	0.0288064289509571	0.0283847101717358	0.0332571176398417	0.0327086979107796	0.0300676269942761	0.0313981323462637	0.0291448627815188	0.036200835337774	0.030634578024731	0.0331332193361178	0.0316772284242681	0.0310006544028219	0.0318285885261309	0.0330931404310519	0.0320054584795501	0.0296268384420342	0.0314117170343644	0.028591771326884	0.0313542252485698	0.0294866651571976	0.0316531634758768	0.0278851293369976	0.0288519761046283	0.0310213357251677	0.0303689214001557	0.0288468878551658	0.0302041837505976	0.0308073193556823	0.0301507318677398	0.0315563978515232	0.0312371535792579	0.0330137405987235	0.0274107390582404	0.0271857387232768	0.0300080941747872	0.0324268945634568	0.0319601916215728	0.0295725992539866	0.0289808808028653	0.031458236360225	0.0299680530999244	0.0306218648535588	0.029770154984759	0.0322433718539721	0.032599229668709	0.0300283771189748	0.0313825008768712	0.0340723615717342	0.0314979785743	0.0306859205873712	0.0326871000375142	0.0325425031749649	0.0295484050140303	0.0290470276059384	0.0326602474484728	0.0330053545836553	0.0311431532927214	0.0346783380142318	0.0332710958952013	0.0289718939428096	0.0316450557680729	0.0340407495408144	0.032087392909494	0.0345773594991647	0.0324840531720673	0.0335983041115354	0.0344346044964448	0.0333743847018803	0.0329532658902798	0.0302687018734003	0.034274405384312	0.031208250183401	0.0305617269495166	0.0354057364905586	0.0341875045393627	0.0327430754784548	0.0308027595663028	0.0321801429505448	0.0313995643344429	0.0349589224504378	0.035623444336065	0.0311644611782001	0.0316424324550982	0.0317007703739354	0.0344333380982371	0.0281263789124685	0.0317539160887441	0.0354774261027606	0.0293057160974505	0.0316458946575457	0.0304999798133345	0.0321965380030134	0.0339497905566082	0.0287293269206752	0.0347024318602835	0.0308979405703398	0.0321895566259939	0.0300254488399359	0.029439291003538	0.0318565962339378	0.0292191737156685	0.0297323770765126	0.0338712654947536	0.029890483574987	0.0338605087674242	0.0288474170923408	0.0299682006955202	0.0310191267453873	0.0327304379453355	0.030300426121593	0.0310336359576383	0.0307983114066296	0.034044308935377	0.0326551426322614	0.0353689797409061	0.0311470891471119	0.0349271835241174	0.029311176810351	0.0334057698309051	0.0336793708077611	0.0280986265974183	0.0314084370584567	0.029142703187527	0.0292339649136047	0.0307955909634786	0.0293061366408243	0.0289825759240829	0.0305007041349041	0.0351506515713788	0.0324220169333731	0.0317916381333802	0.0330873548070298	0.033016810858994	0.0331644512891661	0.0335280227433556	0.0354797705938523	0.0276322696672328	0.0286682079407997	0.030520007308714	0.0315514079033978	0.03043052905954	0.0367870862048021	0.0286219512362278	0.0338617679608398	0.0277647797308981	0.0295423891971563	0.0280102293800749	0.0364897683593626	0.0312839827107492	0.0315410647024245	0.0364443727870855	0.0354693182897008	0.0306343002184614	0.035433225237527	0.0317497840973454	0.0304429505673652	0.0305881941397461	0.027818586886671	0.0292224977574455	0.0296012537804823	0.0297102292931778	0.0307197508843548	0.0309465545732083	0.0310005288938549	0.0312142624025529	0.0323807855836757	0.0323477129632943	0.0330719986676792	0.0292533688892825	0.0290213147180816	0.0358505562679455	0.0315798140059823	0.0373522654602171	0.0348453757334137	0.0306467565857187	0.0287628487868526	0.0314682427584592	0.0295734801231669	0.0319590792652015	0.0290020973856055	0.0293057564179397	0.0288337146091698	0.0307468610352911	0.0282901224821066	0.0285671653653215	0.0278217354777424	0.0318821852612923	0.0290730771079809	0.0311205755200053	0.0313113800717462	0.0297064582085405	0.0318030337139136	0.0313027713527755	0.0331593268522115	0.0310632859128514	0.0348654373722381
