"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.00357244927122035	0.002002002002002	0.00128608173763933	0.00328571428571429	0.0264323474782112	0.000428571428571429	0.00343053173241852	0.000428755180791768
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0010002857959417	0.00114400114400114	0.00471563303801086	0.00385714285714286	0.0024289184169167	0.00157142857142857	0.00214408233276158	0.0220094326139774
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00071448985424407	0.00443300443300443	0.0144326950557302	0.00414285714285714	0.00257179597085298	0.000571428571428571	0.00485991995425958	0.00343004144633414
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.000428693912546442	0.00243100243100243	0.00743069448413833	0.00514285714285714	0.006715245035005	0.000142857142857143	0.00300171526586621	0.00400171502072317
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00114318376679051	0.00214500214500214	0.00500142897970849	0.005	0.0024289184169167	0.000571428571428571	0.00114351057747284	0.0112905530941832
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0.00442983709631323	0.00328900328900329	0.00285795941697628	0.004	0.00157165309329904	0.001	0.00114351057747284	0.00986136915821066
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum succiniciproducens"	0.00585881680480137	0.00286000286000286	0.00242926550442984	0.00357142857142857	0.00100014287755394	0.000428571428571429	0.000428816466552316	0.00771759325425182
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii"	0	0.000715000715000715	0.00228636753358102	0.000857142857142857	0.00342906129447064	0	0.0158662092624357	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000142897970848814	0.00371800371800372	0.0101457559302658	0.000857142857142857	0.00114302043149021	0	0.00028587764436821	0.00671716449907103
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00485853100885967	0.00228800228800229	0.00157187767933695	0.00357142857142857	0.00271467352478926	0.000714285714285714	0.00428816466552316	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00271506144612746	0.00529100529100529	0.000857387825092884	0.00328571428571429	0.00414344906415202	0.000285714285714286	0.00242995997712979	0.000285836787194512
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00214346956273221	0.000429000429000429	0.00242926550442984	0.00171428571428571	0.000571510215745106	0.000428571428571429	0.000428816466552316	0.00886094040302987
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.000857387825092884	0.00143000143000143	0.000857387825092884	0.00771428571428571	0.00142877553936277	0	0.00471698113207547	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0	0.000142897970848814	0	0.000142877553936277	0	0.0161520869068039	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0	0.00157300157300157	0.00342955130037153	0.00285714285714286	0.00357193884840692	0.000142857142857143	0.00185820468839337	0.000142918393597256
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.00271506144612746	0.000286000286000286	0.0020005715918834	0.000142857142857143	0	0.000285714285714286	0.00028587764436821	0.00671716449907103
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00071448985424407	0.00114400114400114	0.00157187767933695	0.00157142857142857	0.0018574082011716	0.00257142857142857	0.00200114351057747	0.00100042875518079
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0.00915200915200915	0.00128608173763933	0	0	0	0	0.00185793911676433
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00743069448413833	0	0.000142897970848814	0.000142857142857143	0	0.000285714285714286	0	0.00242961269115335
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0010002857959417	0.000715000715000715	0.000571591883395256	0.00342857142857143	0.00214316330904415	0.000428571428571429	0.00128644939965695	0.000428755180791768
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.000857387825092884	0.000143000143000143	0.000571591883395256	0.00228571428571429	0.00085726532361766	0.000285714285714286	0.00428816466552316	0.000571673574389024
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.00228636753358102	0	0.000428693912546442	0	0	0.00128571428571429	0	0.00557381735029298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00228636753358102	0.00114400114400114	0.000285795941697628	0.00228571428571429	0.00171453064723532	0.000285714285714286	0.00142938822184105	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.0010002857959417	0.000143000143000143	0.000285795941697628	0	0	0.000428571428571429	0	0.00657424610547377
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0	0.00157300157300157	0.00071448985424407	0.000571428571428571	0.00371481640234319	0.000285714285714286	0.00114351057747284	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.000428693912546442	0.00157300157300157	0.0010002857959417	0.000857142857142857	0.00257179597085298	0	0.000142938822184105	0.000857510361583536
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0.005005005005005	0.00185767362103458	0	0	0	0	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.000285795941697628	0.000572000572000572	0.000571591883395256	0.00214285714285714	0.00128589798542649	0	0.00128644939965695	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter ludwigii"	0	0	0	0	0	0	0.00600343053173242	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.00157187767933695	0.000429000429000429	0.000428693912546442	0.001	0.000571510215745106	0	0.00171526586620926	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium saguinibicoloris"	0	0.00314600314600315	0.00185767362103458	0	0	0	0	0.000285836787194512
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.000142897970848814	0.000572000572000572	0.000285795941697628	0.000428571428571429	0.00328618374053436	0.000142857142857143	0.000142938822184105	0.000142918393597256
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0.003003003003003	0.000571591883395256	0	0	0	0	0.00114334714877805
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0.00243100243100243	0.00157187767933695	0	0	0	0	0.000571673574389024
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000285795941697628	0.000286000286000286	0.000428693912546442	0.00128571428571429	0.000714387769681383	0.000285714285714286	0.000571755288736421	0.000285836787194512
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00128608173763933	0.000572000572000572	0.00071448985424407	0.000285714285714286	0.000285755107872553	0.000428571428571429	0.00028587764436821	0.000142918393597256
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0	0.000858000858000858	0.00185767362103458	0.000142857142857143	0.000142877553936277	0	0.00028587764436821	0.000571673574389024
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.000857387825092884	0	0.000571591883395256	0	0	0	0.000142938822184105	0.0022866942975561
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00271506144612746	0.000143000143000143	0.000285795941697628	0.000142857142857143	0.00042863266180883	0	0.000142938822184105	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia formatexigens"	0.00071448985424407	0.000429000429000429	0.000285795941697628	0.000571428571428571	0.00085726532361766	0	0.000714694110920526	0.000142918393597256
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0.000143000143000143	0.000142897970848814	0.000142857142857143	0.000142877553936277	0	0.0028587764436821	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0	0.00128700128700129	0.00185767362103458	0	0	0	0	0.000142918393597256
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0	0.000286000286000286	0.000571591883395256	0.000857142857142857	0.00085726532361766	0	0.000428816466552316	0.000285836787194512
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000428693912546442	0.000429000429000429	0.000142897970848814	0.000571428571428571	0.00114302043149021	0.000285714285714286	0	0.000285836787194512
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.000857387825092884	0.000286000286000286	0.000428693912546442	0.000428571428571429	0.000285755107872553	0	0.000857632933104631	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0.00157300157300157	0.0010002857959417	0	0	0	0	0.000428755180791768
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.000857387825092884	0.000143000143000143	0.000285795941697628	0.000428571428571429	0.00085726532361766	0	0.00028587764436821	0.000142918393597256
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea agglomerans"	0	0	0	0	0	0	0.0028587764436821	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0	0.000572000572000572	0.00114318376679051	0.000285714285714286	0.00042863266180883	0	0.000142938822184105	0.000285836787194512
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium vespertilionis"	0	0.00114400114400114	0.00128608173763933	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00142897970848814	0.000143000143000143	0.000142897970848814	0.000142857142857143	0.000142877553936277	0.000142857142857143	0.000142938822184105	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0	0.000143000143000143	0.000142897970848814	0.000857142857142857	0.000285755107872553	0	0.000714694110920526	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena contorta"	0.000142897970848814	0.000143000143000143	0.000428693912546442	0.000285714285714286	0.00042863266180883	0.000285714285714286	0.00028587764436821	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.000428693912546442	0	0.000142897970848814	0.000142857142857143	0.00042863266180883	0.000285714285714286	0.000428816466552316	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio crossotus"	0.00071448985424407	0.000143000143000143	0.000142897970848814	0.000285714285714286	0.000142877553936277	0	0.00028587764436821	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.00114318376679051	0.000143000143000143	0.000142897970848814	0.000142857142857143	0.000142877553936277	0	0.000142938822184105	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter sichuanensis"	0	0	0	0	0	0	0.00171526586620926	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0	0.000429000429000429	0.000571591883395256	0.000285714285714286	0.00042863266180883	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0	0.000286000286000286	0.000142897970848814	0.000285714285714286	0.000714387769681383	0	0.00028587764436821	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens"	0.000428693912546442	0	0.000285795941697628	0	0	0.000285714285714286	0.00028587764436821	0.000428755180791768
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Pseudocitrobacter|s__Pseudocitrobacter faecalis"	0	0	0	0	0	0	0.00157232704402516	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.000857387825092884	0.000143000143000143	0.000142897970848814	0	0.000285755107872553	0	0	0.000142918393597256
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia hominis"	0.000571591883395256	0	0.000142897970848814	0.000285714285714286	0	0	0.000571755288736421	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania|s__Qiania dongpingensis"	0.000428693912546442	0	0.000142897970848814	0.000285714285714286	0.000285755107872553	0	0.000428816466552316	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix alysoides"	0.000428693912546442	0	0.000285795941697628	0.000285714285714286	0.00042863266180883	0	0.000142938822184105	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus niger"	0	0.000286000286000286	0.000285795941697628	0.000142857142857143	0.000571510215745106	0	0.000142938822184105	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella hominis"	0	0.000429000429000429	0.00071448985424407	0	0	0	0.000142938822184105	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus"	0	0.000286000286000286	0.000571591883395256	0.000142857142857143	0.000142877553936277	0	0.000142938822184105	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora amygdalina"	0.00071448985424407	0.000286000286000286	0	0.000285714285714286	0	0	0	0
