flow_cell_id	experiment_id	kit	barcode	alias
AVN769	PL12-13	SQK-16S114-24	barcode01	hdz-266-s254
AVN769	PL12-13	SQK-16S114-24	barcode02	hdz-267-s255
AVN769	PL12-13	SQK-16S114-24	barcode03	hdz-316-s256
AVN769	PL12-13	SQK-16S114-24	barcode04	hdz-335-s257
AVN769	PL12-13	SQK-16S114-24	barcode05	hdz-345-s258
AVN769	PL12-13	SQK-16S114-24	barcode06	hdz-348-s259
AVN769	PL12-13	SQK-16S114-24	barcode07	hdz-383-s260
AVN769	PL12-13	SQK-16S114-24	barcode08	hdz-384-s261
AVN769	PL12-13	SQK-16S114-24	barcode09	hdz-385-s262
AVN769	PL12-13	SQK-16S114-24	barcode10	hdz-386-s263
AVN769	PL12-13	SQK-16S114-24	barcode11	hdz-387-s264
AVN769	PL12-13	SQK-16S114-24	barcode12	hdz-388-s265
AVN769	PL12-13	SQK-16S114-24	barcode13	hdz-389-s266
AVN769	PL12-13	SQK-16S114-24	barcode14	hdz-390-s267
AVN769	PL12-13	SQK-16S114-24	barcode15	hdz-391-s268
AVN769	PL12-13	SQK-16S114-24	barcode16	hdz-392-s269
AVN769	PL12-13	SQK-16S114-24	barcode17	hdz-393-s270
AVN769	PL12-13	SQK-16S114-24	barcode18	hdz-394-s271
AVN769	PL12-13	SQK-16S114-24	barcode19	hdz-395-s272
AVN769	PL12-13	SQK-16S114-24	barcode20	hdz-396-s273
AVN769	PL12-13	SQK-16S114-24	barcode21	hdz-397-s274
AVN769	PL12-13	SQK-16S114-24	barcode22	hdz-438-s275
AVN769	PL12-13	SQK-16S114-24	barcode23	hdz-439-s276
AVN769	PL12-13	SQK-16S114-24	barcode24	pl-ntc-012-ctrl
