flow_cell_id,experiment_id,kit,barcode,alias
AVN883,PL015,SQK-16S114-24,barcode01,hdz-330-s323
AVN883,PL015,SQK-16S114-24,barcode02,hdz-331-s324
AVN883,PL015,SQK-16S114-24,barcode03,hdz-334-s325
AVN883,PL015,SQK-16S114-24,barcode04,hdz-340-s326
AVN883,PL015,SQK-16S114-24,barcode05,hdz-381-s327
AVN883,PL015,SQK-16S114-24,barcode06,hdz-382-s328
AVN883,PL015,SQK-16S114-24,barcode07,hdz-398-s329
AVN883,PL015,SQK-16S114-24,barcode08,hdz-399-s330
AVN883,PL015,SQK-16S114-24,barcode09,hdz-400-s331
AVN883,PL015,SQK-16S114-24,barcode10,hdz-401-s332
AVN883,PL015,SQK-16S114-24,barcode11,hdz-402-s333
AVN883,PL015,SQK-16S114-24,barcode12,hdz-403-s334
AVN883,PL015,SQK-16S114-24,barcode13,hdz-405-s335
AVN883,PL015,SQK-16S114-24,barcode14,hdz-406-s336
AVN883,PL015,SQK-16S114-24,barcode15,hdz-407-s337
AVN883,PL015,SQK-16S114-24,barcode16,hdz-408-s338
AVN883,PL015,SQK-16S114-24,barcode17,hdz-409-s339
AVN883,PL015,SQK-16S114-24,barcode18,hdz-441-s340
AVN883,PL015,SQK-16S114-24,barcode19,hdz-446-s341
AVN883,PL015,SQK-16S114-24,barcode20,hdz-447-s342
AVN883,PL015,SQK-16S114-24,barcode21,hdz-451-s343
AVN883,PL015,SQK-16S114-24,barcode22,hdz-452-s344
AVN883,PL015,SQK-16S114-24,barcode23,hdz-453-s345
AVN883,PL015,SQK-16S114-24,barcode24,pl-ntc-015-ctrl
