NR_116558.1	txid1705
NR_118221.1	txid1033736
NR_179411.1	txid1686285
NR_027193.1	txid262208
NR_180810.1	txid2652279
NR_074391.1	txid33871
NR_042471.2	txid247
NR_170513.1	txid2491114
NR_134789.1	txid1393051
NR_180143.1	txid2592657
NR_180467.1	txid2546448
NR_040953.1	txid28454
NR_164886.1	txid1751295
NR_116670.1	txid1403343
NR_026143.1	txid79881
NR_116623.1	txid709510
NR_180106.1	txid2201815
NR_156818.1	txid1955013
NR_027520.1	txid246432
NR_028835.1	txid180295
NR_113798.1	txid2748
NR_044710.2	txid2751
NR_113872.1	txid191770
NR_117521.1	txid745365
NR_116443.1	txid542833
NR_117425.1	txid684066
NR_115560.1	txid28037
NR_115711.1	txid1121302
NR_026490.1	txid84031
NR_144610.1	txid1796622
NR_028889.1	txid74316
NR_044186.1	txid424796
NR_042599.1	txid571255
NR_042474.1	txid354351
NR_028630.1	txid169176
NR_117045.1	txid767694
NR_041025.1	txid269069
NR_165776.1	txid2580413
NR_156051.1	txid1854496
NR_148593.1	txid1502156
NR_041396.1	txid358
NR_126174.1	txid1214924
NR_117203.1	txid1368418
NR_181268.1	txid2746702
NR_113739.1	txid398
NR_157780.1	txid1737357
NR_181841.1	txid2871820
NR_158137.1	txid2038730
NR_028983.1	txid198093
NR_148768.1	txid1720247
NR_116711.1	txid587738
NR_118396.1	txid80867
NR_025530.1	txid225992
NR_159298.1	txid1267217
NR_114189.1	txid304
NR_042652.1	txid457921
NR_025894.1	txid61
NR_118509.1	txid28197
NR_025939.1	txid216
NR_165712.1	txid2267246
NR_116033.1	txid497725
NR_125587.1	txid1005667
NR_178670.1	txid1465635
NR_114713.1	txid1121120
NR_144604.1	txid1505588
NR_125699.1	txid1508507
NR_153752.1	txid1905730
NR_156932.1	txid1646373
NR_025341.1	txid28151
NR_024644.1	txid61652
NR_117677.1	txid470
NR_156989.1	txid1871111
NR_026208.1	txid40215
NR_117621.1	txid981326
NR_180534.1	txid2419601
NR_044454.1	txid487316
NR_043140.1	txid292733
NR_121727.1	txid1196095
NR_149809.1	txid1908521
NR_181670.1	txid2810613
NR_024912.1	txid651740
NR_114192.1	txid1215104
NR_178481.1	txid1055468
NR_178288.1	txid485880
NR_025227.1	txid198618
NR_116957.1	txid634155
NR_149233.1	txid1530191
NR_132712.1	txid619688
NR_025305.1	txid83617
NR_116793.1	txid487698
NR_179259.1	txid2182793
NR_044663.2	txid2089
