flow_cell_id	experiment_id	kit	barcode	alias	seqrun
AVI490	HDZ-PL-006	SQK-16S114-24	barcode13	hdz-227-s128	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode14	hdz-228-s129	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode15	hdz-229-s130	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode16	hdz-320-s131	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode17	hdz-321-s132	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode18	hdz-322-s133	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode19	hdz-323-s134	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode20	hdz-324-s135	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode21	hdz-325-s136	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode22	hdz-326-s137	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode23	hdz-327-s138	hdz6
AVI490	HDZ-PL-006	SQK-16S114-24	barcode24	pl-ntc-006-ctrl	hdz6
AVH171	HDZ-PL-007	SQK-16S114-24	barcode01	hdz-206-s139	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode02	hdz-240-s140	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode03	hdz-241-s141	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode04	hdz-242-s142	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode05	hdz-243-s143	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode06	hdz-244-s144	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode07	hdz-245-s145	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode08	hdz-246-s146	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode09	hdz-247-s147	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode10	hdz-248-s148	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode11	hdz-249-s149	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode12	hdz-250-s150	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode13	hdz-251-s151	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode14	hdz-252-s152	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode15	hdz-253-s153	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode16	hdz-254-s154	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode17	hdz-317-s155	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode18	hdz-318-s156	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode19	hdz-319-s157	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode20	hdz-328-s158	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode21	hdz-336-s159	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode22	hdz-337-s160	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode23	hdz-338-s161	hdz7
AVH171	HDZ-PL-007	SQK-16S114-24	barcode24	pl-ntc-007-ctrl	hdz7
AVP307	PL8-9	SQK-16S114-24	barcode01	hdz-258-s162	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode02	hdz-259-s163	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode03	hdz-260-s164	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode04	hdz-262-s165	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode05	hdz-263-s166	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode06	hdz-264-s167	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode07	hdz-332-s168	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode08	hdz-333-s169	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode09	hdz-341-s170	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode10	hdz-342-s171	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode11	hdz-343-s172	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode12	hdz-349-s173	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode13	hdz-350-s174	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode14	hdz-351-s175	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode15	hdz-352-s176	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode16	hdz-354-s177	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode17	hdz-355-s178	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode18	hdz-356-s179	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode19	hdz-357-s180	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode20	hdz-358-s181	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode21	hdz-359-s182	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode22	hdz-360-s183	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode23	hdz-361-s184	hdz8
AVP307	PL8-9	SQK-16S114-24	barcode24	pl-ntc-008-ctrl	hdz8
AWN500	PL8-9	SQK-16S114-24	barcode01	hdz-035-s185	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode02	hdz-037-s186	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode03	hdz-040-s187	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode04	hdz-042-s188	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode05	hdz-044-s189	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode06	hdz-047-s190	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode07	hdz-053-s191	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode08	hdz-054-s192	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode09	hdz-069-s193	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode10	hdz-073-s194	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode11	hdz-164-s195	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode12	hdz-165-s196	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode13	hdz-166-s197	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode14	hdz-167-s198	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode15	hdz-178-s199	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode16	hdz-189-s200	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode17	hdz-195-s201	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode18	hdz-197-s202	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode19	hdz-203-s203	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode20	hdz-218-s204	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode21	hdz-265-s205	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode22	hdz-415-s206	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode23	hdz-420-s207	hdz9
AWN500	PL8-9	SQK-16S114-24	barcode24	pl-ntc-009-ctrl	hdz9
FAX08980	hdz1	SQK-16S114-24	barcode01	hdz-362-s208	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode02	hdz-363-s209	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode03	hdz-364-s210	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode04	hdz-365-s211	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode05	hdz-366-s212	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode06	hdz-367-s213	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode07	hdz-368-s214	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode08	hdz-369-s215	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode09	hdz-370-s216	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode10	hdz-371-s217	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode11	hdz-372-s218	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode12	hdz-373-s219	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode13	hdz-416-s220	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode14	hdz-417-s221	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode15	hdz-421-s222	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode16	hdz-423-s223	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode17	hdz-424-s224	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode18	hdz-425-s225	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode19	hdz-426-s226	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode20	hdz-431-s227	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode21	hdz-432-s228	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode22	hdz-433-s229	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode23	hdz-434-s230	hdz1
FAX08980	hdz1	SQK-16S114-24	barcode24	pl-ntc-010-ctrl	hdz1
AVN953	HDZ-PL011	SQK-16S114-24	barcode01	hdz-001-s231	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode02	hdz-050-s232	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode03	hdz-057-s233	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode04	hdz-088-s234	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode05	hdz-090-s235	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode06	hdz-091-s236	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode07	hdz-092-s237	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode08	hdz-098-s238	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode09	hdz-103-s239	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode10	hdz-109-s240	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode11	hdz-157-s241	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode12	hdz-160-s242	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode13	hdz-162-s243	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode14	hdz-169-s244	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode15	hdz-170-s245	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode16	hdz-173-s246	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode17	hdz-174-s247	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode18	hdz-184-s248	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode19	hdz-204-s249	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode20	hdz-212-s250	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode21	hdz-214-s251	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode22	hdz-339-s252	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode23	hdz-437-s253	hdz11
AVN953	HDZ-PL011	SQK-16S114-24	barcode24	pl-ntc-011-ctrl	hdz11
AVN769	PL12-13	SQK-16S114-24	barcode01	hdz-266-s254	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode02	hdz-267-s255	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode03	hdz-316-s256	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode04	hdz-335-s257	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode05	hdz-345-s258	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode06	hdz-348-s259	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode07	hdz-383-s260	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode08	hdz-384-s261	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode09	hdz-385-s262	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode10	hdz-386-s263	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode11	hdz-387-s264	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode12	hdz-388-s265	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode13	hdz-389-s266	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode14	hdz-390-s267	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode15	hdz-391-s268	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode16	hdz-392-s269	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode17	hdz-393-s270	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode18	hdz-394-s271	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode19	hdz-395-s272	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode20	hdz-396-s273	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode21	hdz-397-s274	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode22	hdz-438-s275	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode23	hdz-439-s276	hdz12
AVN769	PL12-13	SQK-16S114-24	barcode24	pl-ntc-012-ctrl	hdz12
AVP114	PL12-13	SQK-16S114-24	barcode01	hdz-230-s277	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode02	hdz-231-s278	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode03	hdz-232-s279	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode04	hdz-233-s280	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode05	hdz-234-s281	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode06	hdz-235-s282	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode07	hdz-236-s283	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode08	hdz-374-s284	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode09	hdz-375-s285	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode10	hdz-376-s286	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode11	hdz-377-s287	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode12	hdz-378-s288	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode13	hdz-379-s289	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode14	hdz-380-s290	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode15	hdz-422-s291	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode16	hdz-430-s292	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode17	hdz-440-s293	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode18	hdz-442-s294	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode19	hdz-443-s295	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode20	hdz-444-s296	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode21	hdz-445-s297	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode22	hdz-448-s298	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode23	hdz-449-s299	hdz13
AVP114	PL12-13	SQK-16S114-24	barcode24	pl-ntc-013-ctrl	hdz13
AVP124	PL014	SQK-16S114-24	barcode01	hdz-095-s300	hdz14
AVP124	PL014	SQK-16S114-24	barcode02	hdz-158-s301	hdz14
AVP124	PL014	SQK-16S114-24	barcode03	hdz-159-s302	hdz14
AVP124	PL014	SQK-16S114-24	barcode04	hdz-171-s303	hdz14
AVP124	PL014	SQK-16S114-24	barcode05	hdz-172-s304	hdz14
AVP124	PL014	SQK-16S114-24	barcode06	hdz-237-s305	hdz14
AVP124	PL014	SQK-16S114-24	barcode07	hdz-238-s306	hdz14
AVP124	PL014	SQK-16S114-24	barcode08	hdz-239-s307	hdz14
AVP124	PL014	SQK-16S114-24	barcode09	hdz-268-s308	hdz14
AVP124	PL014	SQK-16S114-24	barcode10	hdz-269-s309	hdz14
