flow_cell_id,experiment_id,kit,barcode,alias
AVN953,HDZ-PL011,SQK-16S114-24,barcode01,hdz-001-s231
AVN953,HDZ-PL011,SQK-16S114-24,barcode02,hdz-050-s232
AVN953,HDZ-PL011,SQK-16S114-24,barcode03,hdz-057-s233
AVN953,HDZ-PL011,SQK-16S114-24,barcode04,hdz-088-s234
AVN953,HDZ-PL011,SQK-16S114-24,barcode05,hdz-090-s235
AVN953,HDZ-PL011,SQK-16S114-24,barcode06,hdz-091-s236
AVN953,HDZ-PL011,SQK-16S114-24,barcode07,hdz-092-s237
AVN953,HDZ-PL011,SQK-16S114-24,barcode08,hdz-098-s238
AVN953,HDZ-PL011,SQK-16S114-24,barcode09,hdz-103-s239
AVN953,HDZ-PL011,SQK-16S114-24,barcode10,hdz-109-s240
AVN953,HDZ-PL011,SQK-16S114-24,barcode11,hdz-157-s241
AVN953,HDZ-PL011,SQK-16S114-24,barcode12,hdz-160-s242
AVN953,HDZ-PL011,SQK-16S114-24,barcode13,hdz-162-s243
AVN953,HDZ-PL011,SQK-16S114-24,barcode14,hdz-169-s244
AVN953,HDZ-PL011,SQK-16S114-24,barcode15,hdz-170-s245
AVN953,HDZ-PL011,SQK-16S114-24,barcode16,hdz-173-s246
AVN953,HDZ-PL011,SQK-16S114-24,barcode17,hdz-174-s247
AVN953,HDZ-PL011,SQK-16S114-24,barcode18,hdz-184-s248
AVN953,HDZ-PL011,SQK-16S114-24,barcode19,hdz-204-s249
AVN953,HDZ-PL011,SQK-16S114-24,barcode20,hdz-212-s250
AVN953,HDZ-PL011,SQK-16S114-24,barcode21,hdz-214-s251
AVN953,HDZ-PL011,SQK-16S114-24,barcode22,hdz-339-s252
AVN953,HDZ-PL011,SQK-16S114-24,barcode23,hdz-437-s253
AVN953,HDZ-PL011,SQK-16S114-24,barcode24,pl-ntc-011-ctrl
