task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	87/7312fa	2235259	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-10-11 23:39:50.182	730ms	51ms	14.5%	1008 KB	3.8 MB	74.3 KB	3.4 KB
29	f4/b21201	2235854	minimap_pipeline:output_results (1)	COMPLETED	0	2024-10-11 23:39:51.149	517ms	21ms	50.3%	0	0	71.1 KB	255 B
2	17/2a84f3	2235248	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-10-11 23:39:50.140	3.5s	2.8s	183.3%	65.5 MB	4.1 GB	12.3 MB	3.1 KB
30	59/6f1865	2236393	minimap_pipeline:output_results (2)	COMPLETED	0	2024-10-11 23:39:53.737	548ms	23ms	46.5%	0	0	71.1 KB	255 B
1	11/c91986	2235241	prepare_databases:download_reference_ref2taxid	COMPLETED	0	2024-10-11 23:39:50.102	6.8s	5.7s	5.4%	8.3 MB	13.3 MB	45.5 MB	45.4 MB
7	a8/6a33a0	2237033	fastcat (3)	COMPLETED	0	2024-10-11 23:39:56.848	874ms	411ms	16.5%	2.7 MB	3.8 MB	431.1 KB	210.7 KB
14	74/0155b4	2236910	fastcat (10)	COMPLETED	0	2024-10-11 23:39:56.734	1.1s	677ms	127.8%	2.7 MB	3.8 MB	44.5 MB	30.9 MB
5	67/875107	2236898	fastcat (1)	COMPLETED	0	2024-10-11 23:39:56.701	1.2s	697ms	95.9%	2.7 MB	3.8 MB	32.3 MB	22.6 MB
15	30/8100f6	2236966	fastcat (11)	COMPLETED	0	2024-10-11 23:39:56.808	1.1s	617ms	97.1%	2.8 MB	3.8 MB	28.8 MB	20.1 MB
17	7e/9e847d	2236929	fastcat (13)	COMPLETED	0	2024-10-11 23:39:56.771	1.2s	718ms	146.7%	2.7 MB	3.8 MB	51.6 MB	36.1 MB
9	73/77ef0d	2237234	fastcat (5)	COMPLETED	0	2024-10-11 23:39:56.940	996ms	548ms	85.6%	2.7 MB	3.8 MB	20.8 MB	14.5 MB
18	82/d22d05	2237119	fastcat (14)	COMPLETED	0	2024-10-11 23:39:56.896	1.1s	670ms	105.5%	2.7 MB	3.8 MB	34.8 MB	24.1 MB
24	4a/1ed2d0	2238145	fastcat (20)	COMPLETED	0	2024-10-11 23:39:57.751	932ms	526ms	165.3%	40 MB	165.8 MB	42.7 MB	29.8 MB
26	36/824eb0	2238263	fastcat (22)	COMPLETED	0	2024-10-11 23:39:57.859	912ms	544ms	108.1%	50.6 MB	189.1 MB	30.3 MB	21 MB
25	22/771ba3	2238286	fastcat (21)	COMPLETED	0	2024-10-11 23:39:57.873	933ms	574ms	159.3%	49.7 MB	189.1 MB	48 MB	33.2 MB
13	75/2a2d68	2238308	fastcat (9)	COMPLETED	0	2024-10-11 23:39:57.883	945ms	594ms	148.9%	36 MB	189.1 MB	44 MB	30.7 MB
20	65/b78012	2238469	fastcat (16)	COMPLETED	0	2024-10-11 23:39:57.943	978ms	585ms	162.6%	2.8 MB	3.8 MB	46 MB	32.2 MB
8	56/75f2ea	2238581	fastcat (4)	COMPLETED	0	2024-10-11 23:39:58.001	971ms	597ms	105.0%	2.8 MB	3.8 MB	29.9 MB	20.8 MB
27	43/d180a0	2238518	fastcat (23)	COMPLETED	0	2024-10-11 23:39:57.962	1.1s	720ms	146.4%	2.9 MB	3.8 MB	54.4 MB	37.7 MB
3	f5/dd3f9f	2235290	prepare_databases:download_unpack_taxonomy	COMPLETED	0	2024-10-11 23:39:50.280	9s	8.4s	37.2%	8.4 MB	13.3 MB	114.7 MB	460.2 MB
21	b5/0997ef	2239721	fastcat (17)	COMPLETED	0	2024-10-11 23:39:58.711	907ms	536ms	98.5%	30.6 MB	165.8 MB	26.1 MB	18.1 MB
