"","C1","C2","C3","C4","C6","C7","C8","C10","C29","C30","C38","C39","C42","C43","C46","C48","C51","C52","C55","C59","C61","C65","C68","C74","C75","C77","C82","C86","C87","C88","C89","C90","C91","C92","C95","C99","C103","C105","C106","C107","C108","C111","C113","C114","C116","C117","C118","C119","C120","C121","C123","C125","C128","C129","C137","C141","C142","C143","C144","C151","C152","C154","C156","C157","C159","C174","C177","C178","C200","C201","C416"
"C1",0,0.126932274563867,0.189652740350142,0.267990402377309,0.233147575872409,0.177994063901134,0.137286378319765,0.263101653601448,0.138192141779176,0.138916952761376,0.121628986456447,0.13747977167694,0.0965243248850714,0.14193702954168,0.135989038432363,0.129176276926094,0.0960263573058547,0.147404444098097,0.109078232634774,0.23938465433425,0.145604462904949,0.149245278597002,0.188645464599956,0.147135127318436,0.186242687656002,0.15336503284737,0.177241485808767,0.287160206067935,0.167779336839288,0.117483439165021,0.148666789782986,0.17329607207632,0.160667081993641,0.123057904957701,0.167721780515072,0.209047588142988,0.207390595543618,0.183887547677528,0.132659753953782,0.172622755910334,0.150768224696175,0.190713015921289,0.260004644314285,0.178783474489312,0.111472177025666,0.115070175198364,0.147285189412869,0.148905256582521,0.15261291323111,0.131377304878343,0.200158368924362,0.186353216206213,0.192853463673654,0.123220397211297,0.328852144581546,0.196294443467932,0.161335211385862,0.124909735335482,0.208957827496577,0.176704397008279,0.239048477009374,0.250757015864888,0.207544141205255,0.241432855419789,0.225729241588716,0.437388811155224,0.369186570291838,0.403814750354143,0.390835800779946,0.347896621323915,0.22172931311291
"C2",0.126932274563867,0,0.138614861989339,0.187899255833334,0.163137329795013,0.0737046647444367,0.0891139603071303,0.201632564403799,0.192342421253668,0.156665181139214,0.133600604191042,0.142059601220312,0.153513592429937,0.162168829643675,0.142302271624288,0.152996018311707,0.174203823354709,0.144611372593837,0.146028043233241,0.280181097050088,0.147957424775769,0.144891028196649,0.221115943599299,0.172003629880584,0.214999228371228,0.171857246228355,0.132983147630467,0.302548068395008,0.153488639937213,0.147541352135847,0.138123508596356,0.164650127024404,0.124046881609108,0.140036038231172,0.183159873697011,0.213306195085151,0.123557114791511,0.136273090664377,0.152011456885474,0.109365088118036,0.13309500597232,0.16388438813645,0.221292406261871,0.151656013300071,0.121690542317822,0.103809599436784,0.113138793491868,0.108147776470602,0.155040220429362,0.142281562345553,0.180086161656386,0.142259037744343,0.114805639091769,0.121150094290497,0.270347395956699,0.120067868954379,0.188760194123075,0.20808197119122,0.13324934965461,0.107613116003464,0.174351049173904,0.211899398528017,0.180425137326978,0.156014461050063,0.170863800200636,0.394267058414155,0.301835283457974,0.38935600886488,0.360721138442096,0.374013461931142,0.171707566324604
"C3",0.189652740350142,0.138614861989339,0,0.207164693407805,0.184230575369025,0.122694421540095,0.173140660377934,0.243312838316234,0.262178342057396,0.218753892766993,0.230725313736007,0.210616960379708,0.245386924021154,0.230938280464914,0.211816195199942,0.253469350520675,0.213552010501055,0.262173667580118,0.242701277392606,0.352994779758734,0.259406780272155,0.252126111121218,0.317142988303367,0.244795872760814,0.292561523267285,0.236323168915412,0.240633243306082,0.261090850520631,0.276475877727906,0.180722749670019,0.225015818344115,0.245892238797581,0.212924667002288,0.24826323262961,0.264057011306388,0.265871148810608,0.206682205734464,0.231742522302102,0.242577821824871,0.19714664909734,0.217783049307492,0.227738192018231,0.249950933192,0.235674397063192,0.217881812135554,0.206840281147162,0.185540783838383,0.18441408777598,0.257259030247274,0.230544931575935,0.242892256887946,0.204469063939457,0.22518799359768,0.217998828506231,0.308964113381659,0.164528001472961,0.279743961589943,0.246637678234024,0.237080835268987,0.170465997391864,0.197066132037468,0.293227740286487,0.277443502317668,0.191565761925948,0.263723696919082,0.378213622054227,0.291967627572462,0.335822444602813,0.370449062637875,0.313595078558661,0.250413822829815
"C4",0.267990402377309,0.187899255833334,0.207164693407805,0,0.169611420943731,0.156204763550034,0.202885312741508,0.203939351903721,0.299112265364577,0.2907065966249,0.249068617618287,0.265577812438938,0.28133967073188,0.268698591970389,0.252438713905064,0.260163220817903,0.288396923558471,0.254830804423173,0.269263132865489,0.308614780844426,0.247120669581687,0.292067839986795,0.275997868506374,0.208888981456042,0.288614004072972,0.250543580476422,0.266504991004719,0.303330287961692,0.231333592039803,0.290676378329597,0.281631396852703,0.314488377911291,0.263900664950571,0.272940113409676,0.279642695843877,0.246756891318303,0.253698012202605,0.194872383867175,0.241892187481309,0.235541747243931,0.257522190596728,0.218599054350204,0.297253590529993,0.295956932075157,0.242034967960763,0.222544025738909,0.253937557201666,0.240607916730948,0.307699429924599,0.254214315379846,0.286274207808452,0.261757787629875,0.248900271127219,0.275022043057178,0.199917821418867,0.214072476197547,0.270474796466268,0.318400008374588,0.197176173400403,0.256208546083734,0.258180605090791,0.214116082836686,0.279785631082429,0.214880436202207,0.304548158166603,0.358190384460245,0.289567110266392,0.290934221459632,0.347197623782781,0.328644403584026,0.238947608590815
"C6",0.233147575872409,0.163137329795013,0.184230575369025,0.169611420943731,0,0.11921556576463,0.165630879963604,0.173503763121107,0.28661459399177,0.253734202381335,0.232343628629053,0.252734309774706,0.267144056311723,0.276758645678687,0.266231386341616,0.206325258863833,0.273463946381543,0.234119068930445,0.246663442675795,0.350159469256244,0.242102630022058,0.225816573603332,0.285061253619157,0.19174761460833,0.277555977699957,0.26287427679775,0.263161904678167,0.258656625448103,0.212912233569999,0.283709801351088,0.254928052943872,0.301702632175315,0.246317699661677,0.253699020758287,0.314547603531968,0.229963053277365,0.204231593207902,0.173768343608251,0.26017497984932,0.224579645526196,0.244693451701243,0.243272631747479,0.302650628898897,0.27511422186949,0.235032929107416,0.193496806497618,0.251956897219891,0.231535088417919,0.280723198091349,0.229880834351795,0.248066818058205,0.165155652416573,0.222115595467839,0.254531189076071,0.207378282729006,0.178105388658572,0.260485636367096,0.24259107277928,0.225667267248357,0.188013846370109,0.283684381102761,0.241371802010616,0.229235546656513,0.150076957838718,0.261611409698627,0.337015753365633,0.242728675349682,0.284781320172678,0.320747599045435,0.375105225759357,0.306774092569893
"C7",0.177994063901134,0.0737046647444367,0.122694421540095,0.156204763550034,0.11921556576463,0,0.105958532724741,0.176680669620404,0.245640236705598,0.199640752378215,0.194139558414312,0.178911018729581,0.200552403385338,0.196838938167439,0.192800392145673,0.195537425158032,0.227545835239071,0.203878397325709,0.187441458319232,0.317517106675077,0.198375580565305,0.170069793182522,0.272983962247,0.156460828155887,0.243786738429751,0.202006006576016,0.186963607484773,0.277496219584312,0.204264346776907,0.196096197661697,0.183265828245154,0.207595100704229,0.176376846738497,0.195977487610178,0.228697382636208,0.186911034231629,0.132402190060499,0.150502720534025,0.199958997996658,0.138755807466571,0.175863343808932,0.191795376580383,0.243603478427602,0.202686253385311,0.178512909483866,0.146044406087481,0.167684804827356,0.145504033744591,0.210135869273824,0.195301391659769,0.182346457372039,0.179669802368811,0.15426794109066,0.180288976355288,0.221741826796645,0.142610642470328,0.227935500212456,0.234351744528213,0.17271697288202,0.13648884103515,0.214316441929816,0.221323017611267,0.185342912233561,0.118599641892831,0.215072378564814,0.360741427240404,0.262018750247799,0.354420732567202,0.340433710410381,0.360757135967922,0.225575111150144
"C8",0.137286378319765,0.0891139603071303,0.173140660377934,0.202885312741508,0.165630879963604,0.105958532724741,0,0.184329179028613,0.206485295907769,0.183189779542892,0.160567913759888,0.180115617939011,0.158746993030202,0.189331227430141,0.194350363902407,0.182811365450274,0.192945078267404,0.178502181473772,0.169608848823518,0.288997992685995,0.168869815623991,0.173504709991639,0.210985918101924,0.137003055480886,0.208573874263225,0.213071540519797,0.202336465756813,0.303716403515768,0.159392670277101,0.185187748629019,0.175461767593916,0.201277154155706,0.184270088870092,0.128777497703426,0.187803466161425,0.210302994754201,0.169901389106691,0.18182282972056,0.149798313137459,0.135808147087159,0.155814343530312,0.231708505709006,0.243028417010952,0.187702592003097,0.114735750755188,0.10583317639708,0.157220679702392,0.139359189381827,0.169959605719175,0.189044828948287,0.171609108486873,0.146331060231473,0.173953224838831,0.185517387332688,0.269761275892185,0.173277696155667,0.208149104566649,0.227557219615894,0.165136089929378,0.164746640258849,0.231519569415308,0.235533162741985,0.206940430812097,0.165380592982011,0.210733196734788,0.393094832227371,0.315862132258392,0.393637149081163,0.333176427346962,0.351252778222768,0.220419210870956
"C10",0.263101653601448,0.201632564403799,0.243312838316234,0.203939351903721,0.173503763121107,0.176680669620404,0.184329179028613,0,0.270296069162719,0.248443767808988,0.26563545919024,0.279367467541708,0.278174530210562,0.279329966191717,0.277756201982552,0.27737920782981,0.301347417884716,0.225150726717835,0.266819736888903,0.348078597148029,0.248033973758726,0.276922024966015,0.217777827783081,0.23906387625218,0.2620778498506,0.272699034241082,0.206343992713943,0.306864960117848,0.232091636554511,0.309802657916174,0.297794885495633,0.27484267107672,0.267332214416694,0.274154438327524,0.31304322545678,0.256892303193315,0.246279299884998,0.204565916304988,0.25085825407801,0.261316439861084,0.28380671943019,0.253611343432625,0.293010543853291,0.275301277508429,0.274448549362354,0.245323069765023,0.291777572750325,0.254092070140172,0.314077676922303,0.26657024305531,0.285138492282507,0.209932835673004,0.230572539782388,0.290796797150613,0.292924407968423,0.184954983615081,0.267365080494247,0.312117947990488,0.182028902860585,0.231255797350587,0.278917828998171,0.203586134188847,0.29499015476048,0.234210647012081,0.218129269816888,0.383753730301027,0.337114857291693,0.351115960401966,0.366873023337317,0.365963368208074,0.29350209558512
"C29",0.138192141779176,0.192342421253668,0.262178342057396,0.299112265364577,0.28661459399177,0.245640236705598,0.206485295907769,0.270296069162719,0,0.165882580014485,0.154565661732221,0.168270393552655,0.14185620454695,0.135562799882528,0.157971775267528,0.18942538432397,0.0949773205913242,0.141793624890717,0.113987696887805,0.196134302964827,0.16105770644226,0.2089037718601,0.165273947236867,0.22468518560556,0.19172930531067,0.141004376687696,0.190713824826534,0.298072191432314,0.226891274232281,0.133590807754622,0.184581758978168,0.192807795065189,0.174326119761224,0.153804848719035,0.176670587976771,0.231302565667138,0.251476918590839,0.196949008894024,0.128332539142667,0.232721855122477,0.190316386162135,0.190467865872395,0.27927964070281,0.230125320483589,0.189430246151672,0.196616933894227,0.208292394697946,0.190180985199443,0.224737543093997,0.157906214852296,0.282694254858727,0.253761235155171,0.214380084155718,0.140384087804462,0.281607139301897,0.226895475687903,0.131080979074169,0.124774154371468,0.219132307607286,0.210073387824099,0.214006956744734,0.23505115913929,0.254282044359251,0.250227923247569,0.205087320882589,0.4420567033427,0.384896978979198,0.375832575691613,0.386662328611847,0.348987884052721,0.243294270056825
"C30",0.138916952761376,0.156665181139214,0.218753892766993,0.2907065966249,0.253734202381335,0.199640752378215,0.183189779542892,0.248443767808988,0.165882580014485,0,0.140109254619151,0.168240215717641,0.16409985902808,0.214302578501358,0.207362607539029,0.178873950595546,0.125159383338762,0.173985699248805,0.141936108783348,0.281409838652598,0.151058953074661,0.160796812193154,0.212357039610942,0.21179982565227,0.228729100171103,0.199387511122902,0.188986085244441,0.316303594886991,0.194624458832935,0.1346887908934,0.164258193107794,0.146693535137199,0.140592949766302,0.133125449496987,0.205921752577678,0.24933236495493,0.200592042606548,0.206782977885911,0.181824517627608,0.18592581403821,0.156797544928305,0.211502765855292,0.305997849776568,0.161873614608465,0.174349054828517,0.140775365591334,0.184951444223721,0.187703819819058,0.20627213849081,0.155162395202937,0.251903538439539,0.204017989101046,0.197173875821915,0.155775329825859,0.309200426717736,0.214173386613281,0.185441891191882,0.163729994790431,0.210959739708665,0.207244210572499,0.273560507407353,0.283408622944927,0.258584491134672,0.205434831526463,0.206589310385936,0.48869965384933,0.390316867244515,0.423110022407318,0.433436994412199,0.416864755731452,0.249286846245456
