"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00657706605661996	0.00200085751036158	0.00514359194170596	0.0341868116149335	0.00929633867276888	0.0107234772662282	0.006	0.011587982832618
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0261652845295968	0.0125768186365585	0.00871553079011287	0.00214561579173223	0.017162471395881	0.00328853302830998	0.00514285714285714	0.00515021459227468
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0057191878753217	0.00414463341432042	0.00385769395627947	0.00414819053068231	0.0178775743707094	0.0141549899914212	0.0157142857142857	0.0117310443490701
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.00228767515012868	0.000285836787194512	0.00085726532361766	0.061650693749106	0.00200228832951945	0.000428939090649128	0.000142857142857143	0.000858369098712446
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00443237060337432	0.00214377590395884	0.00128589798542649	0.0311829495065084	0.0062929061784897	0.00743494423791822	0.00414285714285714	0.00901287553648069
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00514726908778953	0.00728883807346005	0.0024289184169167	0.00243169789729652	0.0068649885583524	0.00514726908778953	0.0152857142857143	0.0157367668097282
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00586216757220475	0.00743175646705731	0.00142877553936277	0.000429123158346445	0.00715102974828375	0.00471832999714041	0.0112857142857143	0.0174535050071531
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00557620817843866	0.00914677719022438	0.00471495927989713	0.00128736947503934	0.0062929061784897	0.00714898484415213	0.00742857142857143	0.00643776824034335
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.0160137260509008	0.0154351865085036	0.00114302043149021	0	0.00257437070938215	0.00114383757506434	0.006	0.00529327610872675
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00500428939090649	0.00257253108475061	0.00342906129447064	0.0130167358031755	0.00600686498855835	0.00586216757220475	0.00171428571428571	0.00572246065808298
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.0077209036316843	0.00314420465913963	0.0024289184169167	0.000858246316692891	0.00700800915331808	0.00514726908778953	0.000714285714285714	0.0107296137339056
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oryzae"	0.00243065484701172	0.00142918393597256	0.0018574082011716	0.00100128736947504	0.00672196796338673	0.0077209036316843	0.00228571428571429	0.00987124463519313
