"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1299998"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Tractidigestivibacter"	"s__Tractidigestivibacter scatoligenes"
"txid2603815"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella avium"
"txid1907654"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella bouchesdurhonensis"
"txid1720204"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella ihumii"
"txid147207"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella intestinalis"
"txid1871016"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella phocaeensis"
"txid1937461"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella provencensis"
"txid147206"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella stercoris"
"txid742742"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella tanakaei"
"txid1870987"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella vaginalis"
"txid1232426"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Enorma"	"s__Collinsella massiliensis"
"txid2590867"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Enorma"	"s__Enorma burkinafasonensis"
"txid1871019"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Enorma"	"s__Enorma phocaeensis"
"txid1034345"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Senegalimassilia"	"s__Senegalimassilia anaerobia"
"txid2707299"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Eggerthellales"	"f__Eggerthellaceae"	"g__Adlercreutzia"	"s__Adlercreutzia hattorii"
"txid2690837"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Eggerthellales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__Eggerthella guodeyinii"
"txid84112"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Eggerthellales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__Eggerthella lenta"
