"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.117748173614095	0.276832928397885	0.0209199025648374	0.0900643316654753	0.197854077253219	0.159594227746821	0.440486409155937
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.000429737859905458	0.0508789481206231	0.00644791517409371	0.382701929949964	0.207868383404864	0.350192884697814	0.0103004291845494
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0322303394929093	0.235243675861083	0.0419830921335435	0.098927805575411	0.18412017167382	0.153450492927561	0.0693848354792561
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0226328606216874	0.164499071030442	0.154893251182118	0.219299499642602	0.143776824034335	0.0392913273324761	0.00572246065808298
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.365706918779544	0.00957553237101615	0.0169078664565124	0.021300929235168	0.0376251788268956	0.0698671238748393	0.189842632331903
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.00902449505801461	0.000571673574389024	0.511821177819172	0.0993566833452466	0.0443490701001431	0.0024289184169167	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.047557656496204	0.0521652136629984	0.0578879495629746	0.0448892065761258	0.0835479256080114	0.069724246320903	0.0231759656652361
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0584443489471422	0.0100042875518079	0.00229259206189999	0.0150107219442459	0.0316165951359084	0.00957279611373053	0.0964234620886981
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.136083655636728	0.0104330427325997	0.0075942112050437	0.00543245175125089	0.00858369098712446	0.0141448778396914	0.0400572246065808
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00143245953301819	0.176932971273403	0.00200601805416249	0.00471765546819157	0.0103004291845494	0.00928704100585798	0.00586552217453505
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.169459962756052	0.00100042875518079	0.00358217509671873	0.00114367405289492	0.00586552217453505	0.00700100014287755	0.00257510729613734
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000143245953301819	0.000142918393597256	0.16033815732913	0.000857755539671194	0.00386266094420601	0.00314330618659809	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00186219739292365	0.00157210232956982	0.000573148015474996	0.00128663330950679	0.00815450643776824	0.0932990427203886	0.00257510729613734
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.0233490903881965	0	0.000859722023212495	0.000571837026447462	0.000572246065808298	0.00357193884840692	0.0247496423462089
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00530010027216731	0.00614549092468201	0.00458518412379997	0.0111508220157255	0.0138769670958512	0.00642948992713245	0.00586552217453505
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0.00272167311273457	0	0.000143287003868749	0	0	0	0.0453505007153076
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.00157210232956982	0	0	0.000429184549356223	0.00314330618659809	0.0310443490701001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00515685431886549	0.00185793911676433	0.00573148015474996	0.00271622587562545	0.0155937052932761	0.0024289184169167	0.000858369098712446
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000143245953301819	0.000428755180791768	0	0.000142959256611866	0.000858369098712446	0.00228604086298043	0.00171673819742489
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0	0	0	0	0.00343347639484979
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae"	0.000429737859905458	0	0.000573148015474996	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0.000142918393597256	0	0	0.000143061516452074	0.000285755107872553	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0.000429861011606247	0.000142959256611866	0.000143061516452074	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0	0	0	0	0.000286123032904149	0.00042863266180883	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.000143245953301819	0	0	0.000142959256611866	0.000143061516452074	0.000142877553936277	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0	0.000286574007737498	0	0.000143061516452074	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0	0.000142959256611866	0	0.000285755107872553	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0.000143287003868749	0	0.000143061516452074	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0	0	0	0	0	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0.000143061516452074	0	0
