"Taxa"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.028"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.169"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.088"	"hdz.091"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.269"	"hdz.274"	"hdz.245"	"hdz.253"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.250"	"hdz.272"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.204"	"hdz.394"	"hdz.254"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.233"	"hdz.230"	"hdz.222"	"hdz.400"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.384"	"hdz.347"	"hdz.396"	"hdz.345"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.348"	"hdz.392"	"hdz.341"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.390"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.377"	"hdz.357"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.362"	"hdz.452"	"hdz.437"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"	"hdz.029"	"hdz.206"	"hdz.397"	"hdz.213"	"hdz.421"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.030"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.157"	"hdz.173"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.103"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.107"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.248"	"hdz.267"	"hdz.265"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.237"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.335"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.337"	"hdz.344"	"hdz.338"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.218"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.376"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.189"	"hdz.475"	"hdz.441"	"hdz.160"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.423"	"hdz.416"	"hdz.415"	"hdz.414"	"hdz.171"	"hdz.412"	"hdz.159"	"hdz.473"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.489"	"hdz.477"	"hdz.484"	"hdz.509"	"hdz.479"	"hdz.480"	"hdz.517"	"hdz.487"	"hdz.481"	"hdz.525"	"hdz.522"
"animal_parasites_or_symbionts"	0.322169562927857	0.357828533598146	0.292979222520107	0.448542438395877	0.327397013851412	0.268279334500876	0.342814183686255	0.207924615741098	0.331446540880503	0.335099480968858	0.417901529636711	0.240417754569191	0.325632563256326	0.303144181385444	0.258788811906595	0.350877192982456	0.162875121006776	0.206246560264172	0.357925658117727	0.271358585255108	0.399980811666507	0.342187648230718	0.296143250688705	0.349121323183911	0.337040313408316	0.274892685800858	0.271970293687409	0.293753226639133	0.304007163644504	0.448497854077253	0.326911589008363	0.265926917926153	0.295037166593791	0.3132129803965	0.369785082174463	0.291232457968598	0.531192175522073	0.4994566398609	0.133438860308666	0.212300647402495	0.285866729902775	0.42242054172538	0.470132431670893	0.272645470905819	0.308296099504891	0.609920751394189	0.29341021416804	0.274412855377008	0.263136661623802	0.255885453267744	0.32696601339618	0.284215622982569	0.323539949838767	0.221129880919413	0.126113776559287	0.321872291245305	0.376086347070367	0.192252647648125	0.430943180191785	0.372942289498581	0.335464075683968	0.280722347629797	0.283357970901735	0.297412741030022	0.262402241157932	0.140441285354657	0.356627201848109	0.257796802655718	0.411205345669494	0.178188098860879	0.32503123698459	0.186605111735581	0.268627705066736	0.596285678673812	0.522072134800167	0.414586466165413	0.299530148786218	0.244031246561778	0.249719206289779	0.375078665827565	0.313053097345132	0.535353535353535	0.47875166002656	0.344406196213425	0.128411572052402	0.44390044879641	0.199739034427381	0.172033898305085	0.142651926800325	0.305490654205607	0.272718936267767	0.191208064782681	0.346118553863094	0.192736151381047	0.309579990561586	0.175644877240236	0.141404885312563	0.170177482968806	0.353331276989513	0.239565943238731	0.533966182141798	0.312922425098356	0.271279907497999	0.53257328990228	0.72506608988224	0.706124852767962	0.815816068721577	0.501820142914925	0.15765384268853	0.0700342825159169	0.254720543806646	0.713350785340314	0.35379684418146	0.170296710817666	0.192501464557704	0.297400210084034	0.0952257057369585	0.350265017667845	0.272006606110652	0.238836265223275	0.21762776933536	0.223440712816998	0.253043228218154	0.303924857430393	0.15647128245476	0.219829561073948	0.175288499801035	0.151289682539683	0.378134584160202	0.519596429957314	0.27791394335512	0.353129188576142	0.250841750841751	0.19914667896679	0.292174383969672	0.209277238403452	0.347182876927919	0.257865757734662	0.272530641672675	0.329824561403509	0.264806311079713	0.259643916913947	0.290781487101669	0.262197325623419	0.375387518533495	0.323228882833787	0.354807692307692	0.323208401976936	0.415072859744991	0.326119228064693	0.389073765945646	0.313652412710867	0.357381429525718	0.371297558557442	0.174592235240064	0.337081810514478	0.414560770156438	0.341988429974438	0.322902208201893	0.322291853178156	0.379962192816635	0.262705941088368	0.220696756478462	0.382087099424815	0.362771523703821	0.308779011099899	0.333656997208399	0.391719202589879	0.38946839261028	0.413717461245978	0.341404823676372	0.362924281984334	0.355720990451529	0.389878031683724	0.476730987514188	0.159527919393039	0.351090454057919	0.359989940902804	0.122332317073171	0.111587582735154	0.112051282051282	0.0611095852787696	0.103241792277514	0.259000872056808	0.28876629889669	0.25169779286927	0.211395942169846	0.170179239708489	0.132251886898727	0.510232886379675	0.186225645672859	0.1993591529674	0.209243998566822	0.168420106105566	0.0853226026462965	0.381932607840566	0.173558754093367	0.232860411899314	0.249856404365307	0.368544600938967	0.326101468624833	0.0560020854151279	0.157560036817003	0.0628119800332778	0.123575217244103	0.141776937618147	0.130374252722955	0.152854143756873	0.193546114281688	0.211552558275913	0.0976197359545148	0.122113469034214	0.19331636605068	0.181982162541337	0.193136420197786	0.201896824256359	0.162808473465822	0.262700964630225	0.103826648224988	0.276	0.219722455845248	0.184984615384615	0.190588646899327	0.206881963051756	0.231113478955781	0.264222632984186	0.0798542360028647	0.159133047759095	0.107816434554705	0.128887613444775	0.251177754797196	0.0606081838565022	0.148993489485894	0.165890570430733	0.124119522503151	0.163701868948435	0.301775147928994	0.245443060819347	0.273945299523862	0.243527820710974	0.243386243386243	0.255417406749556	0.119558201247938	0.254852624011502	0.317007715531701	0.20804539172183	0.257081834532374	0.336737365802566	0.176609848484848	0.204310222600312
"chemoheterotrophy"	0.187993680884676	0.186362131744456	0.15063672922252	0.133354807537446	0.21244828206512	0.202057793345009	0.193459466232302	0.242372750444118	0.188050314465409	0.202638408304498	0.167304015296367	0.220365535248042	0.193319331933193	0.21119879744457	0.216705157813703	0.169890538311591	0.242255566311713	0.240643918547056	0.18438594509095	0.215318437089258	0.174134126451118	0.198747746893084	0.219500196772924	0.198947467343295	0.1920889675218	0.203181550374547	0.227748396534264	0.208182756840475	0.195768972464742	0.165109820752335	0.16816009557945	0.2290032523436	0.210100568430258	0.208439472809835	0.181921618204804	0.219119077393358	0.142083002907745	0.149315366224734	0.136842105263158	0.190431075319754	0.217808868864121	0.1562548927509	0.160185967878276	0.191961607678464	0.146479893732641	0.120780745523921	0.182454695222405	0.187422744128554	0.204034291477559	0.196503865073788	0.190151327214091	0.188105229180116	0.200047772602412	0.187413458875658	0.269910897875257	0.209621496677261	0.174656574151948	0.261234615017651	0.174753112924002	0.172185430463576	0.178343134748146	0.205146726862302	0.17342254726523	0.213937027092995	0.172931014357418	0.166474159632756	0.196072769275195	0.198567310212283	0.165124646620406	0.166467903113048	0.157684298209079	0.20794861501405	0.21977452377867	0.108438240059828	0.146219189527921	0.176842105263158	0.206995562516314	0.217845747606997	0.220142268813179	0.18995175162576	0.219579646017699	0.146627565982405	0.135059760956175	0.206024096385542	0.141546124454148	0.168638650890793	0.217605139014353	0.223446327683616	0.221660108675286	0.209929906542056	0.170930765703806	0.261279127416956	0.212149018168471	0.230123607508012	0.196436998584238	0.167927069304879	0.149680707883508	0.158300466116888	0.199105490438001	0.2220367278798	0.133194897656482	0.200544739231312	0.231966556968781	0.143865363735071	0.0879596250901225	0.0848056537102474	0.0613946437594745	0.137791559929891	0.129272907469141	0.27146155460715	0.181552114803625	0.0783158813263525	0.101639546351085	0.161439671484359	0.204335090802578	0.194196428571429	0.223689345648498	0.200971731448763	0.196696944673823	0.174447451511051	0.155162760937375	0.195567740461503	0.164286398926483	0.19959745051996	0.237706530291109	0.164757628516448	0.202845204934341	0.211111111111111	0.172108966263756	0.148622429181218	0.214324618736384	0.180121662027013	0.175364758698092	0.212177121771218	0.158813972380179	0.200647249190938	0.176109537299339	0.195726271630834	0.206020187454939	0.186432748538012	0.199693865536324	0.155126937026047	0.183990895295903	0.172298518250813	0.142337242215932	0.180177111716621	0.169711538461538	0.192030477759473	0.154371584699454	0.180170325806704	0.14822518025513	0.196547665751275	0.170741482965932	0.192341058371545	0.169813921433494	0.151672757942086	0.157039711191336	0.157137091349388	0.164668769716088	0.163533273649657	0.143802322441264	0.14518222666001	0.195640981637206	0.177074774034511	0.157444109719359	0.159290759694392	0.170530404175264	0.151473845629579	0.16325248209124	0.147704007019596	0.197174978379936	0.152596460690455	0.148082213950477	0.149866816206365	0.12637154748392	0.169483360764321	0.170003575259206	0.148748899786244	0.224466463414634	0.143780491594419	0.23051282051282	0.270255424333974	0.214398788629637	0.226361031518625	0.17432296890672	0.187011884550085	0.227068399951403	0.224049635611582	0.200011265067027	0.161373794401317	0.2	0.226525494566732	0.211632628687448	0.186943620178042	0.258627745191652	0.15235348105415	0.212169674815323	0.1841647597254	0.173923032739805	0.171205007824726	0.195260347129506	0.229873571707868	0.19471173960338	0.254991680532446	0.241394876424783	0.225748681723212	0.229710916386864	0.235829251224632	0.226449658282252	0.226946195572497	0.265105521827118	0.125647466435686	0.198517207037734	0.206734141697565	0.191368131508285	0.221583560856445	0.219152653417777	0.186495176848875	0.126694329183956	0.167891891891892	0.189129520605551	0.196430769230769	0.190938511326861	0.192497532082922	0.217048481619606	0.194495789689875	0.0864894468551207	0.195192123265776	0.18628912071535	0.140671521325824	0.19269217511203	0.129428251121076	0.141697223677318	0.221187427240978	0.172907244012753	0.239810853411394	0.185885409149949	0.208626601696445	0.190233639685528	0.181221020092736	0.192268305171531	0.209236234458259	0.182026823495661	0.179247543733525	0.164709828916471	0.201498508765549	0.190984712230216	0.191673212882954	0.16635101010101	0.197079257053736
"fermentation"	0.183570300157978	0.181065872227739	0.145191018766756	0.127234659365437	0.209570066558734	0.19614711033275	0.188823455707305	0.238510851934811	0.180293501048218	0.196583044982699	0.162523900573614	0.21733681462141	0.186318631863186	0.200926969810848	0.203104952527585	0.165092217723797	0.228702807357212	0.227297743533297	0.173991639362784	0.208746564703071	0.168953276407944	0.193909496252728	0.217434081070445	0.19246311436895	0.187033994692279	0.195353926437169	0.222797344435693	0.198631905007744	0.185247369599284	0.161575359757637	0.163381123058542	0.214463363305912	0.20233930913861	0.206445896555543	0.174462705436157	0.21217173822426	0.138117895849855	0.143664420778092	0.135457063711911	0.187509868940471	0.201209390562011	0.150305307656177	0.157368272752888	0.182963407318536	0.143098659582176	0.116378045201057	0.174135090609555	0.182710135970334	0.2	0.190618411806044	0.182460927809477	0.182214331826985	0.195031649349098	0.184367211298809	0.258807402330363	0.204131753828373	0.170451359686011	0.247018414273447	0.170459424645771	0.167076631977294	0.176041933009461	0.200993227990971	0.169454602038435	0.210763973639248	0.170071203455118	0.162624018954539	0.193473866589662	0.19629597274395	0.159599074787972	0.164905210346671	0.154352353186172	0.205673758865248	0.212517817804846	0.103577215505422	0.141623729285615	0.173834586466165	0.202819107282694	0.215425239300253	0.206757768625983	0.184078036500944	0.204092920353982	0.142717497556207	0.131872509960159	0.199483648881239	0.1397721069869	0.16265469876241	0.210579142828465	0.215348399246704	0.183623758665917	0.208060747663551	0.166345712975699	0.248223434143117	0.196366305744173	0.226766366549672	0.193605474280321	0.160571842950378	0.146129835915352	0.15247400501972	0.192936458975941	0.220367278797997	0.126668644319193	0.193584182386765	0.217646535622165	0.112920738327904	0.0829127613554434	0.0806831566548881	0.0528044466902476	0.132668194687879	0.126245607712407	0.263345693696215	0.176265105740181	0.0663176265270506	0.0979413214990139	0.16015137485406	0.200468658465144	0.186974789915966	0.21048523481202	0.190371024734982	0.192072667217176	0.170162381596752	0.153563144845237	0.19396847155586	0.160835809450781	0.196242871519624	0.234756097560976	0.162100247411344	0.195781933943494	0.208333333333333	0.16597510373444	0.141637563057819	0.198529411764706	0.175275801629034	0.173400673400673	0.211023985239852	0.155564581640942	0.199568500539374	0.172961913755115	0.193235448348191	0.204217736121125	0.183157894736842	0.197103496997527	0.153643257500824	0.181714719271624	0.167690639681966	0.135058633238981	0.154632152588556	0.163461538461538	0.18842668863262	0.150728597449909	0.178138917102899	0.145313366611204	0.189486072969792	0.167000668002672	0.185648779278721	0.165678842177808	0.147174585324712	0.15222623345367	0.148526839768599	0.136277602523659	0.158161742763354	0.141101809343775	0.0998502246630055	0.191178994336708	0.171322925225965	0.149833518312986	0.148911633270866	0.164340332564632	0.145339921622082	0.157974110845796	0.145071658379643	0.192178341500913	0.148825065274151	0.145492798187409	0.146502172998738	0.123344684071131	0.166954357512745	0.164998212370397	0.145982648057337	0.096608231707317	0.122121748858022	0.228461538461538	0.265861027190332	0.210613256246128	0.222623645197459	0.167001003009027	0.179202037351443	0.222694690803062	0.214004333267678	0.19680072096429	0.142554693013409	0.196737652922519	0.222485371969908	0.209482861578885	0.183976261127596	0.25385349884054	0.150517896945064	0.196557764069759	0.178398169336384	0.165996553704767	0.167449139280125	0.172785936804628	0.227397141243429	0.179315538448665	0.25069328896284	0.234962193883309	0.220873544920903	0.220375071656703	0.232630210936719	0.124075248361869	0.212725406831843	0.254601522598053	0.123863144218276	0.191103242226402	0.197314360156328	0.181282336760757	0.215404512142549	0.217623935357065	0.184083601286174	0.0645151375441832	0.155243243243243	0.186606391925988	0.193046153846154	0.184466019417476	0.18720913834438	0.187746403835908	0.192441979872664	0.0705649408097064	0.19052490249984	0.184952978056426	0.12060121246906	0.190164311157072	0.123794843049327	0.138890967597097	0.217927823050058	0.16986727960258	0.234857014185994	0.177659113869245	0.197256812849666	0.183368397741114	0.173589644513138	0.177931387608807	0.197868561278863	0.172487986803414	0.175653007428708	0.154981549815498	0.182803520768168	0.176596223021583	0.16993977481016	0.161695075757576	0.191124344250673
"anaerobic_chemoheterotrophy"	0.178725645076356	0.179079774908971	0.140331769436997	0.124013528748591	0.207411404928944	0.190674255691769	0.188572860543792	0.238510851934811	0.180293501048218	0.19636678200692	0.162284894837476	0.21733681462141	0.186118611861186	0.200676437429538	0.203104952527585	0.165092217723797	0.226282671829622	0.227022564667034	0.173539713026777	0.208268610347712	0.167610093063417	0.193150554975809	0.216646989374262	0.191335400808195	0.187033994692279	0.194343910445249	0.222797344435693	0.197341249354672	0.184351914036266	0.161322898258016	0.162485065710872	0.214463363305912	0.20124617402711	0.205781371137446	0.173198482932996	0.21217173822426	0.137589214908803	0.143664420778092	0.134309457855164	0.177088267803569	0.201209390562011	0.142946610302176	0.156663848971541	0.182663467306539	0.138751358531578	0.115791018491341	0.167215815485997	0.176066131025958	0.198083711548159	0.183591004919185	0.180724386008435	0.176726920593932	0.194076197300848	0.178620880642481	0.258807402330363	0.203842819994221	0.165124754695823	0.24014884075947	0.170173178760555	0.166698202459792	0.170161084121708	0.199187358916479	0.168054150781919	0.208079082255309	0.151978522236489	0.152169406189842	0.192318798729425	0.192364811741067	0.157543048059625	0.160833984455319	0.14993752603082	0.204469423257059	0.209407800958922	0.103078648884457	0.141623729285615	0.172932330827068	0.20203602192639	0.209483991638244	0.206757768625983	0.178309209146214	0.204092920353982	0.140110785272076	0.117662682602922	0.198450946643718	0.0904407751091703	0.161838705290358	0.196125664960353	0.214971751412429	0.183623758665917	0.208060747663551	0.163136176066025	0.239795075194183	0.19489814644889	0.223103921867847	0.193369513921661	0.146172174453538	0.139543541135706	0.150008963786303	0.192936458975941	0.220367278797997	0.126075348561258	0.193382427115908	0.217646535622165	0.109663409337676	0.0824321076664263	0.0771495877502945	0.0517938352703386	0.127275178643656	0.12597531309127	0.263345693696215	0.171261329305136	0.0663176265270506	0.0976947731755425	0.152904706308628	0.200468658465144	0.183823529411765	0.201574086119422	0.190371024734982	0.191577208918249	0.16745602165088	0.142765736223306	0.19396847155586	0.160835809450781	0.195571955719557	0.234756097560976	0.161916979748923	0.194588141663351	0.208134920634921	0.165614288291539	0.140861466821886	0.198257080610022	0.173419940200021	0.158389450056117	0.210793357933579	0.155293799079339	0.197999411591645	0.17233238904627	0.191137912952281	0.203136265320836	0.181754385964912	0.197103496997527	0.146636993076162	0.181714719271624	0.167690639681966	0.133441164577436	0.154632152588556	0.162740384615385	0.186573311367381	0.150728597449909	0.170560200015626	0.140599001663893	0.189486072969792	0.164061456245825	0.185648779278721	0.139995405467494	0.14183300534158	0.151624548736462	0.146912417597202	0.132744479495268	0.153983885407341	0.139211450175533	0.0970544183724414	0.189462845374978	0.170912078882498	0.149199302362454	0.148335015136226	0.164340332564632	0.143976827398194	0.156968706799045	0.141561860193039	0.191217449793408	0.147954743255004	0.140475805146464	0.142857142857143	0.117101778282255	0.161976636827105	0.164640686449768	0.144976738337734	0.0921620934959349	0.0643236692458283	0.228333333333333	0.265861027190332	0.210613256246128	0.21913541796437	0.166800401203611	0.178692699490662	0.222451706961487	0.212133149497735	0.19680072096429	0.141613737944013	0.192659719075668	0.22025633881304	0.209482861578885	0.182177861703084	0.253307870686127	0.149468991739871	0.196557764069759	0.177848970251716	0.160022975301551	0.167136150234742	0.172340898976413	0.226745449015945	0.179315538448665	0.25069328896284	0.229206635819885	0.220475574569695	0.220047498157399	0.230030990702789	0.122454731205524	0.212725406831843	0.253445119013202	0.115825032481594	0.185017151709638	0.196512676620904	0.180889383718646	0.215117114527949	0.21423891679406	0.178938906752412	0.0459812509605041	0.15372972972973	0.185555088309504	0.192184615384615	0.180879909035249	0.186927090678325	0.18657432072456	0.191620455945779	0.0224754602519274	0.169170769132408	0.1791972866026	0.0056677547799261	0.189704699528898	0.0601177130044843	0.135298959814413	0.216996507566938	0.133313561207088	0.23305561810403	0.176793188050224	0.192203573362209	0.172516886280589	0.17088485316847	0.177931387608807	0.197158081705151	0.110449688015492	0.175653007428708	0.153975176115397	0.18047574016149	0.165692446043165	0.169416077507201	0.144570707070707	0.191124344250673
"human_associated"	0.0259083728278041	0.0231711353856339	0.0614946380697051	0.0349492671927847	0.00863464651915812	0.0351357267950963	0.0259365994236311	0.0217038696223063	0.0371069182389937	0.019788062283737	0.0271271510516252	0.0306005221932115	0.0306030603060306	0.022923712889891	0.0319476520400308	0.0452841505473084	0.031703775411423	0.0249036873968079	0.0282453960004519	0.0284382841438643	0.0223544085196201	0.0184043259652784	0.0134789452971271	0.0172916079315854	0.0245166182231771	0.0302163117582695	0.0132778215370766	0.0280072276716572	0.035034698903067	0.0190608432214087	0.0542114695340502	0.0183661756265544	0.0229558373414954	0.0176099235795769	0.0235145385587863	0.0180630818396554	0.0134813639968279	0.0182569006737666	0.0354570637119114	0.0350544765513974	0.0224092957078492	0.0273994050414905	0.015919977458439	0.0506898620275944	0.0757154932979109	0.00719107719401233	0.042833607907743	0.0431087762669963	0.037720625315179	0.0378601546029515	0.0279087075167452	0.0422853453841188	0.0223336916278514	0.0571171420659097	0.020424948594928	0.0166136954637388	0.0236893748247827	0.00601087682473047	0.0144554172033777	0.0346263008514664	0.0302991562260292	0.0316027088036117	0.0499494281490703	0.0146448620942153	0.0483833313878837	0.0871612616614838	0.0150158821830783	0.0356425264261378	0.0260858391159085	0.0780523913311675	0.0521449396084964	0.03867255452964	0.0193080212517818	0.0208151564252773	0.0128115861300655	0.0169924812030075	0.0249282171756721	0.0247551985917043	0.0310745039311119	0.0160478288231592	0.00940265486725663	0.00391006842619746	0.0189907038512616	0.00929432013769363	0.0676514737991266	0.0172718618251054	0.0339255244404296	0.0486817325800376	0.0683904815439385	0.0217289719626168	0.0524530032095369	0.00908940670963477	0.00880895577170123	0.0311307797955135	0.032444549315715	0.0713249766911841	0.0971335299676412	0.0881588382932951	0.0181986428130783	0.0264329437952142	0.0210619994067042	0.0298597800867548	0.0145868540425153	0.0190010857763301	0.00432588320115357	0.0088339222614841	0.00252652854977261	0.0260213024133747	0.124191368591765	0.0347722661442664	0.047583081570997	0.0172338568935428	0.0816074950690336	0.0722251298361448	0.0588166373755126	0.0359768907563025	0.0554832834655913	0.0182567726737338	0.0449215524360033	0.0730717185385656	0.0753419179396945	0.0544893762851268	0.0733250263586696	0.0261657162026166	0.0366837136113296	0.0777971226977	0.0653601273378432	0.0619047619047619	0.0359011365686451	0.0112533954210322	0.0279139433551198	0.0302092999278276	0.0603254769921437	0.0480857933579336	0.0764960736528568	0.0533490242228106	0.0395026754800126	0.0498164656528579	0.029379956741168	0.0332163742690058	0.0438007771105616	0.085476425980877	0.0464719271623672	0.0738164076617275	0.0617333872489554	0.049216621253406	0.0414663461538462	0.028830313014827	0.0407559198542805	0.0235955934057348	0.0439545202440377	0.0323656335817968	0.0411489645958584	0.0172264221093072	0.090420399724328	0.057211132977228	0.0354993983152828	0.0609444369702677	0.0615772870662461	0.054610564010743	0.0598163651093708	0.0456315526709935	0.0598935987643727	0.0282114489181046	0.0554938956714761	0.0703474124261208	0.0506129384634058	0.0458340432782416	0.0295337438733191	0.0431412693770108	0.019794369174594	0.058021467943139	0.0629551707396019	0.0522921631851956	0.0459704880817253	0.0765926699048613	0.0402216660707901	0.061486231610713	0.0285188008130081	0.0869457133090955	0.0478846153846154	0.0280142817907168	0.0615321081973983	0.017067397533325	0.058074222668004	0.0584889643463498	0.0352326570283076	0.0512113452826472	0.0795313732116706	0.00611620795107033	0.0598096964204803	0.0359431596544999	0.0472948763883913	0.0727452567215179	0.0314418223980357	0.0276648747869411	0.0625237986444292	0.0689244851258581	0.0729465824238943	0.0392801251956182	0.0344904316866934	0.0399270104705218	0.073048280478621	0.0442318358291736	0.040063198284618	0.0503432494279176	0.05576938825649	0.0411876437068879	0.0534066088917072	0.0367981234423105	0.033053869133661	0.114144651364227	0.0466969126922651	0.0421885960517086	0.070666055406379	0.0454088231067682	0.0529591613889496	0.0546623794212219	0.0849854003380974	0.0664864864864865	0.0475189234650967	0.0665230769230769	0.0713723432170034	0.067127344521224	0.0447522642514651	0.0446703635243376	0.0791169903526141	0.0561984527843488	0.0883395857957757	0.123937295978764	0.0543490750315983	0.0591227578475336	0.10933173688543	0.0541327124563446	0.0645807073478164	0.0371537941904976	0.0460383893779766	0.0400649702219816	0.0450669914738124	0.0648183925811437	0.0612732548216419	0.0353463587921847	0.076310693537976	0.0662592858854541	0.0639047299563905	0.0662690041463592	0.0563174460431655	0.0335166273893689	0.0976957070707071	0.0616758826031476
