"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.15460667717438	0.402486069438491	0.0583440583440583	0.201888682214909	0.367247785081452	0.305615087869696	0.260757684060043
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.146439317953862	0.0810115730818688	0.531531531531532	0.127629131492345	0.0595884538439554	0.265466495213602	0.0650464617583989
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.145866169938387	0.125446492356051	0.029029029029029	0.203033338102733	0.3132323521006	0.113016145163595	0.192280200142959
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.218512680899842	0.212173167595371	0.036036036036036	0.208041207611962	0.0833095170048585	0.112873267609659	0.15939957112223
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.196303195300186	0.0717245320760109	0.0193050193050193	0.175990842752897	0.116461846241783	0.0520074296328047	0.14481772694782
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0160481444332999	0.0274324903557651	0.167596167596168	0.0257547574760338	0.0158616747642183	0.0907272467495357	0.022301644031451
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0726465109614558	0.0411487355336477	0.00328900328900329	0.000143081985977965	0.0051443269505573	0.0425775110730104	0.0194424588992137
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000286574007737498	0.00042863266180883	0.000143000143000143	0.0171698383173558	0.000428693912546442	0	0.111365260900643
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.000142877553936277	0.127556127556128	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0103166642785499	0.0165737962566081	0.0167310167310167	0.00314780369151524	0.0324378393826808	0.011858836976711	0.0101501072194425
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0200601805416249	0.0177168166880983	0.00729300729300729	0.0357704964944913	0.00585881680480137	0.00471495927989713	0.00829163688348821
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.0120361083249749	0.000714387769681383	0	0.000286163971955931	0.000428693912546442	0.000571510215745106	0.00128663330950679
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00157615704255624	0.00271467352478926	0.00314600314600315	0.000143081985977965	0	0.000142877553936277	0.00400285918513224
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.00487175813153747	0.000142877553936277	0	0.000858491915867792	0	0	0.000714796283059328
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000286574007737498	0.000142877553936277	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0.000285755107872553	0.000142959256611866
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.000143287003868749	0	0	0	0	0.000142877553936277	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000143081985977965	0	0	0
