"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00142918393597256	0.003	0.00257473895007867	0.00400057151021575	0.00328759291023442	0.00800686302545039	0.00628661237319617	0.0012881064834693
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0	0	0	0.0165809033733562	0.0087217615098656	0.00085726532361766	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.0022866942975561	0.00271428571428571	0.00128736947503934	0.0018574082011716	0.00400228702115495	0.00228767515012868	0.0018574082011716	0.0004293688278231
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.00142918393597256	0.00228571428571429	0.000858246316692891	0.00042863266180883	0.00185820468839337	0.00285959393766085	0.00557222460351479	0.0004293688278231
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000428755180791768	0.00271428571428571	0.000286082105564297	0.00642948992713245	0.000428816466552316	0.00057191878753217	0.000571510215745106	0.0030055817947617
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00257253108475061	0.00142857142857143	0.000286082105564297	0.000571510215745106	0.00171526586620926	0.00414641120960824	0.00214316330904415	0.0005724917704308
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00100042875518079	0.00214285714285714	0.000286082105564297	0.00085726532361766	0.000857632933104631	0.00386045181584215	0.000714387769681383	0.0005724917704308
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000571673574389024	0.00214285714285714	0.000286082105564297	0.00200028575510787	0.000571755288736421	0.000285959393766085	0.00128589798542649	0.0012881064834693
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.000142918393597256	0.00114285714285714	0.00185953368616793	0.00085726532361766	0.000428816466552316	0.00114383757506434	0.00200028575510787	0.0004293688278231
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0	0.000714285714285714	0.000572164211128594	0	0.00128644939965695	0.00300257363454389	0.000714387769681383	0.0010018605982539
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia"	0.000285836787194512	0.00142857142857143	0	0.00042863266180883	0.000571755288736421	0.00271661424077781	0.000571510215745106	0.0004293688278231
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0	0.00114285714285714	0.000143041052782148	0.00157165309329904	0.00100057175528874	0.000285959393766085	0.00114302043149021	0.0005724917704308
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas"	0	0	0	0	0	0	0	0.0054386718190926
