"","korra21","korra29","korra44","korra48","korra58"
"korra21",0,0.269268857437957,0.395358208962376,0.18741190038951,0.365187218979084
"korra29",0.269268857437957,0,0.485394402242603,0.295122539451586,0.369391998336637
"korra44",0.395358208962376,0.485394402242603,0,0.30301038728878,0.31569816015241
"korra48",0.18741190038951,0.295122539451586,0.30301038728878,0,0.337146904312927
"korra58",0.365187218979084,0.369391998336637,0.31569816015241,0.337146904312927,0
