"","henry29","henry36","henry42","henry48","henry59","henry66"
"henry29",0,0.665050081977946,0.660761169497882,0.593207550329863,0.70675528843946,0.534974810170676
"henry36",0.665050081977946,0,0.674301391961281,0.675500313649314,0.682466491684484,0.691530138036
"henry42",0.660761169497882,0.674301391961281,0,0.674246872212078,0.715401194114525,0.677128146902193
"henry48",0.593207550329863,0.675500313649314,0.674246872212078,0,0.644213369562886,0.606507677604043
"henry59",0.70675528843946,0.682466491684484,0.715401194114525,0.644213369562886,0,0.682579625543544
"henry66",0.534974810170676,0.691530138036,0.677128146902193,0.606507677604043,0.682579625543544,0
