"","hdz-013","hdz-014","hdz-021","hdz-011","hdz-010","hdz-016","hdz-026","hdz-024","hdz-020","hdz-035","hdz-040","hdz-047","hdz-054","hdz-069","hdz-064","hdz-063","hdz-057","hdz-071","hdz-065","hdz-187","hdz-184","hdz-181","hdz-180","hdz-167","hdz-060","hdz-174","hdz-163","hdz-098","hdz-102","hdz-097","hdz-087","hdz-085","hdz-192","hdz-264","hdz-258","hdz-274","hdz-252","hdz-249","hdz-240","hdz-272","hdz-250","hdz-270","hdz-273","hdz-262","hdz-271","hdz-203","hdz-266","hdz-394","hdz-196","hdz-235","hdz-198","hdz-326","hdz-330","hdz-318","hdz-317","hdz-308","hdz-314","hdz-319","hdz-324","hdz-305","hdz-310","hdz-320","hdz-301","hdz-241","hdz-327","hdz-236","hdz-230","hdz-222","hdz-398","hdz-339","hdz-321","hdz-221","hdz-408","hdz-219","hdz-220","hdz-392","hdz-229","hdz-405","hdz-350","hdz-224","hdz-215","hdz-227","hdz-226","hdz-388","hdz-352","hdz-354","hdz-361","hdz-452","hdz-426","hdz-442","hdz-445","hdz-311","hdz-029","hdz-206","hdz-397","hdz-095","hdz-005","hdz-004","hdz-019","hdz-025","hdz-002","hdz-023","hdz-001","hdz-050","hdz-036","hdz-067","hdz-186","hdz-183","hdz-195","hdz-161","hdz-162","hdz-170","hdz-099","hdz-101","hdz-096","hdz-106","hdz-193","hdz-259","hdz-251","hdz-323","hdz-246","hdz-247","hdz-209","hdz-207","hdz-260","hdz-205","hdz-208","hdz-194","hdz-200","hdz-239","hdz-199","hdz-307","hdz-315","hdz-306","hdz-331","hdz-303","hdz-312","hdz-313","hdz-333","hdz-332","hdz-325","hdz-242","hdz-334","hdz-302","hdz-232","hdz-309","hdz-344","hdz-409","hdz-346","hdz-210","hdz-393","hdz-340","hdz-349","hdz-406","hdz-391","hdz-316","hdz-223","hdz-217","hdz-228","hdz-403","hdz-402","hdz-387","hdz-378","hdz-379","hdz-359","hdz-355","hdz-360","hdz-380","hdz-451","hdz-453","hdz-449","hdz-448","hdz-439","hdz-432","hdz-440","hdz-443","hdz-165","hdz-214","hdz-446","hdz-447","hdz-475","hdz-441","hdz-464","hdz-164","hdz-474","hdz-415","hdz-171","hdz-159","hdz-463","hdz-158","hdz-461","hdz-466","hdz-488","hdz-483","hdz-479","hdz-487"
"hdz-013",0,0.110124840539502,0.16119484380063,0.133935140070239,0.149967960253675,0.153451744358955,0.119596911740158,0.112712926654297,0.197510458415198,0.114463166948025,0.157514262840624,0.163813849027857,0.256913387715063,0.216637782482864,0.225716899465839,0.267425510390675,0.240874569780455,0.178486501689779,0.151746780936852,0.184417611477404,0.150630931910156,0.193047204526208,0.212639767391709,0.192760819564955,0.297017360828016,0.210870188513911,0.242504662632467,0.163107913163743,0.130295722437989,0.290859285860784,0.222905123416995,0.244102089486505,0.156381292966263,0.240808193094574,0.313084148925018,0.21073123373466,0.239331818000451,0.275706698903333,0.171288631332776,0.254964854396085,0.242568132850103,0.262597724413283,0.310041589785675,0.204968935101316,0.26298867369568,0.202379788579029,0.247019052836716,0.184464051312798,0.238914217149307,0.130318784873275,0.163320019789267,0.204787145800708,0.215416231672861,0.228301014163068,0.258141452866795,0.237656755039756,0.302832395461165,0.231999334787065,0.23787631191915,0.121286247658461,0.232689975302022,0.192958204464242,0.224228435044866,0.212549665259747,0.161692365276503,0.133639452940762,0.182992445472692,0.180027137340007,0.116323413381271,0.250888649598521,0.197317754567489,0.192407131071392,0.356409190768356,0.345785211826586,0.244897543635678,0.156840416639289,0.214927991223841,0.216621567910592,0.295349060557425,0.342669432605511,0.16272439800761,0.277077088615941,0.225279786748621,0.241671016427514,0.197849010578504,0.180345454383591,0.217277339154634,0.364243558176773,0.353863102528659,0.188497784128029,0.321391049461237,0.250452640835585,0.298569555068666,0.194654004875892,0.375776147938482,0.232501157600409,0.286867505198447,0.236166671257412,0.226697702903032,0.257916122428981,0.272913161898126,0.267339806306849,0.297785481285858,0.236799651332521,0.159078640155693,0.176909573469495,0.145415981711811,0.228772614135348,0.272509553241495,0.183750053071123,0.248026389161652,0.224616578084774,0.251589313688726,0.214687711753493,0.20880655142562,0.159262547411881,0.222648748610547,0.24151318022472,0.148335689964646,0.197489200984257,0.259178503104734,0.281704788490507,0.364973531243275,0.281847031351918,0.282176978335998,0.251901554884489,0.258323980894097,0.270546866734921,0.209418470615512,0.320990422111358,0.248073181732159,0.16332751108505,0.213567783992572,0.172771317342508,0.262716749842009,0.204410585410354,0.155202511263047,0.151033136437856,0.187570936658271,0.159429291069087,0.163868781462065,0.296761438104536,0.226846732582789,0.102698865538203,0.353786126009116,0.351512642383846,0.380974070423938,0.281498179431591,0.319826574356796,0.355526975624844,0.277718442642393,0.278850859501345,0.371758982578513,0.340797605885432,0.229717663902916,0.222991540996612,0.266074698085211,0.357723097414878,0.223696721144901,0.372114891782665,0.309847009858496,0.338862427115783,0.226837530035012,0.344388616376742,0.26825363750756,0.376744683607907,0.308298807471023,0.327499828494674,0.298809219355362,0.347117362929965,0.323077779277966,0.321168837821758,0.295818847415079,0.383917448146287,0.263789092462716,0.2975127066326,0.351744978813257,0.202630504526421,0.346375084859624,0.26080259453526,0.292936124917996,0.286947667720149,0.319607384380304,0.325278788325338,0.280859491715778,0.350630577801056,0.434338003412993,0.411418582922242,0.247466116929722,0.351793291303086,0.2506796175984,0.201887661144236,0.282124578388621,0.307587906722925,0.305198144267128,0.318702843588524
"hdz-014",0.110124840539502,0,0.177661276681466,0.159983956383555,0.0688529856511127,0.164764523433646,0.0997787031124115,0.119857714318696,0.205327224797599,0.115980566897485,0.153501223960687,0.205954817255942,0.304675711994393,0.24722225660322,0.240192072266071,0.318842524347607,0.267389739089263,0.206993410606257,0.179272208371785,0.233088767049252,0.171933691618568,0.215461569599712,0.236444074473859,0.230545526991091,0.341469550422331,0.23268100534718,0.263791291608371,0.164768515357399,0.143002237655148,0.291406020571526,0.283190603635877,0.257995892948961,0.112553902108119,0.226271353210173,0.30172169711769,0.221844300466913,0.255140473515638,0.312794997904675,0.166190495041395,0.296508428927184,0.275260386921807,0.29674158883518,0.350288321133503,0.23771277377682,0.31313520760773,0.260218491561677,0.293320101827474,0.185355252390313,0.273608165899265,0.163374811393397,0.174926665922344,0.245544813033557,0.245661445305786,0.268240739287859,0.298755403545701,0.293442249832201,0.337200016381231,0.272076055245411,0.281717242449293,0.111379131899525,0.279221202488211,0.209264445318204,0.244960552344376,0.259642469647134,0.180086438388611,0.140221954206006,0.205777946335376,0.232886631559157,0.125116752763811,0.271125694465286,0.168517998965981,0.232653389905863,0.377975305524431,0.364052970053267,0.257461064752637,0.125576321567844,0.239122977850853,0.229614107422064,0.29605590422878,0.348892224996678,0.142318334355055,0.285910464066036,0.246006562099051,0.256784367998474,0.147976839925078,0.142293413365584,0.173463031473701,0.357297859326805,0.363226638559687,0.201526867020038,0.347352465505536,0.288838782532336,0.308607055234142,0.227065607741533,0.401777619469326,0.260240271062298,0.312203748641296,0.248601454804452,0.260659410648557,0.248515938860782,0.285512802862579,0.288514362919402,0.312382598611611,0.237654040032399,0.128239418656955,0.203154532981522,0.174822064337486,0.252454260810395,0.298136915170191,0.17634556269796,0.260188842400588,0.24743378208707,0.249232727909447,0.237674620514047,0.24785467531324,0.19672150909834,0.22760683248566,0.255422486739507,0.198002693388677,0.191835666499893,0.306728629114469,0.310792945845198,0.398720211337684,0.326388212119741,0.297111534275055,0.299465562362726,0.29967142572561,0.316287804061224,0.236273721117029,0.328196920243213,0.260412091972092,0.131853361424947,0.213202028489579,0.186074703376488,0.295748477859664,0.211050682605792,0.190267099434809,0.165031830388648,0.16957209102023,0.148684812957228,0.146140716301871,0.327026810844053,0.251256180926004,0.147404938772089,0.339200502566254,0.375546153924627,0.390931194307194,0.316851633354646,0.345810212160717,0.377784780305814,0.297539067571962,0.330940467271477,0.381416450922946,0.373500052653087,0.261344584546575,0.248504043702001,0.304262916573397,0.395408772597131,0.207745407178072,0.390330283789425,0.330146030020882,0.364847725426285,0.252863915510951,0.36048801802279,0.277152593698892,0.385569912763057,0.343710853342007,0.337546455189155,0.315763073538276,0.35941151560008,0.354696715705064,0.349929212699686,0.320344512608985,0.427525378594287,0.291913897354672,0.320669328220742,0.374256622094424,0.202344549020183,0.372303324856017,0.280047503992012,0.316987617609802,0.308956512670912,0.346542709670251,0.333315409773449,0.319257936014569,0.381201265147204,0.468706277585624,0.436346559311629,0.258588784816597,0.385458865659644,0.242311333569703,0.220610268987019,0.299175040105801,0.346741096912498,0.326594941462952,0.331155731000782
"hdz-021",0.16119484380063,0.177661276681466,0,0.107120856689005,0.180856963585543,0.213926480832207,0.193509033008035,0.202100970418851,0.250288063373961,0.175220054861695,0.242046417026926,0.225026339422059,0.310080039547794,0.274759815765561,0.286057050757317,0.293037835230117,0.296996785047756,0.235320734950141,0.247809641955924,0.260954270167363,0.227694290215225,0.263454638267524,0.250775971269095,0.2687382560772,0.331628526845276,0.281873410766534,0.305032632719879,0.242865296074796,0.193114296501151,0.341164734001153,0.282814577030389,0.310904392849877,0.223437347405718,0.290240458760962,0.332731787046755,0.262747306067577,0.29996654463762,0.309565873546915,0.236225617006123,0.285616465582016,0.276399646548357,0.31728323093797,0.330216507445077,0.250580618386729,0.282681073808287,0.25867352202712,0.290567283565426,0.234965468370306,0.268823020192125,0.20711062514816,0.220552981712233,0.231068110775339,0.276536124600478,0.263589758811872,0.293389813540909,0.216244434327294,0.322800542710081,0.286984412542941,0.266392949311547,0.165809303803387,0.279047724890264,0.217315189471224,0.255650122277244,0.261365352035568,0.176888023558612,0.210263097012157,0.251646098748088,0.251838763367366,0.169431912712121,0.289893084255515,0.232844979944848,0.231885690188628,0.394440770663509,0.377782845924986,0.314963315483299,0.183791075099426,0.26703040248588,0.277407412266485,0.306655253579973,0.341137321839082,0.217437935669193,0.310476112752498,0.26243919106226,0.275116700587947,0.232539850821386,0.222702711294576,0.253122185060548,0.362989949286778,0.387363676811685,0.234788535632849,0.348551007895641,0.281282976004557,0.344661589358238,0.256327651467575,0.404088665659563,0.291261592448592,0.325416233490358,0.291515771255124,0.276894488460204,0.274094178934214,0.32090891001664,0.318756918719908,0.349005479832398,0.289347964850721,0.196184099839336,0.245440766872296,0.230594254745938,0.268252926866587,0.329447850489742,0.245868548805266,0.31841737624704,0.277677850166576,0.276023295596598,0.243026947921289,0.271896847675823,0.239717711271505,0.271567908546797,0.284699482294406,0.229875425323437,0.253495834659477,0.297729777065936,0.302835858788348,0.386426381934069,0.311979690242122,0.33247787614621,0.293365689332821,0.291980400891312,0.309632325114828,0.264693252114068,0.362529573432568,0.30859516694194,0.215184348308787,0.261263552049558,0.24952391510378,0.315061023165827,0.220803819082773,0.225520537526925,0.237220520063503,0.2425490347891,0.200631005284699,0.201764532043938,0.324441954628681,0.289535502539265,0.191522433985999,0.38181978366839,0.35666995028415,0.419596731546283,0.30997120011762,0.355399087735387,0.381272449198023,0.328934051343646,0.313424901577269,0.407694376112772,0.377722574109349,0.293651167882961,0.28171425771502,0.320760353137836,0.402559176635033,0.256602060703217,0.399291653165385,0.355127495796871,0.374295953040887,0.279274505824982,0.416038417673962,0.3166279200591,0.410257363804182,0.35095795971992,0.369528724337836,0.339170760902685,0.397057806056696,0.350253237624615,0.364139909050112,0.343761363882699,0.404676014777799,0.313294207469784,0.335853541869211,0.381525425490128,0.256432412021127,0.361313076480653,0.310598156958052,0.339352108942243,0.33662784841804,0.344144280018386,0.367889036182605,0.331639171104759,0.375834135336636,0.42185605084508,0.381494600127512,0.30824009067141,0.387120565735331,0.279220930294408,0.265028289359935,0.327602799042387,0.355410200385487,0.348202748521894,0.341274353600742
"hdz-011",0.133935140070239,0.159983956383555,0.107120856689005,0,0.159978769368499,0.181178811439964,0.182849312490644,0.175238426319597,0.220399912877095,0.177138198497434,0.212915624646011,0.19202328838781,0.285823230286111,0.24425861412696,0.247678455689033,0.271790969756094,0.274434158013354,0.204978542312584,0.204937162643354,0.232972024332711,0.194977133405075,0.244180893751845,0.234768112380556,0.230872879649415,0.30814786011139,0.254496172218032,0.276905504094559,0.211071362319155,0.148361728580124,0.311765724021741,0.264929247822763,0.270048150488024,0.176831304461398,0.262622728861831,0.303958298742107,0.235707967535182,0.271559585723152,0.284747566347573,0.198985611914513,0.257234666204622,0.254003193255386,0.296982422642321,0.308741044243434,0.229763467320908,0.259351675992431,0.228816944855963,0.264244366069963,0.212557978743558,0.247349453937681,0.166017783050563,0.187566514143301,0.207814309846867,0.244667177107571,0.240417805634476,0.273299965865749,0.231163771002035,0.308286123392812,0.262635356767259,0.245933746443247,0.146213844994279,0.249487676267495,0.189637999686831,0.231186592529293,0.239782015300211,0.184098270690068,0.169697067015249,0.226093949582507,0.222940802083621,0.154112836554859,0.26487547041357,0.172906050574989,0.203739774023941,0.368471946896182,0.357542659432112,0.271064217856508,0.173425968610496,0.23498068476328,0.24767767845176,0.288426829177413,0.336226383504072,0.191148467154542,0.290740607657551,0.235130464384974,0.259650489333548,0.18876003895337,0.169808982008569,0.226332034461631,0.338096677325991,0.359519261983612,0.204712757237861,0.323064013853661,0.248536155180567,0.317914994744369,0.233271242320633,0.379912563096822,0.2687806967453,0.297164962021646,0.266902491283794,0.244251089473316,0.246878868131135,0.293522666188691,0.29268159110726,0.322773293847505,0.260701518823099,0.159822998724661,0.21877365437056,0.199589200474802,0.251852274928736,0.299802004390525,0.212169344463907,0.285685165752272,0.254648076526438,0.252692595747089,0.208293336233944,0.247135752331397,0.191498407278898,0.249861114854687,0.252435365642069,0.202487666530725,0.214931267083647,0.276495272657069,0.286538882046415,0.368473654717195,0.291138366795651,0.308468206968159,0.268773649682287,0.267969868809684,0.288474340080137,0.239053091390766,0.344524187102417,0.274298615642015,0.191147332495453,0.233414440684013,0.213667317406095,0.293006618225432,0.198845312691512,0.189683712266572,0.209729885837685,0.200818819493734,0.197232518605036,0.158138343936771,0.30083568870497,0.265672883698401,0.157881319042892,0.364664487452291,0.3211893071536,0.394009069826948,0.285547351274018,0.332415970297642,0.359478533155941,0.307694716065753,0.289928976307154,0.385324122745278,0.356893588067333,0.271747044150344,0.25189167556942,0.294867052661601,0.379593446744171,0.23067212303103,0.376857807499005,0.332146380873807,0.352160602852654,0.248045267543045,0.381413343933393,0.283502069700189,0.384731822373924,0.319483463442038,0.342117135814184,0.316583038333013,0.367224155199851,0.321188155590403,0.340292854015745,0.318781158717905,0.369025469329973,0.286476822667423,0.305240594905862,0.3627600567441,0.219347743380654,0.34329548016932,0.285813111805753,0.312907623749262,0.306573055291712,0.297939164016086,0.336305112833234,0.307120447183733,0.355197641081388,0.418296829936464,0.369277743853688,0.280486650696612,0.367234068782782,0.257747769440518,0.236527622736106,0.307483423217316,0.332960693851614,0.324178484483478,0.324205375198063
"hdz-010",0.149967960253675,0.0688529856511127,0.180856963585543,0.159978769368499,0,0.170538485081722,0.0881324346709582,0.137793647119395,0.185946686613528,0.11462369285509,0.163046898205413,0.201860783061707,0.310024972148584,0.250943413840367,0.223722948539113,0.319425635651189,0.273190994268718,0.209970060109312,0.19451363226235,0.230414264636207,0.17223198731723,0.197562033745978,0.222692936518833,0.214939712529676,0.331289637208267,0.220433579374524,0.251233770581497,0.149472807563434,0.141644382046729,0.277749677704244,0.270134803996339,0.248591445138413,0.1105423748424,0.200795965980448,0.289433620655107,0.214847768654973,0.242314763890577,0.297749346988224,0.171249601144783,0.293911480928837,0.280204232080911,0.304850206474449,0.349803511236728,0.24622644617774,0.314340884780721,0.257049295699525,0.290220401044839,0.179627451762512,0.272516051102868,0.1766928343724,0.181803805780718,0.248378798082216,0.240893574644073,0.270526420793744,0.308974652149443,0.291099634383011,0.332330829178911,0.265913617431221,0.276456679206869,0.125848278774922,0.283322051608102,0.216446563042192,0.236072832154155,0.270650712941492,0.192926676801606,0.163775254698124,0.214640374799547,0.242642543562522,0.124802795415615,0.265258719025129,0.131053209126343,0.235933441571834,0.365971112716855,0.352560300160806,0.27130342128542,0.138670615280815,0.24062822742813,0.233526068281207,0.283538008285792,0.347348536360611,0.124224201426965,0.271489572198231,0.226717148039999,0.242804039859997,0.123882438951234,0.137505966443974,0.151388386250465,0.357246586114131,0.359286597940589,0.209541240815208,0.356272674612979,0.290457995808474,0.294519721608734,0.239669380869087,0.393775318548212,0.26853647698409,0.317802926848273,0.243012979969145,0.266182599960429,0.239969994146844,0.288261152949267,0.275286747220035,0.318596396129874,0.215763189325943,0.119515966899706,0.205188170553636,0.166345741776921,0.252319552244672,0.289629853774226,0.15583505344557,0.259058594932439,0.253735491650044,0.231914082856135,0.233384207601816,0.240080194952565,0.194767663135868,0.219162108956006,0.249308619400092,0.202044951662708,0.175396528338214,0.298931039261737,0.291073767635058,0.39109835235269,0.321211253213611,0.279725679854793,0.289867211947681,0.291174161901532,0.313664673328527,0.232038103002403,0.339160292006299,0.252998165598245,0.114648288016567,0.191184859116088,0.184923465835712,0.288941593502642,0.21099218806279,0.178043549194262,0.166475968150425,0.140958515102844,0.149656240128206,0.128072589657831,0.32187068954135,0.238053208818869,0.149207306179774,0.337169948468442,0.380588170927882,0.37553469556777,0.318093335703026,0.331360635497891,0.364252815030184,0.289553534485525,0.339912355883898,0.372445603204847,0.36305847387976,0.278631342913866,0.236260235147596,0.310618404369252,0.389597622075633,0.191603507925231,0.397499519873529,0.337525327739692,0.361156550412833,0.235140973694982,0.382185237868943,0.271704155772147,0.380382391012155,0.330072987519823,0.329093863342206,0.303133462083499,0.350876369316649,0.352368449513736,0.353750458300782,0.326204088652782,0.42903229230785,0.295679576617092,0.31837461190564,0.364758235868709,0.186429354751881,0.370083438216612,0.281297700939264,0.324312868999325,0.302351472680644,0.352246721843313,0.326299175379925,0.330524471244499,0.3728287485437,0.467960207559237,0.4338888922709,0.250581693643483,0.383444412030577,0.232331418618587,0.211479211005093,0.287887467528724,0.355131375269219,0.333041518013861,0.327169908051066
"hdz-016",0.153451744358955,0.164764523433646,0.213926480832207,0.181178811439964,0.170538485081722,0,0.155664818262676,0.1414834476824,0.0978559574732526,0.187429890170234,0.0894080996497653,0.10039143561263,0.185857269566438,0.118342093831164,0.135654785643445,0.197010394489504,0.15082126969396,0.101399297236481,0.10231447855248,0.130877997117315,0.103369575126471,0.125467883781157,0.123059807736428,0.125141560702944,0.233024987758492,0.138174680178385,0.159493820834806,0.0856828730788021,0.121991414954238,0.201660665834942,0.168631885924801,0.183596037225081,0.116670195187403,0.15412638649572,0.259969627294426,0.106534766446276,0.151555138101991,0.206380752010613,0.0900034928888728,0.184335247675744,0.159185701504158,0.175622857954563,0.242846884312554,0.128760263218809,0.197070921419954,0.141398626545091,0.177937958162171,0.115032080290837,0.16320607963615,0.106256509685774,0.115844678717405,0.123747456645033,0.117934216488268,0.161557005099024,0.185053009062742,0.213076928660168,0.250582120169431,0.16600194169573,0.168158432976434,0.149381753369079,0.211232572469365,0.127687224202962,0.141517808862677,0.143454928140562,0.218830090415231,0.129306813225546,0.0849915570398282,0.122015654716252,0.151801264921551,0.196240011967097,0.149988765470251,0.126280508047814,0.275219650916636,0.277421063785498,0.189159760976418,0.149463455529045,0.136992974703219,0.117401724261989,0.216687698906166,0.285503255120988,0.131048341571683,0.192226149575348,0.133113328083012,0.152050668212033,0.193659420429356,0.189407673840113,0.246412120237873,0.315796856064407,0.269583509024421,0.171276489268382,0.286693598451864,0.236819597295636,0.220686132866157,0.137557815933793,0.315204245349719,0.152166344114604,0.203139588934149,0.157704905366615,0.164418556357976,0.170482708122187,0.191909471404362,0.194794906627666,0.226806029940898,0.151456405766649,0.101519812104799,0.0973300337137827,0.100242980867929,0.141378589982897,0.184477732935309,0.108678060114608,0.158032047384986,0.136743257153341,0.183981738491385,0.124509497317036,0.14136515803229,0.154258013836089,0.135545906145503,0.143966233982598,0.0878847791055794,0.130194923833186,0.192866707683189,0.197627305768506,0.305243805448889,0.219709955511604,0.208069843710015,0.194446489938924,0.201814249611182,0.209201025710748,0.126118626659173,0.262734602968716,0.16102450829353,0.163455088918473,0.135345980025568,0.113174926362924,0.182917087091202,0.109429150931244,0.133503874322298,0.103498772633187,0.128319864932033,0.19362550602668,0.117961411030522,0.233842926966318,0.157094450763251,0.160327414347248,0.31003997366973,0.325417882510924,0.310995009755912,0.200781164490583,0.243980277959319,0.28342756975556,0.200363775553049,0.225149151297759,0.308806925153006,0.277497658056811,0.166965395597155,0.167986692399506,0.22000318027623,0.317487084274799,0.157004870867451,0.30514956028187,0.227921050895278,0.264521965140466,0.143291057761782,0.322837059541855,0.186562598887662,0.303789414405377,0.23551859194571,0.251931898809521,0.225869972076132,0.270196107459315,0.278543223798956,0.237026339968336,0.230145517838383,0.383731368244704,0.171563382080283,0.208077381713313,0.281392207795891,0.108072484073893,0.264883955499653,0.172896822312005,0.212410005321472,0.201649929722152,0.252190462921095,0.234952756857623,0.223604742856547,0.283824550677381,0.397401956278383,0.372179276905807,0.156275433339252,0.291596404595174,0.15442802840059,0.121867420221622,0.184885075653944,0.248805259773005,0.217980394133703,0.229192447149124
"hdz-026",0.119596911740158,0.0997787031124115,0.193509033008035,0.182849312490644,0.0881324346709582,0.155664818262676,0,0.100991976551379,0.179770348427792,0.0991003322850598,0.137651256691376,0.193491753121676,0.295061801833882,0.232557995175944,0.208174387476696,0.300847575448142,0.259859517701449,0.192054152400153,0.170676456799211,0.208879779016167,0.15174155584469,0.178310235367106,0.21478098334324,0.191530303377476,0.313908237779831,0.208291271394762,0.232118576931736,0.128514226900275,0.136390655937478,0.25882129484828,0.252167200338591,0.223301277224645,0.106541806024389,0.191316978125534,0.286553146389668,0.192539168950657,0.231048894429338,0.291788291465431,0.160103801288716,0.275281082136083,0.270736075576314,0.288746978532368,0.329479215630582,0.234904037417485,0.293220664177327,0.237092527989749,0.26927845608777,0.173008780159239,0.259957483297392,0.159085192006757,0.152485810089251,0.226321561572108,0.219730146002964,0.251351688977476,0.297105102375228,0.285251082273701,0.317120157512473,0.25231619668944,0.254119870402217,0.122530614864956,0.259398175323675,0.189248509428182,0.210583034896309,0.25075065072016,0.175944086526305,0.140786230965804,0.195617248036048,0.228055087833598,0.112716403573338,0.253826235973287,0.148385340097001,0.216300665068941,0.353050154846828,0.334144307876797,0.249969024204642,0.156134203042253,0.222356971130202,0.209161549481943,0.279291458221442,0.335587543641719,0.110465939168707,0.26723782043397,0.219567748447871,0.222865857865972,0.153924212248394,0.157665912847851,0.162768606138369,0.355715287281065,0.343755066620682,0.19397344804929,0.333524446532213,0.275546218770409,0.275224012531373,0.230571089408654,0.380097985216441,0.247699760470892,0.302808004004908,0.214298463778444,0.25160761966396,0.247083852824327,0.274874934033074,0.25460010952375,0.307606514555427,0.207648543280135,0.130383496872409,0.18738120355523,0.140558490678361,0.227461970282206,0.269415883249472,0.153860413019494,0.242701661014095,0.234586195153108,0.236344930891655,0.211202123111864,0.215508648506363,0.163327980746079,0.197444363424007,0.2430862656852,0.1837760904777,0.161167992343395,0.2785085567965,0.283819457281515,0.373950475893993,0.305179617916579,0.269638535191531,0.27133311468595,0.285112321654276,0.298044076349815,0.21266101128474,0.333995682176541,0.233813679533257,0.112205293563373,0.184601998084099,0.165182492683465,0.267047935995856,0.200784165915079,0.163408114171955,0.142896041760049,0.14140439978737,0.130364447190407,0.138806014883277,0.295974644143022,0.214857279238108,0.122599719077895,0.333833559126927,0.37544675388206,0.364546191887595,0.301559928287437,0.313792607938683,0.350175880719715,0.271966196657673,0.322110978104274,0.352337313636664,0.352466949199065,0.257208816773124,0.210516114560538,0.299523128325208,0.379781060194093,0.191161882096574,0.382613781715496,0.321665423915848,0.340734250258234,0.217765061309247,0.364101585868198,0.255662243864697,0.371334835557895,0.311625749479457,0.31485517135261,0.286272861601708,0.339324648970473,0.342048909760094,0.334694927829857,0.31047539293129,0.42138414502041,0.273649349729927,0.300821477445093,0.346024778117102,0.18201240653419,0.350109542499697,0.269693987323636,0.306234952112602,0.284249694066242,0.338721693715279,0.311248390414824,0.311190683038177,0.357383388624901,0.464900922818349,0.43238734801219,0.234687384004944,0.361170654054472,0.236863799588427,0.196682555441691,0.271522698922908,0.338111793447046,0.319320553765166,0.313856837503166
"hdz-024",0.112712926654297,0.119857714318696,0.202100970418851,0.175238426319597,0.137793647119395,0.1414834476824,0.100991976551379,0,0.167766978319678,0.141490278550884,0.129782982218236,0.18339731472791,0.27970122642367,0.217518285287445,0.208685700205614,0.282449203771308,0.231052275712189,0.188259701353582,0.130445977364962,0.210692370426266,0.146386348488281,0.182479679773095,0.202213625644379,0.201667407153273,0.318667963453622,0.206292214894499,0.241705324454069,0.134413609751932,0.118656702219781,0.268450802100451,0.248354786559601,0.220672515420081,0.142529540434373,0.202176816356682,0.29373102456863,0.189808529126711,0.233311272377936,0.293150453988964,0.16123393760433,0.269848012308906,0.249607080471473,0.264612431529391,0.320733133102224,0.223848175129895,0.277677597152169,0.232976794714064,0.267659143777741,0.162764248925463,0.247552938396975,0.146584338761524,0.148153538623328,0.214886600589233,0.210204981188903,0.245766695054292,0.271347774499163,0.25504725707909,0.311354648910956,0.253343005520438,0.252615858070909,0.147676965282691,0.238984743221346,0.178950061751502,0.215392262314767,0.225316540779837,0.20524702621643,0.111220813857304,0.179135804284567,0.206898768053783,0.100396381597569,0.252799871337256,0.170245089640359,0.210396820522077,0.355422326537406,0.334472640337265,0.206989667560548,0.150809985867019,0.227507494844212,0.192988461809657,0.281188955574701,0.334565028460825,0.132981251584006,0.260362677334549,0.222013585909569,0.215046441245876,0.182266470315464,0.174312990831223,0.214140815794555,0.367698596364446,0.344731178726315,0.206496055451991,0.322214601835709,0.263266060047806,0.273984949306498,0.211342042624239,0.387336736564129,0.237632943932354,0.284226974095609,0.209363233094461,0.230077220708071,0.242486327165278,0.254120871461048,0.255394132049705,0.287946845979683,0.205897515841548,0.143847941628177,0.171922383778931,0.14481116727569,0.226973167139048,0.264586510021124,0.175670863599614,0.237263531362571,0.224318772873534,0.250494253827482,0.211718102852183,0.218835169399311,0.14812931608936,0.19952932420548,0.23521590399049,0.173092585482625,0.179325516105,0.273821566818555,0.278772048256039,0.370725099497439,0.296299560354961,0.269738519960446,0.269867678971085,0.281729067567637,0.293461193652616,0.206895424096951,0.324901906474235,0.241197165751508,0.153786786793018,0.193473517204602,0.154979939287393,0.268289091017796,0.203560677321174,0.177098268477934,0.145343563826148,0.155384681139247,0.156514068221629,0.162224419561433,0.300057428258128,0.220785505624496,0.145028623361541,0.354514425417733,0.359886269616929,0.37262736344214,0.28733956609011,0.317059179580049,0.351517240293208,0.272190540819534,0.301855584752545,0.348269354184153,0.358568785592777,0.234593673637489,0.203124334390575,0.286319465132176,0.385645800554242,0.215952665569066,0.354784971297865,0.303586939177442,0.330282738984929,0.21568710852935,0.326235033219724,0.256762888655477,0.365570624998652,0.311548316943318,0.308842952639381,0.288882018046856,0.350147334922571,0.339819411677707,0.315491990124717,0.28234700851973,0.404022042568935,0.260149342418091,0.295231317705008,0.343600681453102,0.176155836287153,0.341345156376021,0.261754944215391,0.289994841133517,0.284831700806761,0.306886210493665,0.309128513371991,0.290072651726095,0.354508371370243,0.45427444590017,0.417933400285897,0.238409455992875,0.35937947088569,0.231080820463244,0.188537164556396,0.269064926487645,0.320947480612693,0.301377745363946,0.300692530501725
