"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"ko00010"	0.0145956962381001	0.0109670907587717	0.0123787278838648	0.0107665877206243	0.0114035838652376	0.0121603008405344	0.0117754017059195	0.00984525768515161
"ko00020"	0.005646484577266	0.00588999086151445	0.00536775345143874	0.00605359891777858	0.00622733939417727	0.00568650982540658	0.00582536137288126	0.00629287681599447
"ko00030"	0.00646036248913467	0.00599318569170791	0.00645694883595449	0.0058932075848417	0.00608541634047296	0.00657343793480011	0.00641425764292943	0.00569237556548715
"ko00040"	0.00504488055551187	0.00422533455107891	0.00574535059881584	0.00443281147358097	0.00376382790086483	0.0046057148963461	0.00473646348936892	0.00409431161581916
"ko00051"	0.0116047685020441	0.00821730300643641	0.0136634584236808	0.00865430005900679	0.00968029663769981	0.0103552050335844	0.00995979831996654	0.00692302343799981
"ko00052"	0.00870423735743331	0.00752926615634996	0.00752869588197502	0.00785623228490315	0.00718481015970691	0.00746772256756369	0.00813362024205031	0.00861865436042784
"ko00053"	0.00166847733420594	0.00130364415720875	0.00318413682569288	0.00136704530546537	0.00127868895307255	0.00168686063872578	0.00157737254140717	0.00112273257906052
"ko00061"	0.00505549321862743	0.00501649428046761	0.00384189598781831	0.00499156321902255	0.00497436516541614	0.00476948980460323	0.00498088892201685	0.00622144216039758
"ko00071"	0.00375385544066075	0.00377936154390909	0.00441243024936586	0.00367438478177646	0.0034604262582627	0.00360294543275994	0.003595871876488	0.00308460965790746
"ko00072"	0.000590282422853224	0.000520707542778417	0.000814829291289421	0.000475938734539745	0.000556122266133556	0.000587144023726639	0.000571206455172402	0.000399178575798782
"ko00100"	8.69602690389192e-06	3.19872909686177e-05	4.62322559056412e-06	1.37782829958614e-05	2.75070839592507e-05	2.36241653919304e-05	1.1632052485259e-05	6.87130266237898e-05
"ko00120"	0.000334102994078864	0.000217908310379109	5.69404392805571e-05	0.000237058639487366	0.000158049197195057	0.000207761665610226	0.00023598007502316	0.000299514107903879
"ko00121"	0.000272275842505363	0.000206413417482612	0.000157416596091123	0.000226722968956808	0.000152126493811981	0.000194983602128138	0.000234815812200851	0.000305235375766303
"ko00130"	0.0014371796092898	0.00141251574606095	0.00309885338038583	0.00118975863233812	0.00172769998942612	0.00146477620557483	0.00145294701921092	0.00193677031547555
"ko00140"	0.000690118909306493	0.000783566643250726	0.000509839858205177	0.000962839122277973	0.000484517503600608	0.000450581963122797	0.000747057991196744	0.00156562424299688
"ko00190"	0.00593750397539761	0.00679817656643835	0.00662942381832616	0.00658537637233437	0.00641644767019658	0.00659267286296149	0.00638466455440072	0.00860477965433864
