task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
60	04/00c037	4090456	minimap_pipeline:output_results (6)	COMPLETED	0	2024-10-12 16:41:05.602	362ms	9ms	73.5%	0	0	71.2 KB	255 B
61	60/342547	4090399	minimap_pipeline:output_results (7)	COMPLETED	0	2024-10-12 16:41:05.574	394ms	10ms	61.5%	0	0	71.2 KB	255 B
66	1c/830729	4090597	minimap_pipeline:output_results (11)	COMPLETED	0	2024-10-12 16:41:05.656	365ms	9ms	37.1%	0	0	71.2 KB	255 B
65	92/0d0d58	4090671	minimap_pipeline:output_results (10)	COMPLETED	0	2024-10-12 16:41:05.685	367ms	10ms	34.6%	0	0	71.2 KB	255 B
62	3f/6a696f	4090518	minimap_pipeline:output_results (8)	COMPLETED	0	2024-10-12 16:41:05.627	424ms	9ms	78.3%	0	0	71.2 KB	255 B
64	bf/1eb284	4090746	minimap_pipeline:output_results (9)	COMPLETED	0	2024-10-12 16:41:05.712	406ms	7ms	57.6%	0	0	71.2 KB	255 B
70	fa/9b28d3	4090946	minimap_pipeline:output_results (14)	COMPLETED	0	2024-10-12 16:41:05.772	381ms	6ms	32.4%	0	0	71.2 KB	255 B
69	e4/454599	4090835	minimap_pipeline:output_results (13)	COMPLETED	0	2024-10-12 16:41:05.742	444ms	6ms	80.0%	0	0	71.2 KB	255 B
74	93/d91dff	4091260	minimap_pipeline:output_results (17)	COMPLETED	0	2024-10-12 16:41:05.825	361ms	6ms	69.2%	0	0	71.2 KB	255 B
68	5e/ed949e	4091094	minimap_pipeline:output_results (12)	COMPLETED	0	2024-10-12 16:41:05.801	404ms	8ms	24.8%	0	0	71.2 KB	255 B
72	ec/aaf228	4091392	minimap_pipeline:output_results (15)	COMPLETED	0	2024-10-12 16:41:05.850	413ms	7ms	35.3%	0	0	71.2 KB	255 B
76	d9/a5dd6c	4091667	minimap_pipeline:output_results (18)	COMPLETED	0	2024-10-12 16:41:05.900	385ms	7ms	62.6%	0	0	71.2 KB	255 B
82	50/9d4724	4091984	minimap_pipeline:output_results (23)	COMPLETED	0	2024-10-12 16:41:05.961	373ms	6ms	0.0%	0	0	71.2 KB	253 B
78	21/d30a7b	4091884	minimap_pipeline:output_results (20)	COMPLETED	0	2024-10-12 16:41:05.938	421ms	5ms	72.7%	0	0	71.2 KB	255 B
73	b2/e03063	4091560	minimap_pipeline:output_results (16)	COMPLETED	0	2024-10-12 16:41:05.880	479ms	11ms	37.3%	0	0	71.2 KB	255 B
77	a8/fbe60d	4091772	minimap_pipeline:output_results (19)	COMPLETED	0	2024-10-12 16:41:05.922	448ms	6ms	0.0%	0	0	71.2 KB	253 B
85	aa/10777b	4092297	minimap_pipeline:output_results (25)	COMPLETED	0	2024-10-12 16:41:06.011	379ms	7ms	33.6%	0	0	71.2 KB	255 B
80	df/f497d0	4092059	minimap_pipeline:output_results (21)	COMPLETED	0	2024-10-12 16:41:05.974	446ms	7ms	62.1%	0	0	71.2 KB	255 B
86	79/d4794e	4092200	minimap_pipeline:output_results (26)	COMPLETED	0	2024-10-12 16:41:05.998	420ms	8ms	32.7%	0	0	71.2 KB	255 B
81	79/df4288	4092138	minimap_pipeline:output_results (22)	COMPLETED	0	2024-10-12 16:41:05.987	423ms	7ms	67.9%	0	0	71.2 KB	255 B
88	e9/488d29	4092516	minimap_pipeline:output_results (27)	COMPLETED	0	2024-10-12 16:41:06.042	386ms	8ms	38.7%	0	0	71.2 KB	255 B
84	24/a6005e	4092401	minimap_pipeline:output_results (24)	COMPLETED	0	2024-10-12 16:41:06.029	426ms	6ms	26.5%	0	0	71.2 KB	255 B
89	45/388de4	4092612	minimap_pipeline:output_results (28)	COMPLETED	0	2024-10-12 16:41:06.055	439ms	8ms	0.0%	0	0	71.2 KB	253 B
