"ID"	"culi.1"	"culi.2"	"culi.3"	"culi.4"	"culi.6"	"culi.7"	"culi.8"	"culi.10"	"culi.11"	"culi.12"	"culi.15"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"culi.43"	"culi.46"	"culi.48"	"culi.50"	"culi.51"	"culi.52"	"culi.54"	"culi.55"	"culi.58"	"culi.59"	"culi.61"	"culi.62"	"culi.64"	"culi.65"	"culi.68"	"culi.74"	"culi.75"	"culi.77"	"culi.81"	"culi.82"	"culi.83"	"culi.84"	"culi.85"	"culi.86"	"culi.87"	"culi.88"	"culi.89"	"culi.90"	"culi.91"	"culi.92"	"culi.93"	"culi.95"	"culi.96"	"culi.99"	"culi.100"	"culi.103"	"culi.105"	"culi.106"	"culi.107"	"culi.108"	"culi.109"	"culi.111"	"culi.113"	"culi.114"	"culi.115"	"culi.116"	"culi.117"	"culi.118"	"culi.119"	"culi.120"	"culi.121"	"culi.122"	"culi.123"	"culi.125"	"culi.126"	"culi.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"culi.136"	"culi.137"	"culi.138"	"culi.139"	"culi.140"	"culi.141"	"culi.142"	"culi.143"	"culi.144"	"culi.145"	"culi.146"	"culi.147"	"culi.148"	"culi.150"	"culi.151"	"culi.152"	"culi.153"	"culi.154"	"culi.156"	"culi.157"	"culi.159"	"culi.161"	"culi.172"	"culi.174"	"culi.177"	"culi.178"	"culi.183"	"culi.187"	"culi.192"	"culi.196"	"culi.199"	"culi.200"	"culi.201"	"culi.202"	"culi.416"
"txid604330"	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1	1	1	1	2	1	1	3	0	0	2	2	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	2	1	0	0	1	0	1	1	0	1	0	0	0	2	0	1	0	2	28	0	0	1	2	0	1	1	0	0	0	2	1	2	5	1	0	0	0	1	0	7	1	0	1	0	3	0
"txid2003188"	1	1	0	0	1	2	4	3	1	4	2	2	4	5	1	0	2	7	1	2	0	2	1	2	4	1	1	1	6	1	1	0	3	0	2	3	0	1	1	1	2	3	2	2	1	0	1	8	10	1	6	5	1	1	10	12	2	6	0	3	4	2	3	7	0	5	1	1	5	1	2	2	4	1	0	0	0	1	3	1	5	0	7	1	1	11	6	2	2	1	7	1	1	10	17	2	4	7	0	13	2	5	1	15	2	6	2	0	4	0	1	10	1	2	3	0	107	2
"txid1871031"	1	1	0	0	0	1	2	3	0	1	0	0	2	1	3	0	8	12	0	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	3	0	1	0	0	1	1	1	0	1	0	1	1	2	1	2	2	1	2	8	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	1	0	1	0	1	1	0	0	1	0	2	2	2	0	1	2	0	3	0	0	2	0	0	0	6	0	1	0	0	5	0	1	0	4	5	0	0	0	0	0	0	1	1	0	1	0	9	0
"txid147207"	8	5	0	0	3	25	5	31	3	7	8	4	20	1	3	1	14	19	0	4	16	1	1	1	3	10	4	4	5	11	14	0	13	46	0	5	4	4	3	5	4	11	9	4	0	1	12	11	21	2	17	58	3	4	11	5	4	6	4	3	7	15	6	8	1	8	7	3	11	6	5	3	34	1	5	3	23	5	19	4	4	10	7	1	1	7	4	4	2	4	24	1	1	12	12	9	11	7	1	16	1	25	2	31	49	3	4	2	1	2	0	10	4	0	0	1	86	3
"txid1871016"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	1	4	0	1	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	1	0	0	2	1	5	0	0	18	0
"txid742742"	5	2	0	1	1	8	2	8	1	3	3	2	5	0	1	0	1	2	0	3	8	1	1	1	1	3	2	1	2	4	1	1	2	8	1	2	2	1	0	5	4	0	2	1	0	0	2	8	5	2	8	15	0	2	4	4	1	3	1	1	1	3	1	1	1	6	1	1	3	4	2	2	5	1	2	2	5	1	2	1	1	1	1	0	0	1	3	2	3	0	2	1	2	4	3	4	3	8	1	8	0	2	2	10	9	0	2	0	0	1	0	5	0	1	0	0	10	3
"txid1870987"	3	3	0	0	2	12	3	8	2	5	2	1	6	2	1	2	2	3	1	4	8	1	1	0	2	3	3	1	1	4	1	2	7	14	0	2	0	3	1	4	1	4	4	1	6	2	6	7	10	2	8	14	1	3	6	3	4	4	1	0	5	5	2	2	1	3	3	0	5	1	2	0	9	0	1	3	8	0	4	3	3	5	3	0	1	7	1	1	2	4	79	1	0	10	4	4	2	2	1	8	0	12	1	15	20	2	4	4	1	2	0	6	7	1	0	1	13	2
"txid1411144"	2	1	1	0	0	14	12	28	10	20	6	15	16	10	11	2	9	6	2	2	8	8	6	2	5	6	24	4	10	16	13	6	4	24	9	14	9	3	3	13	11	8	2	6	1	0	0	88	31	25	9	26	4	13	8	3	9	0	2	19	6	14	3	4	12	57	4	9	12	19	14	31	8	9	8	4	7	6	8	3	39	26	2	5	0	6	8	9	12	6	12	10	8	1	11	9	16	11	5	1	9	3	3	16	37	0	0	0	0	0	0	18	4	0	0	0	0	6
"txid246787"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	154	0	1	0	0	0
"txid1912896"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	2	0	0	1	0	0	0	0	1	0	2	3	0	0	14	1	2	1	2	3	6	0	2	2	0	0	1	0	5	0	0	0	0	0	0	0	0	1	2	6	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	10	5	0	0	1	1	1
