"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"txid604330"	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	2	3	1	1	1	1	1	1	1	5	0	1	4	3	1	0	0	2	1	0	0	0	1	0	0	2	0	1	0	1	1	2	0	0	1	1	0	1	3	43	0	2	0	0	3	2	3	0	1	0	1	0	0
"txid2003188"	2	2	0	1	2	3	3	5	1	2	3	0	3	1	3	6	2	2	2	0	5	4	0	1	1	2	4	0	2	6	16	2	9	8	1	19	9	1	4	7	4	11	0	7	2	8	2	2	2	6	0	0	4	1	2	2	2	10	1	11	0	4	7	2	23	4	0	6	5	0	4
"txid1871031"	1	2	0	0	0	1	1	4	1	12	3	0	1	0	0	2	0	1	1	0	2	4	0	1	0	0	2	0	1	2	4	2	3	3	3	0	2	0	0	1	0	0	0	0	0	6	0	2	0	1	1	1	1	0	1	1	0	3	1	0	0	0	2	0	7	0	0	0	2	0	1
"txid147207"	12	8	0	1	5	40	4	49	4	22	6	25	1	2	1	5	10	7	16	1	20	8	5	6	5	8	17	1	19	8	33	4	26	90	5	7	10	6	4	11	24	12	1	12	5	17	9	8	4	53	8	5	29	6	1	2	7	38	1	10	1	2	39	3	49	6	4	2	0	2	5
"txid742742"	8	3	0	1	1	13	4	12	1	2	5	12	2	2	1	2	3	1	6	1	2	3	3	2	0	8	0	0	3	6	9	4	12	24	2	6	5	1	1	2	4	1	2	9	1	4	5	2	3	8	3	3	3	1	0	4	0	3	1	13	1	0	2	4	15	4	0	0	0	1	5
"txid1870987"	4	4	1	0	2	18	3	12	3	3	6	12	1	1	0	4	4	1	7	4	11	3	0	4	1	7	6	3	10	5	16	4	13	22	5	5	6	1	1	7	8	3	1	5	0	8	2	3	0	14	1	5	6	4	1	3	6	122	1	3	2	0	19	1	24	6	6	2	0	2	3
"txid1411144"	4	1	1	0	0	22	9	43	4	14	4	12	13	9	3	8	31	7	25	9	6	21	13	5	5	20	12	0	0	66	49	40	15	40	20	5	1	3	29	9	22	6	19	89	14	19	29	21	48	13	12	7	12	4	0	18	9	18	15	17	8	14	5	5	24	0	0	0	0	0	9
"txid246787"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	27	0	0	0	0	0	0	0	0	0	0	1	0	0
"txid272559"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid1912896"	1	0	0	0	0	0	0	0	2	1	0	1	1	1	1	0	5	0	1	0	0	0	1	2	0	0	0	0	0	2	4	1	1	2	1	0	0	0	1	0	4	0	0	21	3	1	3	5	9	0	3	0	0	7	0	2	3	9	0	0	0	0	0	0	5	0	0	0	0	1	2
"txid1903262"	14	11	3	2	3	46	34	111	18	54	51	84	79	54	37	71	133	39	130	24	18	68	52	17	13	49	45	21	28	174	154	89	54	164	61	23	19	23	72	29	68	44	60	50	54	47	69	51	140	49	30	25	49	61	4	67	13	38	34	95	60	60	54	36	130	0	0	0	0	0	34
"txid28116"	2	0	0	0	0	0	2	0	3	1	3	4	4	4	1	2	7	1	10	0	0	2	0	1	1	1	0	0	1	3	4	5	1	7	5	0	0	0	7	1	7	0	0	33	1	2	1	3	7	0	1	0	3	7	0	0	15	25	0	1	5	0	0	0	6	0	0	0	0	5	1
"txid1236512"	1	0	1	0	0	0	1	1	2	2	0	4	4	2	5	0	9	1	4	1	0	0	1	0	2	1	0	5	0	2	2	0	2	2	4	1	1	0	2	0	1	2	0	2	0	0	0	0	1	2	0	0	0	1	0	1	9	12	2	2	6	0	0	0	1	0	0	0	0	0	1
"txid818"	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	51	0	0	0	0	0	0	0	0	0	0	2	41	0
