ref	taxid
NR_044546.1	115979
NR_180667.1	2592382
NR_024817.1	228899
NR_108831.1	718002
NR_133974.1	1501239
NR_170493.1	2574798
NR_159144.1	1636719
NR_025409.1	126157
NR_180209.1	2325572
NR_133856.1	1289106
NR_180224.1	2268407
NR_169412.1	1816691
NR_116303.1	512410
NR_151901.1	1658519
NR_041051.1	279208
NR_178542.1	1232431
NR_180160.1	1886670
NR_133806.1	796573
NR_041449.1	717605
NR_108459.1	558165
NR_151985.1	682973
NR_041520.1	33946
NR_118574.1	1334046
NR_144587.1	1562132
NR_044122.1	417367
NR_178927.1	2662420
NR_042259.1	272917
NR_113814.1	1373
NR_044384.1	459472
NR_180067.1	2233542
NR_144714.1	1499687
NR_025553.1	200991
NR_157741.1	2027871
NR_134133.1	1176648
NR_115952.1	1224748
NR_028865.1	76853
NR_043526.1	334735
NR_114283.1	582850
NR_104923.1	1474
NR_114249.1	359365
NR_043527.1	334736
NR_116623.1	709510
NR_117490.1	709509
NR_025643.1	157227
NR_116550.1	589010
NR_116596.1	568603
NR_025644.1	157228
NR_025520.1	1296
NR_133032.1	1232430
NR_025645.1	157225
NR_036897.1	29379
NR_180106.1	2201815
NR_113348.1	29388
NR_037053.1	201828
NR_156818.1	1955013
NR_027520.1	246432
NR_116494.1	569857
NR_028996.1	214473
NR_180150.1	2282419
NR_116912.1	522262
NR_074999.2	342451
NR_037046.1	94138
NR_036907.1	1288
NR_040939.1	201973
NR_043479.1	41170
NR_109413.1	1038855
NR_043478.1	33987
NR_025903.1	1379
NR_025863.1	46125
NR_043443.1	51665
NR_104708.1	1377
NR_026487.1	82347
NR_179378.1	2847858
NR_180911.1	2664442
NR_029351.1	87650
NR_173606.1	2748684
NR_026482.1	87458
NR_173518.1	2036206
NR_179652.1	2058294
NR_112660.1	290589
NR_114241.1	426702
NR_113154.1	753702
NR_119263.1	136492
NR_028835.1	180295
NR_113798.1	2748
NR_113773.1	2752
NR_042093.1	2749
NR_036895.1	1449339
NR_116460.1	545534
NR_044710.2	2751
NR_040926.1	2750
NR_044938.1	82801
NR_156899.1	1868794
NR_156898.1	1868793
NR_112661.1	258723
NR_113872.1	191770
NR_117521.1	745365
NR_036793.2	43064
NR_116890.1	549685
NR_113929.1	57732
NR_115763.1	1140002
NR_145937.1	1665476
NR_042386.1	317010
NR_113931.1	214095
NR_119280.1	37734
NR_024905.1	44008
NR_135720.1	1155073
NR_119293.1	44009
NR_113900.1	53345
NR_114649.1	1159753
NR_115765.1	1351
NR_113903.1	1352
NR_104559.2	1353
NR_043793.1	160453
NR_113936.1	155618
NR_075022.1	768486
NR_174228.1	2559929
NR_181755.1	2839759
NR_117562.1	357441
NR_181559.1	2794352
NR_114453.1	71451
NR_144723.2	1640685
NR_179501.1	2364791
NR_113937.1	155617
NR_113906.1	53346
NR_174225.1	2559926
NR_043794.1	160454
NR_113938.1	154621
NR_118050.1	1077675
NR_113907.1	44007
NR_026499.1	71452
NR_113909.1	1139996
NR_152049.1	1805431
NR_042406.1	332950
NR_114015.1	417368
NR_117976.1	930854
NR_159231.1	2005703
NR_025689.1	218144
NR_180652.1	2714946
NR_026489.1	2738
NR_113816.1	1603
NR_042511.1	376807
NR_114398.1	1612
NR_025045.1	2801452
NR_028990.1	194326
NR_181070.1	2729623
NR_180279.1	2486013
NR_041893.1	1423732
NR_179712.1	2100821
NR_180280.1	2486014
NR_180276.1	2486010
NR_171466.1	2493111
NR_180278.1	2486012
NR_024835.1	88233
NR_179363.1	2799574
NR_113303.1	1291734
NR_025189.1	171523
NR_113337.1	1597
NR_108876.1	1123687
NR_044711.2	1626
NR_125562.1	1296539
NR_180277.1	2486011
NR_179364.1	2799577
NR_037122.1	57037
NR_179318.1	2668065
NR_029133.1	1589
NR_115605.1	1590
NR_117574.1	33959
NR_044507.1	508451
NR_113334.1	28038
NR_042438.1	60519
NR_113821.1	1599
NR_181050.1	2729622
NR_113290.1	1423802
NR_041727.1	33964
NR_074997.2	115778
NR_133769.1	1607837
NR_042620.1	434464
NR_113255.1	935294
NR_157602.1	2026657
NR_109072.1	910540
NR_040814.1	33968
NR_116238.1	649758
NR_112689.1	1622
NR_104927.1	1613
NR_104926.1	1607
NR_114790.2	152335
NR_112541.1	176291
NR_042058.1	1255
NR_113969.1	304207
NR_181135.1	2722706
NR_179298.1	2559923
NR_116411.1	1302272
NR_135897.1	1435342
NR_179224.1	480930
NR_158060.1	1714682
NR_158059.1	1714681
NR_112645.1	1423804
NR_179359.1	2799580
NR_117039.1	759620
NR_036924.1	137591
NR_113258.1	1583
NR_113775.1	46256
NR_170492.1	2508881
NR_114312.1	1329250
NR_104568.1	1249
NR_175448.1	2559928
NR_025642.1	155866
NR_116443.1	542833
NR_114366.1	1281486
NR_113268.1	1363
NR_113960.1	1358
NR_136466.1	1494461
NR_174341.1	2749962
NR_043739.1	1364
NR_113959.1	1366
NR_114327.1	1151742
NR_178515.1	1156431
NR_117425.1	684066
NR_115240.1	28037
NR_134191.1	1451356
NR_113260.1	1305
NR_179385.1	2819619
NR_181385.1	2763661
NR_115269.1	270498
NR_178955.1	1851429
NR_144742.1	1805714
NR_112900.1	626937
NR_144743.1	1816678
NR_181386.1	2763655
NR_181387.1	2763656
NR_181383.1	2763654
NR_044490.1	501571
NR_029229.1	1561
NR_029230.1	1520
NR_113244.1	1492
NR_115711.1	1121302
NR_029239.3	29356
NR_028964.1	179628
NR_026491.1	84024
NR_179173.1	2126740
NR_180048.1	759821
NR_026347.1	182773
NR_144697.1	1414721
NR_179391.1	1499684
NR_178427.1	1347366
NR_147400.1	1958780
NR_178273.1	137838
NR_113021.1	29363
NR_121697.2	195103
NR_179410.1	1650661
NR_180797.1	2605778
NR_026149.1	36850
NR_112226.2	29369
NR_026490.1	84031
NR_144696.1	1414720
NR_104741.1	39493
NR_113325.1	1559
NR_179447.1	2479838
NR_181369.1	2784388
NR_152688.1	433279
NR_133762.1	1096246
NR_036928.1	154046
NR_104899.1	384636
NR_043551.1	341220
NR_041236.1	1122184
NR_179547.1	1870991
NR_147406.1	1871024
NR_026147.1	35785
NR_026146.1	1267
NR_112810.2	1294259
NR_156912.1	1450156
NR_027562.1	214853
NR_026330.1	53442
NR_026106.1	29322
NR_113248.1	1736
NR_179801.1	2041044
NR_104737.1	1732
NR_104842.1	39495
NR_147371.1	1871029
NR_159296.1	433296
NR_180913.1	2697030
NR_028911.1	109327
NR_179580.1	1917867
NR_133037.1	938278
NR_144737.1	1776384
NR_144749.1	1852367
NR_181400.1	2764712
NR_181401.1	2763645
NR_180816.1	2606708
NR_173621.1	2818044
NR_118780.1	56774
NR_181384.1	2763660
NR_117905.1	879566
NR_137405.1	1619234
NR_178281.1	105843
NR_113359.1	1527
NR_151895.1	433286
NR_179183.1	1727145
NR_025796.1	259063
NR_180914.1	2696063
NR_028740.1	100134
NR_176499.1	1812858
NR_042953.1	264463
NR_028915.1	105841
NR_181215.1	2738446
NR_117138.2	649756
NR_178536.1	1229621
NR_151894.1	433293
NR_158113.1	433287
NR_165727.1	2358141
NR_025651.1	160404
NR_113408.1	28446
NR_144735.1	1745713
NR_180822.1	2606636
NR_171390.1	1912897
NR_180026.1	2696678
NR_144607.1	1796615
NR_104700.1	1532
NR_170495.1	2509240
NR_113231.1	536633
NR_104687.1	537007
NR_163637.1	2025493
NR_026314.1	53443
NR_180334.1	2763028
NR_181211.1	2779518
NR_114315.1	649762
NR_147395.1	1917868
NR_113270.1	1121114
NR_179590.1	1936059
NR_178840.1	1796616
NR_026312.1	180164
NR_117867.1	871664
NR_044054.1	1121115
NR_104735.1	45851
NR_025981.1	831
NR_025525.1	185008
NR_102893.1	43305
NR_159147.1	915180
NR_178367.1	673271
NR_074536.1	642492
NR_044049.1	33043
NR_179548.1	1870993
NR_144608.1	1796618
NR_181407.1	2850323
NR_181406.1	2850322
NR_144731.1	1720294
NR_180800.1	2652274
NR_118643.1	1432052
NR_043680.1	358742
NR_042200.1	333367
NR_025567.1	208479
NR_043681.1	358743
NR_118128.1	1531
NR_044289.1	460384
NR_144610.1	1796622
NR_181358.1	2788944
NR_104803.1	39482
NR_181263.1	2726362
NR_104800.1	290055
NR_117129.1	1544
NR_156907.1	1912855
NR_144612.1	1796636
NR_114326.1	1150298
NR_178255.1	1408099
NR_173570.1	1912090
NR_152095.1	1679721
NR_025206.1	180286
NR_181885.1	2885351
NR_181397.1	2763671
NR_119188.1	679200
NR_181393.1	2763664
NR_181394.1	2763668
NR_156078.1	1469948
NR_179627.1	2002841
NR_118086.1	979627
NR_104684.1	887325
NR_116814.1	617123
NR_025127.1	140626
NR_024993.1	99656
NR_024917.1	1286820
NR_119085.1	29364
NR_026103.1	37658
NR_118730.1	1512
NR_179587.1	1926283
NR_147396.1	1917870
NR_179560.1	1871021
NR_179538.1	1852382
NR_119068.1	36832
NR_028726.1	94868
NR_115211.1	253257
NR_026100.1	1286362
NR_026493.1	69825
NR_102852.1	84030
NR_026409.1	29370
NR_037068.1	29375
NR_179494.1	2219695
NR_114807.1	168384
NR_179276.1	2316025
NR_180671.1	2594882
NR_116747.1	1298596
NR_112553.1	342942
NR_179434.1	1720300
NR_036800.1	411470
NR_027579.1	471875
NR_036777.1	33039
NR_157642.1	1653435
NR_134091.1	1462919
NR_043775.1	371674
NR_134772.1	1337051
NR_173632.1	2068655
NR_180815.1	2606633
NR_125571.1	796944
NR_125570.1	796943
NR_029097.1	237576
NR_180820.1	2606632
NR_181395.1	2763669
NR_041882.1	180332
NR_042832.1	301302
NR_074809.1	585394
NR_027557.1	536231
NR_042007.1	622312
NR_180825.1	2605790
NR_165013.1	2044587
NR_148624.1	1653434
NR_180620.1	2779351
NR_181392.1	2763665
NR_180986.1	2681861
NR_117792.1	796942
NR_119287.1	84037
NR_026151.1	36835
NR_173637.1	2755051
NR_180823.1	2606634
NR_180833.1	2606635
NR_181398.1	2763667
NR_181391.1	2763670
NR_181396.1	2763666
NR_074634.1	515619
NR_025917.1	35830
NR_102987.1	720554
NR_104783.1	290052
NR_024829.1	253314
NR_113157.1	1515
NR_151982.1	1628085
NR_044644.2	39484
NR_144727.1	1673717
NR_027558.1	169435
NR_179417.1	1673720
NR_147398.1	1720200
NR_179559.1	1871018
NR_179430.1	1720313
NR_174324.1	2576756
NR_145929.1	642589
NR_181389.1	2763657
NR_144722.1	1632013
NR_176530.1	2093857
NR_029356.1	292800
NR_156911.1	1650663
NR_181390.1	2763659
NR_152059.1	1849041
NR_179996.1	2764322
NR_173697.1	2108523
NR_179603.1	1944642
NR_179539.1	1852384
NR_179626.1	1987501
NR_144736.1	1776382
NR_179526.1	1841866
NR_118156.1	1007096
NR_074793.2	351091
NR_158111.1	2038680
NR_025025.1	100176
NR_144748.1	1841867
NR_179527.1	1841868
NR_025670.1	411467
NR_180619.1	2779352
NR_147370.1	1870988
NR_179661.1	2086583
NR_179331.1	2714358
NR_179581.1	1917873
NR_180617.1	2779355
NR_173642.1	2678306
NR_029160.1	40519
NR_025931.1	1265
NR_044265.1	438033
NR_151900.1	1550024
NR_179632.1	2014781
NR_173688.1	2780922
NR_044972.1	44749
NR_179330.1	2714355
NR_179329.1	2714353
NR_114789.1	1535
NR_026204.1	47246
NR_181963.1	51515
NR_113393.1	2741
NR_153710.1	1643805
NR_181747.1	2837202
NR_178819.1	1712410
NR_113132.1	1121308
NR_104812.1	1737
NR_113140.1	1505
NR_178263.1	89152
NR_115260.1	264030
NR_176802.2	226526
NR_115155.1	215200
NR_133028.1	1301100
NR_178864.1	1507512
NR_125597.1	1115758
NR_179784.1	2020948
NR_134800.1	1368474
NR_144740.1	1776391
NR_104744.1	1541
NR_137408.1	1460447
NR_134208.1	471799
NR_044205.1	555088
NR_043010.1	278994
NR_180148.1	2211183
NR_144611.1	1417852
NR_180622.1	2779354
NR_118554.1	1297617
NR_179426.1	1702285
NR_179418.1	1673721
NR_179423.1	1689270
NR_179658.1	2086584
NR_121686.1	384638
NR_178587.1	1323375
NR_135713.1	929101
NR_108634.1	676965
NR_024688.1	1089553
NR_179645.1	2044573
NR_125593.1	1034346
NR_113243.1	1547
NR_181936.1	2683713
NR_134029.1	915173
NR_113163.1	39483
NR_180828.1	2606629
NR_180812.1	2652276
NR_029335.1	61171
NR_115130.1	102148
NR_180834.1	2606630
NR_028816.1	154288
NR_136767.1	1555112
NR_026111.1	33025
NR_112902.1	626940
NR_179270.1	2654621
NR_180826.1	2652309
NR_041590.1	742816
NR_025514.1	158847
NR_044473.1	491921
NR_117702.1	865
NR_043658.1	349096
NR_118115.1	1002795
NR_134138.1	433321
NR_044111.1	416586
NR_028797.1	135082
NR_025298.1	82376
NR_024921.1	81464
NR_115221.1	244830
NR_152052.1	1794912
NR_041949.1	146817
NR_028991.1	204936
NR_028862.1	209880
NR_028812.1	156456
NR_147376.1	1852378
NR_147373.1	1852379
NR_113355.1	218538
NR_179669.1	2161821
NR_113356.1	309120
NR_026229.1	39950
NR_043231.1	308994
NR_041666.1	742743
NR_113307.1	1122219
NR_102980.1	1064535
NR_157635.1	1675036
NR_178779.1	1588748
NR_134080.1	879612
NR_181404.1	1000568
NR_133027.1	1232428
NR_025230.1	187326
NR_043657.1	349095
NR_179932.1	2144175
NR_043656.1	349094
NR_178499.1	1111454
NR_179646.1	2045301
NR_113031.1	29466
NR_044091.1	423477
NR_113570.1	1110546
NR_117601.1	1556
NR_040843.1	116087
NR_117556.1	755172
NR_024960.1	99594
NR_104805.1	43143
NR_114645.1	178338
NR_180889.1	2699427
NR_125455.1	1082276
NR_113317.1	285729
NR_146837.2	1755100
NR_178362.1	1216362
NR_179530.1	1852365
NR_113141.1	393480
NR_113384.1	856
NR_113160.1	157692
NR_074708.2	379066
NR_136770.1	1379270
NR_132675.1	861299
NR_163645.1	2014610
NR_149251.1	1639882
NR_112875.1	945713
NR_180824.1	2606640
NR_104821.1	1266370
NR_114396.1	1325564
NR_148573.1	1436998
NR_029287.1	42253
NR_125472.1	1385975
NR_180448.1	2527982
NR_112798.1	547188
NR_173560.1	2528020
NR_179106.1	1936003
NR_148582.1	1546155
NR_148575.1	1908690
NR_148576.1	1210884
NR_181623.1	2822762
NR_159232.1	692036
NR_173555.1	2528023
NR_042465.1	360055
NR_179479.1	2712865
NR_116969.1	643672
NR_176521.1	2080755
NR_158050.1	2029860
NR_173558.1	1930276
NR_173562.1	2527972
NR_173585.1	2528000
NR_173576.1	2528022
NR_118636.1	1400387
NR_180443.1	2528003
NR_173573.1	2528024
NR_173563.1	2528009
NR_173578.1	1938618
NR_173586.1	2528002
NR_173580.1	2527991
NR_173556.1	2528021
NR_169318.1	2527970
NR_169319.1	2527984
NR_156914.1	980251
NR_074521.1	530564
NR_136448.1	1536901
NR_173557.1	1930274
NR_134825.1	1331911
NR_134826.1	1331910
NR_148598.1	1742923
NR_169329.1	2527989
NR_173577.1	2528027
NR_173574.1	2527983
NR_180440.1	2527973
NR_180441.1	2527964
NR_180764.1	2608982
NR_180438.1	2527978
NR_173561.1	2528026
NR_178776.1	1576369
NR_074670.1	120
NR_173575.1	2528007
NR_042466.1	360056
NR_173572.1	2527985
NR_117036.1	1232575
NR_156862.1	1978549
NR_074137.1	78587
NR_114308.1	1391729
NR_028889.1	74316
NR_043770.1	370977
NR_113602.1	293
NR_181184.1	2725493
NR_044186.1	424796
NR_116722.1	588932
NR_028633.1	172043
NR_117268.1	657642
NR_181447.1	2774189
NR_043726.1	363631
NR_113586.1	41276
NR_179936.1	2172652
NR_025320.1	69396
NR_112624.1	400775
NR_025319.1	69395
NR_157984.1	2035993
NR_041964.1	69666
NR_133716.1	1380046
NR_037099.1	155892
NR_179066.1	2055137
NR_044377.1	1122958
NR_041963.1	1298959
NR_042277.1	279827
NR_041991.1	98513
NR_029117.1	273793
NR_115126.1	162292
NR_117783.1	760012
NR_180056.1	2170551
NR_181008.1	2686094
NR_044847.4	1629334
NR_117117.1	209897
NR_148796.1	1532856
NR_152083.1	1522175
NR_043764.1	1121026
NR_157767.1	2027858
NR_180208.1	2320271
NR_044195.1	424757
NR_109589.1	1166073
NR_109590.1	1166078
NR_180362.1	2495496
NR_151994.1	1744844
NR_164975.1	2558362
NR_042182.1	231435
NR_042178.1	395963
NR_116996.1	663610
NR_137418.1	1612308
NR_026466.1	81943
NR_027561.1	395965
NR_117077.1	876269
NR_178715.1	1538103
NR_037121.1	50712
NR_117911.1	1079
NR_041994.1	53254
NR_074243.1	439375
NR_042589.1	419475
NR_042599.1	571255
NR_169364.1	2448455
NR_042474.1	354351
NR_042473.1	354352
NR_025428.1	28210
NR_156158.1	1743235
NR_169467.1	2741498
NR_043777.1	372072
NR_180092.1	2211145
NR_044212.1	429726
NR_173666.1	2714858
NR_152075.1	1849014
NR_156850.1	1770058
NR_117250.1	665118
NR_147759.1	1591105
NR_044036.1	1116389
NR_171486.1	2082392
NR_181057.1	2774137
NR_114333.1	1173082
NR_114252.1	470028
NR_136460.1	1447062
NR_028630.1	169176
NR_044095.1	418854
NR_104954.1	53398
NR_180916.1	2665159
NR_026428.1	53400
NR_118448.1	1029756
NR_104697.1	83
NR_125465.1	1384459
NR_125613.1	1177755
NR_125614.1	1177756
NR_178804.1	1751901
NR_104841.1	47498
NR_170479.1	2498452
NR_159239.1	1897628
NR_029125.1	29408
NR_040936.1	200615
NR_112190.1	200616
NR_159238.1	1897629
