ref	taxid
NR_179096.1	1960156
NR_148580.1	1615681
NR_179686.1	2218256
NR_116444.1	542300
NR_180095.1	2211140
NR_181376.1	2763107
NR_158119.1	2040573
NR_043898.1	570835
NR_147738.1	1002689
NR_147737.1	1002691
NR_179684.1	2303751
NR_153719.1	1382359
NR_135733.1	940139
NR_133877.1	1111115
NR_114981.1	360054
NR_134120.1	1473598
NR_133697.1	1384638
NR_133698.1	1384639
NR_159154.1	1911421
NR_118350.1	1235480
NR_146021.1	1603871
NR_146023.1	1458337
NR_181039.1	2818388
NR_036891.1	35839
NR_156918.1	1855912
NR_151905.1	1612172
NR_170414.1	2664430
NR_112972.1	1294026
NR_171428.1	2789776
NR_132289.1	1052257
NR_173681.1	2751370
NR_041633.1	1331058
NR_074501.1	28049
NR_179571.1	2060916
NR_137394.1	1798155
NR_040783.1	518634
NR_113172.1	1437609
NR_174313.1	2650773
NR_043437.1	1682
NR_181805.1	2834437
NR_180954.1	2675322
NR_181797.1	2834432
NR_037117.1	28026
NR_043441.2	1690
NR_029137.1	78257
NR_180397.1	2306974
NR_181803.1	2809028
NR_181800.1	2834434
NR_122062.1	1285583
NR_179631.1	2014528
NR_149764.1	1758466
NR_104995.1	1437875
NR_074663.1	1718
NR_116558.1	1705
NR_025314.1	1727
NR_153674.1	326424
NR_114864.1	38502
NR_179401.1	1564166
NR_135866.1	1610748
NR_118221.1	1033736
NR_042559.1	402171
NR_179411.1	1686285
NR_137247.1	1631477
NR_115032.1	33888
NR_074608.1	861360
NR_036769.1	162496
NR_156872.1	1933880
NR_025613.1	257984
NR_026190.1	37929
NR_044338.1	453836
NR_027193.1	262208
NR_109650.1	1198245
NR_108388.1	648751
NR_112794.1	546871
NR_043609.1	348582
NR_040847.1	1747
NR_109320.1	1036181
NR_041383.1	363863
NR_036972.1	1752
NR_112966.1	663606
NR_112305.1	1902
NR_041209.1	1956
NR_179615.1	1964384
NR_181929.1	2930083
NR_180580.1	2584469
NR_173693.1	1852385
NR_180810.1	2652279
NR_036821.1	997349
NR_179506.1	1805478
NR_036820.1	633147
NR_116936.1	604330
NR_163613.1	2003188
NR_156812.1	1871022
NR_180618.1	2779357
NR_181210.1	2779519
NR_173691.1	1871031
NR_134781.1	1299998
NR_180644.1	2603815
NR_147379.1	1907654
NR_179431.1	1720204
NR_113165.1	147207
NR_147399.1	1871016
NR_179599.1	1937461
NR_113164.1	147206
NR_113273.1	742742
NR_179545.1	1870987
NR_074391.1	33871
NR_144579.1	1232426
NR_179460.1	2590867
NR_147403.1	1871019
NR_117374.1	747645
NR_125595.1	1034345
NR_179369.1	2707299
NR_180698.1	2690837
NR_074377.1	84112
NR_147380.1	1871008
NR_179701.1	2137581
NR_179525.1	1841863
NR_042825.1	883106
NR_113188.1	572010
NR_108192.1	490573
NR_133858.1	1404360
NR_041365.1	363832
NR_113009.1	685828
NR_179235.1	2219043
NR_121726.1	1005039
NR_179520.1	1841855
NR_112932.1	47678
NR_145844.1	1411144
NR_112933.1	246787
NR_112893.1	762984
NR_179552.1	1871006
NR_179635.1	2024197
NR_112935.1	28111
NR_113206.1	1236513
NR_113067.1	1077285
NR_041313.1	338188
NR_113068.1	763034
NR_112936.1	817
NR_148822.1	1462571
NR_113069.1	477666
NR_041279.1	290053
NR_044633.1	28113
NR_181532.1	2792859
NR_179567.1	1907658
NR_041307.1	329854
NR_159117.1	1912896
NR_159118.1	1912894
NR_180463.1	2650158
NR_144744.1	1841856
NR_179564.1	1903262
NR_112939.1	1203608
NR_112940.1	28116
NR_181731.1	2834112
NR_041280.1	310300
NR_114316.1	1445607
NR_113072.1	1236512
NR_043016.1	291644
NR_113207.1	1236514
NR_112943.1	449673
NR_112944.1	818
NR_144704.1	1203465
NR_112945.1	820
NR_112947.1	657309
NR_113353.1	28119
NR_181379.1	2725562
NR_144747.1	1841865
NR_041446.1	376804
NR_041278.1	470145
NR_041461.1	387090
NR_041351.1	357276
NR_112938.1	204516
NR_113071.1	1236498
NR_041277.1	484018
NR_113064.1	1236538
NR_074515.1	435590
NR_113073.1	487174
NR_121773.2	397865
NR_173687.1	2751153
NR_137388.1	1605892
NR_113133.1	45254
NR_113134.1	742766
NR_113230.1	1298597
NR_134023.1	1346286
NR_164950.1	2040292
NR_149795.1	1678841
NR_170508.1	2518971
NR_170509.1	2530391
NR_179975.1	2094150
NR_180717.1	2601703
NR_180431.1	2530390
NR_144616.1	1796646
NR_179976.1	2094151
NR_181880.1	2880703
NR_180830.1	2606626
NR_179974.1	2093856
NR_126195.1	1472417
NR_169358.1	1720203
NR_041690.1	544644
NR_179642.1	2042309
NR_041691.1	544645
NR_144745.1	1841857
NR_074535.1	28118
NR_074577.1	694427
NR_179416.1	1673718
NR_126215.1	1350067
NR_044491.1	501496
NR_113082.1	887901
NR_118334.1	671218
NR_037088.1	76122
NR_044864.1	1336250
NR_144746.1	1841864
NR_147404.1	1816687
NR_147377.1	1870999
NR_113077.1	454154
NR_113078.1	454155
NR_113094.1	305719
NR_113095.1	242750
NR_113097.1	873513
NR_113098.1	28127
NR_151886.1	1703337
NR_113411.1	537011
NR_113099.1	28128
NR_102481.1	908937
NR_112848.1	1236509
NR_113101.1	28129
NR_113104.1	76123
NR_178237.1	2801997
NR_044407.1	470565
NR_180452.1	2518605
NR_181266.1	2800387
NR_109628.1	1177574
NR_165743.1	2490854
NR_179380.1	2854755
NR_179442.1	1776379
NR_113108.1	840
NR_044270.1	439703
NR_179449.1	2479840
NR_041056.1	888743
NR_113116.1	28133
NR_113118.1	28135
NR_113227.1	915438
NR_113122.1	185294
NR_179444.1	1776388
NR_041541.1	407975
NR_178978.1	1676614
NR_024816.1	228604
NR_024815.1	228603
NR_041364.1	1002367
NR_144750.1	1852370
NR_173659.1	2133944
NR_179296.1	2585119
NR_113150.1	214856
NR_113271.1	742725
NR_113151.1	328813
NR_113152.1	28117
NR_118219.1	1033732
NR_113153.1	328814
NR_125589.1	1033731
NR_132392.1	433338
NR_147368.1	1871023
NR_134841.1	1433126
NR_025910.1	28139
NR_147372.1	1871003
NR_180156.1	2290935
NR_113208.1	871327
NR_165699.1	2685834
NR_041342.1	823
NR_134785.1	1217282
NR_113076.1	927665
NR_112835.1	574930
NR_041464.1	387661
NR_041343.1	46503
NR_179605.1	1944636
NR_179556.1	1871013
NR_113125.1	28112
NR_175436.1	712710
NR_181199.1	2715279
NR_158100.1	1640674
NR_117932.1	889453
NR_133715.1	1416875
NR_171512.1	2162893
NR_108635.1	682526
NR_165017.1	2305463
NR_134076.1	1484053
NR_043273.1	314319
NR_137212.1	1541063
NR_180177.1	2528631
NR_171535.1	2291814
NR_133730.1	1302690
NR_159123.1	1983306
NR_044588.1	563170
NR_044589.1	563172
NR_136802.1	1310417
NR_148259.1	1380048
NR_171478.1	2077091
NR_165704.1	1656888
NR_178778.1	1634986
NR_164980.1	2675388
NR_041500.1	462367
NR_041499.1	398045
NR_108588.1	661481
NR_159897.1	1639646
NR_171483.1	2364882
NR_134033.1	940145
NR_157626.1	1841482
NR_164923.1	1892851
NR_108737.1	708199
NR_117796.1	796384
NR_178338.1	2607284
NR_180017.1	2294116
NR_117026.1	714549
NR_164990.1	2575867
NR_165710.1	2678302
NR_153698.1	1781166
NR_074595.1	700598
NR_180325.1	2821487
NR_173513.1	1852018
NR_165012.1	2268757
NR_134123.1	1465490
NR_181099.1	2716334
NR_180212.1	2315862
NR_178691.1	1503749
NR_180249.1	2502779
NR_152044.1	1884793
NR_148655.1	1542729
NR_114296.1	670293
NR_041501.1	398037
NR_134213.1	1507286
NR_156069.1	624405
NR_159891.1	2024524
NR_157715.1	1864941
NR_113280.1	930972
NR_118640.1	1442587
NR_148276.1	1445656
NR_109591.1	1141846
NR_134758.1	1232681
NR_181490.1	2782349
NR_181492.1	2782351
NR_116118.1	455078
NR_181061.1	2704465
NR_134186.1	1465616
NR_169373.1	1806202
NR_159193.1	1968274
NR_113978.1	564064
NR_153704.1	1770529
NR_179793.1	2183553
NR_181327.1	2771355
NR_025463.1	153721
NR_132295.1	1324217
NR_108511.1	947013
NR_165708.1	2321403
NR_117079.1	1237149
NR_181251.1	2810512
NR_181005.1	2494733
NR_117435.1	688867
NR_117436.1	688913
NR_179796.1	2072847
NR_181267.1	2745197
NR_157726.1	1892554
NR_180178.1	2607589
NR_042172.1	223903
NR_179234.1	2025510
NR_180137.1	2496028
NR_180126.1	2594794
NR_181692.1	2816474
NR_180179.1	2748310
NR_133043.1	497967
NR_178607.1	1379910
NR_112183.1	1028
NR_113193.1	866807
NR_116526.1	558155
NR_074505.1	1018
NR_126183.1	1397265
NR_104962.1	1264931
NR_173674.1	2094025
NR_159281.1	1926625
NR_148773.1	1679466
NR_170498.1	2500547
NR_125812.1	395937
NR_042471.2	247
NR_042430.2	343876
NR_170513.1	2491114
NR_112673.1	1122177
NR_165720.1	1932778
NR_180214.1	2599295
NR_044565.1	538021
NR_173506.1	2571273
NR_159137.1	1707435
NR_134789.1	1393051
NR_044568.1	543615
NR_044477.1	493780
NR_180143.1	2592657
NR_153692.1	1742264
NR_180467.1	2546448
NR_113744.1	34087
NR_108440.1	649196
NR_041636.1	470446
NR_042134.1	1010
NR_040953.1	28454
NR_173641.1	2558931
NR_156913.1	1852309
NR_104911.1	758823
NR_173523.1	913108
NR_041354.1	360411
NR_132293.1	1081799
NR_132330.1	1204385
NR_181001.1	2710758
NR_125642.1	1325125
NR_180716.1	2601677
NR_118351.1	1129897
NR_074347.1	166501
NR_176543.1	2884962
NR_172660.2	693223
NR_172677.2	2859516
NR_172603.1	2816234
NR_172711.2	2798044
NR_102464.1	251229
NR_176599.1	2886050
NR_176588.1	2884079
NR_177745.1	2594593
NR_176589.1	2884078
NR_102457.1	272123
NR_117881.1	988946
NR_176473.1	2886352
NR_176555.1	2886350
NR_112218.1	241425
NR_112123.1	54313
NR_177664.1	1702241
NR_042896.1	248039
NR_164886.1	1751295
NR_149179.1	1182568
NR_116670.1	1403343
NR_043482.1	649638
NR_042149.1	833
NR_180802.1	1945871
NR_180801.1	1896222
NR_026143.1	79881
NR_115526.1	1396
NR_178876.1	1797754
NR_157735.1	2026192
NR_043242.1	1408
NR_175555.1	2817476
NR_112686.1	96241
NR_180796.1	2054641
NR_117050.1	859143
NR_114207.1	309788
NR_112628.1	28031
NR_114920.1	33935
NR_025258.1	1220589
NR_112627.1	1421
NR_156041.1	1643336
NR_179484.1	2730405
