flow_cell_id,experiment_id,kit,barcode,alias
AVP124,PL014,SQK-16S114-24,barcode01,HDZ-095-S300
AVP124,PL014,SQK-16S114-24,barcode02,HDZ-158-S301
AVP124,PL014,SQK-16S114-24,barcode03,HDZ-159-S302
AVP124,PL014,SQK-16S114-24,barcode04,HDZ-171-S303
AVP124,PL014,SQK-16S114-24,barcode05,HDZ-172-S304
AVP124,PL014,SQK-16S114-24,barcode06,HDZ-237-S305
AVP124,PL014,SQK-16S114-24,barcode07,HDZ-238-S306
AVP124,PL014,SQK-16S114-24,barcode08,HDZ-239-S307
AVP124,PL014,SQK-16S114-24,barcode09,HDZ-268-S308
AVP124,PL014,SQK-16S114-24,barcode10,HDZ-269-S309
AVP124,PL014,SQK-16S114-24,barcode11,HDZ-270-S310
AVP124,PL014,SQK-16S114-24,barcode12,HDZ-271-S311
AVP124,PL014,SQK-16S114-24,barcode13,HDZ-272-S312
AVP124,PL014,SQK-16S114-24,barcode14,HDZ-273-S313
AVP124,PL014,SQK-16S114-24,barcode15,HDZ-274-S314
AVP124,PL014,SQK-16S114-24,barcode16,HDZ-329-S315
AVP124,PL014,SQK-16S114-24,barcode17,HDZ-344-S316
AVP124,PL014,SQK-16S114-24,barcode18,HDZ-346-S317
AVP124,PL014,SQK-16S114-24,barcode19,HDZ-347-S318
AVP124,PL014,SQK-16S114-24,barcode20,HDZ-412-S319
AVP124,PL014,SQK-16S114-24,barcode21,HDZ-413-S320
AVP124,PL014,SQK-16S114-24,barcode22,HDZ-414-S321
AVP124,PL014,SQK-16S114-24,barcode23,HDZ-450-S322
AVP124,PL014,SQK-16S114-24,barcode24,PL-NTC-014-CTRL
