"ID"	"study_day"	"subject"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"CollectionDate"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"
"culi_59"	59	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"no"	"M"	10	2023-12-23	5100	2000	2000	2000
"culi_61"	61	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-25	5100	2000	2000	2000
"culi_62"	62	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-26	5100	2000	2000	2000
"culi_64"	64	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-28	5100	2000	2000	2000
"culi_65"	65	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	2023-12-29	5100	2000	2000	2000
"culi_68"	68	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-01	5100	2000	2000	2000
"culi_74"	74	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-07	5100	2000	2000	2000
"culi_75"	75	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-08	5100	2000	2000	2000
"culi_77"	77	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-10	5100	2000	2000	2000
"culi_81"	81	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-14	5100	2000	2000	2000
"culi_82"	82	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-15	5100	2000	2000	2000
"culi_83"	83	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	0	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-01-16	5100	2000	2000	2000
