"","charles41","charles46","charles49","charles50","charles51","charles55","charles57"
"charles41",0,0.4606290369883,0.631306582851317,0.573851454970491,0.4599455930147,0.473312548601148,0.210306373997331
"charles46",0.4606290369883,0,0.46723390978856,0.320493523397972,0.193757054539438,0.249086365305622,0.379498063370595
"charles49",0.631306582851317,0.46723390978856,0,0.433430469062374,0.483284247437927,0.554278780147025,0.64543865030071
"charles50",0.573851454970491,0.320493523397972,0.433430469062374,0,0.205432903404562,0.253574746690234,0.5662758137891
"charles51",0.4599455930147,0.193757054539438,0.483284247437927,0.205432903404562,0,0.1250159899006,0.433540736904462
"charles55",0.473312548601148,0.249086365305622,0.554278780147025,0.253574746690234,0.1250159899006,0,0.439777685929356
"charles57",0.210306373997331,0.379498063370595,0.64543865030071,0.5662758137891,0.433540736904462,0.439777685929356,0
