"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.302312415135592,0.430633518898267,0.748330366703379,0.802367593144168,0.798822296964985,0.81195129723467,0.760208470926279,0.658093288487131,0.821226883419592
"lambchop18",0.302312415135592,0,0.411703077400466,0.680123274074061,0.777128357331906,0.732521881365712,0.792508459643152,0.698047078770941,0.593531012405492,0.777710301225251
"lambchop25",0.430633518898267,0.411703077400466,0,0.540095570010119,0.731480411631128,0.641021189710435,0.746529757328621,0.59052008524771,0.454233321983407,0.540419156715285
"lambchop37",0.748330366703379,0.680123274074061,0.540095570010119,0,0.515092988420615,0.628598773821045,0.393221178007621,0.659297958661774,0.643279884729921,0.319903926166803
"lambchop44",0.802367593144168,0.777128357331906,0.731480411631128,0.515092988420615,0,0.412191504832425,0.294029980982579,0.455299696130434,0.643465590852448,0.628898368258786
"lambchop46",0.798822296964985,0.732521881365712,0.641021189710435,0.628598773821045,0.412191504832425,0,0.555908044837166,0.176485016381613,0.410386530853705,0.594555877127184
"lambchop48",0.81195129723467,0.792508459643152,0.746529757328621,0.393221178007621,0.294029980982579,0.555908044837166,0,0.49268731672839,0.678500233867017,0.421505036849311
"lambchop50",0.760208470926279,0.698047078770941,0.59052008524771,0.659297958661774,0.455299696130434,0.176485016381613,0.49268731672839,0,0.36924175956879,0.606674137606806
"lambchop55",0.658093288487131,0.593531012405492,0.454233321983407,0.643279884729921,0.643465590852448,0.410386530853705,0.678500233867017,0.36924175956879,0,0.496564085060174
"lambchop70",0.821226883419592,0.777710301225251,0.540419156715285,0.319903926166803,0.628898368258786,0.594555877127184,0.421505036849311,0.606674137606806,0.496564085060174,0
