"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0717450335858225	0.197571428571429	0.0450579316263768	0.344620660094299	0.141938250428816	0.199599656848727	0.163166166595228	0.0563904393874338
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.230956124053166	0.0984285714285714	0.0536403947933057	0.120017145306472	0.18453401943968	0.139691163854733	0.160880125732247	0.0144554172033777
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0853222809775618	0.112428571428571	0.0127306536976112	0.168166880982998	0.0498856489422527	0.0526165284529597	0.0840120017145306	0.274366680978961
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.000428755180791768	0.000285714285714286	0.536260906880275	0	0.00586049170954831	0.00157277666571347	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0174360440188652	0.0375714285714286	0.0256043484480046	0.0405772253179026	0.15809033733562	0.097369173577352	0.0410058579797114	0.0027193359095463
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.331570673145634	0.000142857142857143	0.000572164211128594	0.00300042863266181	0.000571755288736421	0.00843580211609951	0.0177168166880983	0.0008587376556462
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.00500214377590396	0.0717142857142857	0.0120154484337005	0.0218602657522503	0.0303030303030303	0.0170145839290821	0.0452921845977997	0.121654501216545
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.00914677719022438	0.0645714285714286	0.0110141610642254	0.0358622660380054	0.0408805031446541	0.0197311981698599	0.0431490212887555	0.0147416630885931
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0201514934972131	0.0165714285714286	0.00686597053354313	0.011858836976711	0.0220125786163522	0.0304546754360881	0.0288612658951279	0.0771432660655503
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0108617979133915	0.0264285714285714	0.0108711200114433	0.0297185312187455	0.0185820468839337	0.057048899056334	0.0400057151021575	0.0118792042364391
