task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	71/4d85b6	567906	fastcat (19)	COMPLETED	0	2024-11-05 12:15:09.629	970ms	282ms	95.6%	63 MB	382 MB	13.2 MB	9.1 MB
12	b3/efb1da	567943	fastcat (8)	COMPLETED	0	2024-11-05 12:15:09.646	983ms	325ms	159.2%	87.3 MB	511.4 MB	29.5 MB	20.5 MB
21	b3/56ae05	567821	fastcat (17)	COMPLETED	0	2024-11-05 12:15:09.563	1.1s	329ms	137.4%	61.3 MB	446 MB	25.8 MB	17.9 MB
13	cf/b64346	567828	fastcat (9)	COMPLETED	0	2024-11-05 12:15:09.579	1.1s	327ms	77.6%	58.4 MB	189.1 MB	13.7 MB	9.4 MB
24	76/fb7578	567838	fastcat (20)	COMPLETED	0	2024-11-05 12:15:09.596	1.1s	338ms	167.0%	57.2 MB	189.1 MB	33.1 MB	23 MB
17	e5/ca66a2	567887	fastcat (13)	COMPLETED	0	2024-11-05 12:15:09.620	1s	339ms	103.0%	83.1 MB	189.5 MB	19.7 MB	13.5 MB
9	6c/0d8c35	567851	fastcat (5)	COMPLETED	0	2024-11-05 12:15:09.609	1.1s	347ms	122.7%	84.7 MB	382.4 MB	23.6 MB	16.3 MB
19	ec/15c266	567925	fastcat (15)	COMPLETED	0	2024-11-05 12:15:09.638	1.1s	455ms	71.8%	86.9 MB	511.4 MB	17.3 MB	12 MB
28	b7/0ae387	569705	fastcat (24)	COMPLETED	0	2024-11-05 12:15:10.614	528ms	228ms	184.5%	65.3 MB	382 MB	22.1 MB	15.4 MB
7	9c/4255b5	569783	fastcat (3)	COMPLETED	0	2024-11-05 12:15:10.655	519ms	218ms	30.5%	80.4 MB	382 MB	352.1 KB	152.9 KB
11	6b/91f5e6	569751	fastcat (7)	COMPLETED	0	2024-11-05 12:15:10.644	568ms	273ms	201.8%	70 MB	189.1 MB	31.7 MB	21.9 MB
25	38/de18b8	569857	fastcat (21)	COMPLETED	0	2024-11-05 12:15:10.677	540ms	249ms	215.6%	84.4 MB	382 MB	31 MB	21.4 MB
5	c7/325751	569909	fastcat (1)	COMPLETED	0	2024-11-05 12:15:10.686	538ms	226ms	155.6%	78.3 MB	189.1 MB	20.3 MB	13.9 MB
4	2d/8cba45	569946	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-11-05 12:15:10.696	641ms	8ms	26.7%	0	0	75.5 KB	3.4 KB
14	c3/d9d461	570225	fastcat (10)	COMPLETED	0	2024-11-05 12:15:10.783	555ms	225ms	101.5%	72.7 MB	189.1 MB	12.9 MB	8.8 MB
6	aa/37d08d	570169	fastcat (2)	COMPLETED	0	2024-11-05 12:15:10.766	657ms	375ms	80.7%	84.8 MB	382 MB	16.5 MB	11.2 MB
18	b4/8e96f9	571551	fastcat (14)	COMPLETED	0	2024-11-05 12:15:11.151	512ms	222ms	223.9%	85.8 MB	510.9 MB	29.1 MB	20 MB
27	a1/6a4013	571620	fastcat (23)	COMPLETED	0	2024-11-05 12:15:11.183	497ms	194ms	159.8%	84.7 MB	382 MB	17.9 MB	12.3 MB
42	04/c15725	572121	minimap_pipeline:output_results (1)	COMPLETED	0	2024-11-05 12:15:11.356	346ms	4ms	52.6%	0	0	72.3 KB	249 B
22	9e/b410cc	571700	fastcat (18)	COMPLETED	0	2024-11-05 12:15:11.223	511ms	224ms	169.5%	84.2 MB	382 MB	19.7 MB	13.6 MB
8	ba/26f3a7	571726	fastcat (4)	COMPLETED	0	2024-11-05 12:15:11.235	512ms	231ms	198.3%	86.5 MB	510.9 MB	23.7 MB	16.6 MB
20	4a/b88ead	571762	fastcat (16)	COMPLETED	0	2024-11-05 12:15:11.245	532ms	233ms	212.5%	86.3 MB	510.9 MB	28.4 MB	19.6 MB
