"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"njc71"	8.79	13.38	11.4	14.09	22.51	19.19	12.28	13.83	16.76	31.23	19.26	20.11	11.75	13.77	21.53	14.14	17.89	19.87	20.75	16.79	26.92	20.07	21.71	11.76	31.55	13.47	22.21	32.69	12.43	31.17	30.03	31.72	31.31	23.59	22.03	15.82	23.08	12.47	8.55	15.45	17.29	22.66	12.62	11.67	18.55	10.48	13.22	14.92	19.52	23.67	11.08	7.81	15.23	12.56	27.41	25.47	8.45	14.78	15.61	23.23	14.33	27.78	25.47	15.98	20.29	20.58	19.44	8.07	14.6	9.44	12.25
"njc72"	0.13	0	0	0	0	0	0	0	0.01	0	0.04	0.09	0.01	0.03	0.01	0	0.01	0	0.03	0	0.04	0.01	0.01	0.03	0.01	0.03	0.01	0	0	0.01	0	0.04	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.01	0	0	0.21	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc73"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc74"	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0	0.03	0.01	0.01	0.01	0.01	0	0.01	0.01	0.03	0	0	0.03	0	0.03	0	0.01	0.03	0.01	0.01	0	0.03	0.03	0.03	0.01	0.01	0	0.07	0.01	0	0	0	0	0.06	0.03	0.06	0	0.03	0.01	0.01	0.01	0	0	0	0.01	0	0	0.03	0.05	0.03	0.03	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0.03
"njc75"	0.07	0	0	0	0	0	0.01	0	0.04	0.04	0.03	0.06	0.07	0.14	0.06	0.2	0.42	0.01	0.04	0.13	0.01	0.03	0.03	0.01	0.06	0.04	0.01	0.07	0.01	0.09	0.2	0.03	0.06	0.25	0.07	0.04	0	0.01	0.09	0	0.06	0.07	0.03	0.03	0.04	0.04	0.04	0.07	0.13	0.06	0.03	0	0	0.06	0	0.01	0.22	1.25	0	0.03	0.03	0.11	0.01	0	0.06	0	0	0	0.03	0.59	0.01
"njc76"	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0	0.03	0.01	0.01	0.01	0.01	0	0.01	0.01	0.03	0	0	0.03	0	0.03	0	0.01	0.03	0.01	0.01	0	0.03	0.03	0.03	0.01	0.01	0	0.07	0.01	0	0	0	0	0.06	0.03	0.06	0	0.03	0.01	0.01	0.01	0	0	0	0.01	0	0	0.03	0.05	0.03	0.03	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0.03
"njc77"	0.12	0.03	0	0	0	0.03	0.07	0.07	0.13	0.06	0.07	0.14	0.13	0.22	0.09	0.26	0.55	0.04	0.25	0.19	0.01	0.09	0.04	0.03	0.07	0.06	0.03	0.29	0.03	0.22	0.26	0.14	0.09	0.38	0.16	0.06	0	0.01	0.22	0.01	0.22	0.07	0.03	0.59	0.09	0.07	0.06	0.12	0.25	0.1	0.04	0.04	0.06	0.17	0	0.04	0.48	1.78	0	0.07	0.12	0.14	0.03	0	0.17	0	0	0	0.03	0.67	0.03
"njc78"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc79"	0.03	0.03	0.01	0	0.03	0.06	0.04	0	0	0.06	0.04	0.01	0.01	0	0.01	0.03	0.03	0.01	0.01	0	0	0.04	0	0.04	0	0	0.06	0.01	0	0.01	0.03	0.06	0.01	0	0.03	0.01	0	0.01	0	0.04	0	0	0	0.09	0.01	0.01	0.01	0	0.03	0	0.01	0	0.01	0.03	0	0.01	0.07	0.03	0	0.01	0.01	0	0.06	0.03	0	0	0.03	0	0	0	0
"njc80"	0.1	0.03	0.06	0.01	0	0.14	0.1	0.34	0.2	0.2	0.56	0.42	0.42	0.33	0.23	0.36	0.8	0.32	0.39	0.13	0.06	0.13	0.19	0.06	0.06	0.03	0.09	0.29	0.03	0.35	0.36	0.19	0.13	0.39	0.42	0.52	0.28	0.1	0.25	0.14	0.32	0.66	0.19	0.43	0.06	0.04	0.25	0.16	0.29	0.19	0.03	0.06	0.17	0.3	0.04	0.39	0.61	2.82	0.98	0.28	1.25	0.13	0.17	0.17	0.41	0	0	0	0.03	0.61	0.22
