"","kubo14","kubo15","kubo21","kubo30","kubo48","kubo58"
"kubo14",0,0.179219451925697,0.207537403350402,0.203029919664755,0.276071172463205,0.296577778855928
"kubo15",0.179219451925697,0,0.0779248057294226,0.0933089320815474,0.18547883713117,0.25514166306891
"kubo21",0.207537403350402,0.0779248057294226,0,0.0938614816998639,0.162084630629148,0.2443179531485
"kubo30",0.203029919664755,0.0933089320815474,0.0938614816998639,0,0.186707318865437,0.267599265358041
"kubo48",0.276071172463205,0.18547883713117,0.162084630629148,0.186707318865437,0,0.199620580822887
"kubo58",0.296577778855928,0.25514166306891,0.2443179531485,0.267599265358041,0.199620580822887,0
